AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
ZnO,II-VI,M_A,Hg,,,-1.38,-0.82,-0.21,1.82,2.84,3.97,,,3.3,1.35
ZnO,II-VI,M_A,Re,,,0.07,1.04,1.74,2.61,3.45,3.76,,,5.36,10.75
ZnO,II-VI,M_A,Sb,,,-0.69,-0.11,1.61,2.43,3.49,4.24,,,2.7,5.59
ZnO,II-VI,M_A,Fe,,,-1.25,-1.24,1.05,2.06,2.98,4,,,-0.81,0.55
ZnO,II-VI,M_A,La,,,-1.28,-0.74,1.44,2.43,3.59,4.26,,,2.23,3.86
ZnO,II-VI,M_B,I,,,-1.09,-0.51,1.65,2.63,3.77,4.41,,,2.05,7.1
ZnO,II-VI,M_B,Ge,,,-0.44,0.17,1.24,1.97,2.58,3.53,,,3.42,12.98
ZnO,II-VI,M_B,Mo,,,-0.09,1.05,1.97,2.74,3.46,4.1,,,8.09,19.26
ZnO,II-VI,M_B,V,,,-2.65,0.87,1.74,2.59,3.31,4.08,,,4.42,14.29
ZnO,II-VI,M_B,Cr,,,-0.29,0.89,1.86,2.64,3.49,4.1,,,2.67,11.11
ZnO,II-VI,M_i_A,Rb,,,-1,-0.43,1.67,2.63,3.75,4.37,,,7.1,9.91
ZnO,II-VI,M_i_A,In,,,0.22,1.08,2.31,2.96,3.68,4.31,,,5.9,10.78
ZnO,II-VI,M_i_A,Cl,,,-1.07,-0.47,0.26,0.97,2.81,3.84,,,7.9,7.62
ZnO,II-VI,M_i_A,O,,,-1.33,-0.75,-0.02,0.83,1.75,3.18,,,6.46,3.2
ZnO,II-VI,M_i_A,Cu,,,-1.25,-0.37,1.38,2.33,3.51,4.17,,,3.01,4.88
ZnO,II-VI,M_i_B,Os,,,0.5,0.5,1.95,2.31,3.46,4.19,,,9.26,17.03
ZnO,II-VI,M_i_B,Ga,,,0.16,1.07,2.23,2.81,3.69,4.46,,,4.56,9.45
ZnO,II-VI,M_i_B,W,,,1.56,1.7,2.43,2.93,2.93,2.94,,,8.69,17.45
ZnO,II-VI,M_i_B,Be,,,-1.39,0.7,1.68,2.83,3.5,4.14,,,2.78,6.03
ZnO,II-VI,M_i_B,Ag,,,-1.15,-0.56,1.37,2.36,3.55,4.23,,,4.99,5.83
ZnO,II-VI,M_i_neut,F,,,-1.46,-0.04,-0.04,0.46,2.55,3.54,,,5.3,3.67
ZnO,II-VI,M_i_neut,Hf,,,0.58,1.75,2.45,3.05,3.75,4.25,,,8.51,15.03
ZnO,II-VI,M_i_neut,Na,,,-1.31,-0.73,1.38,2.37,3.54,4.18,,,5.01,7.19
ZnO,II-VI,M_i_neut,Nb,,,0.49,2.01,2.09,2.78,3.67,4.26,,,7.94,16.08
ZnO,II-VI,M_i_neut,Tc,,,-0.07,1.07,2.11,2.12,3.15,3.15,,,7.39,13.11
ZnS,II-VI,M_A,P,,,-0.16,-0.15,1.3,2.09,3.53,4.02,,,4.74,4.5
ZnS,II-VI,M_A,Ba,,,-0.94,-0.49,-0.02,3.2,3.93,4.63,,,2.81,4.21
ZnS,II-VI,M_A,Cd,,,-1.25,-0.77,-0.23,3,3.74,4.45,,,0.87,1.18
ZnS,II-VI,M_A,Bi,,,-1.09,-0.58,2.34,2.66,3.23,4.12,,,4.01,4.11
ZnS,II-VI,M_A,Sn,,,-1.13,0.6,1.16,3.15,3.87,4.54,,,2.61,3.07
ZnS,II-VI,M_B,Sr,,,1.09,2.07,2.66,3.2,3.72,5.53,,,8.39,13.51
ZnS,II-VI,M_B,N,,,-1.45,-0.93,-0.44,0.11,3.22,3.94,,,-3.76,-0.87
ZnS,II-VI,M_B,Co,,,-1.16,-0.77,1.96,2.54,3.17,3.74,,,3.83,8.02
ZnS,II-VI,M_B,Si,,,-0.92,-0.43,0.59,1.14,1.96,3.96,,,2.52,7.89
ZnS,II-VI,M_B,Ca,,,0.63,1.79,2.42,2.94,3.6,4.36,,,7.84,11.85
ZnS,II-VI,M_i_A,Y,,,1.33,1.92,2.61,3.23,3.76,4.5,,,6.98,9.99
ZnS,II-VI,M_i_A,Ta,,,0.25,1.37,2.55,2.98,3.56,4.27,,,6.49,11.24
ZnS,II-VI,M_i_A,Zn,,,-1.06,1.13,1.7,3.19,3.8,4.47,,,3.27,5.42
ZnS,II-VI,M_i_A,Sc,,,0.85,1.83,2.55,3.21,3.78,4.43,,,4.5,7.51
ZnS,II-VI,M_i_A,Li,,,-1.2,-0.69,2.52,3.24,3.91,4.63,,,2.34,4.74
ZnS,II-VI,M_i_B,Al,,,1.52,1.52,2.64,3.29,3.73,4.33,,,5.68,8.68
