AB,Type,Defect,Atom,Site,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A-rich),Delta_H (B-rich)
ZnO,II-VI,V_Zn,V,M_A,,,-1.46,-0.92,-0.27,0.34,1.11,3.13,,,6.27,3.01
ZnO,II-VI,O_Zn,O,M_A,,,-1.85,-0.99,-0.34,0.41,1.77,2.64,,,11.24,4.72
ZnO,II-VI,V_O,V,M_B,,,-1.16,0.62,0.63,1.86,2.7,3.7,,,0.97,4.22
ZnO,II-VI,Zn_O,Zn,M_B,,,-1.17,1.04,1.85,2.71,3.3,3.9,,,3.05,9.57
ZnO,II-VI,Zn_i_A,Zn,M_i_A,,,-1.23,0.77,1.72,2.9,3.57,4.17,,,3.61,6.87
ZnO,II-VI,Zn_i_B,Zn,M_i_B,,,-1.24,0.73,1.7,2.89,3.58,4.28,,,2.89,6.15
ZnO,II-VI,Zn_i_neut,Zn,M_i_neut,,,-1.32,0.64,1.46,2.73,3.47,4.2,,,3.48,6.74
ZnO,II-VI,O_i_A,O,M_i_A,,,-1.35,-0.74,-0.02,0.84,1.75,3.17,,,6.64,3.38
ZnO,II-VI,O_i_B,O,M_i_B,,,-1.4,-0.78,-0.46,1.44,2.19,2.2,,,6.64,3.38
ZnO,II-VI,O_i_neut,O,M_i_neut,,,-1.4,-0.81,-0.08,0.8,1.74,3.14,,,6.65,3.39
ZnS,II-VI,V_Zn,V,M_A,,,-1.34,-0.81,-0.24,0.27,0.88,3.86,,,4.55,2.55
ZnS,II-VI,S_Zn,S,M_A,,,-1.15,-0.38,0.62,1.35,2.65,4.03,,,6.72,2.71
ZnS,II-VI,V_S,V,M_B,,,-1.09,1.18,1.18,2.41,2.8,3.37,,,1.65,3.66
ZnS,II-VI,Zn_S,Zn,M_B,,,-1.13,1.33,1.68,2.18,3.06,3.66,,,2.55,6.56
ZnS,II-VI,Zn_i_A,Zn,M_i_A,,,-1.1,1.13,1.7,3.19,3.8,4.42,,,2.99,5
ZnS,II-VI,Zn_i_B,Zn,M_i_B,,,-1.09,1.73,2.03,3.2,3.82,4.65,,,3.28,5.29
ZnS,II-VI,Zn_i_neut,Zn,M_i_neut,,,-1.24,1.47,1.93,3.21,3.84,4.07,,,3.51,5.51
ZnS,II-VI,S_i_A,S,M_i_A,,,-0.88,-0.37,0.64,1.27,1.93,4.05,,,6.67,4.66
ZnS,II-VI,S_i_B,S,M_i_B,,,-1.03,-0.51,0.35,3.19,3.6,3.61,,,4.5,2.49
ZnS,II-VI,S_i_neut,S,M_i_neut,,,-1.08,0.56,0.83,1.72,2.29,4.21,,,6.39,4.38
ZnSe,II-VI,V_Zn,V,M_A,,,-1.11,-0.74,-0.28,0.16,0.63,2.97,,,3.69,1.88
ZnSe,II-VI,Se_Zn,Se,M_A,,,-0.93,0.29,0.99,1.67,2.76,3.32,,,6.37,2.75
ZnSe,II-VI,V_Se,V,M_B,,,-0.86,1.11,1.11,1.75,2.01,2.43,,,1.88,3.69
ZnSe,II-VI,Zn_Se,Zn,M_B,,,-0.96,1,1.28,1.65,2.26,2.84,,,2.15,5.77
ZnSe,II-VI,Zn_i_A,Zn,M_i_A,,,-0.92,0.72,1.25,2.44,2.94,3.4,,,2.17,3.98
ZnSe,II-VI,Zn_i_B,Zn,M_i_B,,,-0.88,1.26,1.62,2.45,2.99,3.61,,,2.55,4.36
ZnSe,II-VI,Zn_i_neut,Zn,M_i_neut,,,-0.88,1.03,1.53,2.46,2.98,3.53,,,2.77,4.58
ZnSe,II-VI,Se_i_A,Se,M_i_A,,,-0.5,-0.08,0.67,1.17,1.69,3.12,,,5.92,4.11
ZnSe,II-VI,Se_i_B,Se,M_i_B,,,-0.26,0.08,0.81,1.26,1.73,3.24,,,6.61,4.8
ZnSe,II-VI,Se_i_neut,Se,M_i_neut,,,-0.83,0.57,0.89,1.54,2.11,3.21,,,5.7,3.89
ZnTe,II-VI,V_Zn,V,M_A,,,-1,-0.68,-0.28,0.06,0.43,2.43,,,2.75,1.42
ZnTe,II-VI,Te_Zn,Te,M_A,,,-0.67,0.38,1.01,1.6,2.35,2.65,,,5.33,2.68
ZnTe,II-VI,V_Te,V,M_B,,,-0.75,0.97,0.97,1.18,1.31,1.67,,,2.23,3.56
ZnTe,II-VI,Zn_Te,Zn,M_B,,,-0.82,0.63,0.77,1.06,1.54,2.01,,,1.89,4.55
ZnTe,II-VI,Zn_i_A,Zn,M_i_A,,,-0.77,0.18,0.72,1.89,2.4,2.77,,,1.52,2.85
ZnTe,II-VI,Zn_i_B,Zn,M_i_B,,,-0.68,0.69,1.13,1.99,2.48,2.84,,,2,3.33
ZnTe,II-VI,Zn_i_neut,Zn,M_i_neut,,,-0.66,0.22,0.78,1.95,2.45,2.8,,,1.53,2.85
ZnTe,II-VI,Te_i_A,Te,M_i_A,,,-0.23,0.15,0.67,1.07,1.47,2.65,,,5.55,4.22
ZnTe,II-VI,Te_i_B,Te,M_i_B,,,0.01,0.3,0.74,1.15,1.48,2.76,,,6.17,4.84
ZnTe,II-VI,Te_i_neut,Te,M_i_neut,,,-0.57,0.56,0.9,1.35,1.82,2.72,,,5.2,3.88
CdO,II-VI,V_Cd,V,M_A,,,-0.98,-0.57,-0.21,0.27,0.73,1.81,,,5.26,3.22
CdO,II-VI,O_Cd,O,M_A,,,-1.01,-0.64,-0.24,0.18,1.37,2.07,,,8.96,4.89
CdO,II-VI,V_O,V,M_B,,,-0.69,0.52,0.67,1,1.54,2.21,,,0.61,2.64
CdO,II-VI,Cd_O,Cd,M_B,,,-0.58,0.61,1.22,1.94,2.33,2.81,,,1.78,5.86
CdO,II-VI,Cd_i_A,Cd,M_i_A,,,-0.68,0.36,1,1.85,2.26,2.63,,,1.71,3.75
CdO,II-VI,Cd_i_B,Cd,M_i_B,,,-0.77,0.3,0.96,1.8,2.27,2.65,,,1.36,3.4
CdO,II-VI,Cd_i_neut,Cd,M_i_neut,,,-0.82,0.27,0.91,1.74,2.2,2.62,,,1.93,3.96
CdO,II-VI,O_i_A,O,M_i_A,,,-0.85,-0.45,-0.01,0.55,1.23,1.86,,,4.51,2.47
CdO,II-VI,O_i_B,O,M_i_B,,,-0.95,-0.56,-0.17,0.7,1.68,2.06,,,4.8,2.77
CdO,II-VI,O_i_neut,O,M_i_neut,,,-0.96,-0.57,-0.18,0.72,1.57,2.05,,,4.81,2.77
