(+1/0),Type,AB,Site,M,Ion_pot_1.3-Ion_pot_1.1,Ion_pot_1.3-Ion_Energy.1,Electronegativity.3-Ion_pot_1.1,Electronegativity.3-Ion_Energy.1,Electronegativity.3-Elec_cond,Elec_Aff.2+Therm_cond.1,Group.2+At_rad_2.1,At_wt.3-Therm_cond.1,abs(Valence.3-Valence.2),abs(Elec_Aff.3-Elec_Aff.2),abs(Electronegativity.3-Electronegativity.2),At_wt.3-Density.2,abs(Ion_rad.3-Ion_rad.2),At_vol.1+Electronegativity,abs(Ox_state.3-Ox_state.2),MP/Electronegativity.3,Period.3-CM1,Ox_state.3/CM1,Electronegativity.3*Electronegativity,CM1/Cov_rad.2,abs(Cov_rad.3-At_rad_1.2),Heat_vap/Electronegativity.3,At_wt.3-CM5,PBE_latt_const+PBE_delta_H,Electronegativity.3*ICSD_vol.1,Electronegativity.3*Heat_vap.1,Thermal_expn.1/CM8,Electronegativity.3-Therm_cond,At_rad_1.1-Cov_rad.1,Ox_state.1*Heat_fusion,abs(Ion_pot_2.1-BP),At_vol.2+Valence.1,abs(At_rad_1-Eps_ion),Ion_pot_1.1/Period.1,At_wt.3+Ion_pot_1,At_vol.2+Ox_state.1,Therm_cond/Valence.1,abs(Density.2-Ion_pot_1.1),MP.1/Thermal_expn.1,Thermal_expn.3+Valence.1,abs(At_rad_2.1-Period)
2.27779997,II-VI,ZnS,M_i_neut,Zr,0.28143377,0.281296299,0.360637925,0.360496918,0.856698752,-0.621186437,-0.813321213,-0.3512918,-0.742786022,-0.688984389,-0.50473692,-0.002326123,-0.752019799,-0.793880021,-0.537634526,0.491933167,-0.469439979,-0.314205487,0.497043422,-0.03817033,-0.858513892,0.064942154,-0.154778824,-0.155104329,-0.356074774,0.386405221,1.31382686,0.623289988,-1.578021871,-2.258426773,0.419330422,0.750723922,-0.160655445,3.740180856,0.856767619,1.479198744,0.251708658,-1.03532987,-0.06953689,0.762682426,-0.766421465
0.81470233,IV-IV,SnC,M_i_neut,Br,-0.729376125,-0.729566932,-0.773871701,-0.774055173,-1.229110813,1.365422119,0.520385376,-0.207744811,-0.176824276,0.126158841,-0.172568099,-0.543530258,0.113194367,-1.633769752,-0.227273266,-0.617413126,0.119018241,-0.300262169,0.967049363,0.170242747,0.110947599,3.542091428,-0.064619159,0.496038945,-3.356336158,3.591344208,0.923426173,-1.560785133,-0.034505527,-0.392430589,-1.184010284,0.041253853,-0.56124411,-0.323769842,-0.191188283,0.764920052,0.115555645,0.148442405,-0.204493771,-0.679069273,1.129176298
2.56283333,II-VI,ZnS,M_i_A,Ta,-0.084049174,-0.084195344,0.212923167,0.212780469,0.691348011,-0.550075307,-0.67979404,-1.22496831,-0.578849158,-0.725230747,-0.602219604,0.730533531,-0.576074322,-0.793880021,-0.277921422,0.335358212,-0.880994509,-0.307163046,0.347722323,0.041565544,-0.471504978,0.030051944,-1.188159103,-0.155104329,-0.264971149,0.268736896,0.931063736,0.456279519,-1.578021871,-2.258426773,0.419330422,0.540706022,-0.160655445,3.740180856,1.760403176,1.269180844,0.251708658,0.714254023,-0.06953689,0.764262028,-0.766421465
1.04206235,III-V,InN,M_i_B,Cs,2.156462919,2.156453948,2.136841261,2.13680503,0.558121404,-0.659014114,-1.973513094,-0.762818339,-0.1397487,-0.672637281,-0.195086041,-1.649849915,-0.080345657,0.317985202,-0.227273266,0.604296362,-0.849530637,-0.302163251,0.333192666,-1.254402504,0.118664542,0.593093374,-0.677348445,-1.243403124,-0.16738006,0.795622659,0.072655625,0.747999561,-0.718276379,0.839510702,0.387852177,3.757587895,2.477878131,-0.045801387,-0.367196879,3.014627886,0.008167752,2.126861187,-0.351288383,0.297570577,1.74947578
1.15050036,IV-IV,GeC,M_i_neut,Re,0.198243168,0.198074438,0.147173258,0.147000332,-0.728999335,-0.843289561,-0.814886356,-1.242858466,-0.176824276,-0.558497499,-0.780401306,1.571959925,-0.47930431,-1.365015537,0.241504788,0.364123309,-0.909598835,-0.306002751,0.262799925,0.091677173,-0.468180626,0.066165184,-1.297735777,-0.063777628,-0.517929738,0.514609083,0.748805101,-0.598461249,-0.034505527,0.180489534,-1.296711571,-1.058058591,-0.85985305,-0.323769842,1.1322698,-0.334392392,0.104334913,1.156334114,-0.204493771,-0.662746712,-0.068584548
0.87503965,III-V,BP,M_i_B,Ta,-0.04485836,-0.045119893,0.252377159,0.252117837,-0.339938952,-0.550880685,-0.367013303,-1.225759975,-0.578849158,-0.725230747,-0.602219604,0.730533531,-0.576074322,1.646656411,-0.277921422,0.04019135,-1.055251449,-0.309912726,-0.157570803,0.025729004,-0.471504978,-0.059583664,-1.157309597,-0.512510599,0.011811915,0.265621458,2.578401261,-0.593595192,-0.834644207,0.466716702,0.850794814,-0.191404926,-0.242275325,-0.958462026,-0.105672247,0.534665584,0.040769365,0.648219643,-0.196977261,0.050889292,0.718647421
1.61685771,II-VI,CdO,M_i_A,Ta,0.929313309,0.929187147,1.233090664,1.23295551,0.557097637,-0.550113208,-1.662819214,-1.225005565,-0.578849158,-0.725230747,-0.602219604,0.730533531,-0.576074322,-0.923130202,-0.277921422,0.283156375,-0.735335575,-0.304864627,0.295897387,0.198946253,-0.471504978,0.025551415,-1.237288579,-0.383061644,0.076937341,0.277290201,0.281099305,0.229789694,2.759046375,1.698564835,2.852977428,-2.387737769,0.794752606,-0.066823893,1.577713663,-1.668880194,4.486851076,-0.993206384,-1.13517728,-2.089228918,2.137162955
0.82510988,IV-IV,GeC,M_B,Nb,0.663691542,0.663533889,0.604121652,0.603953958,-0.217494888,-0.260178299,-1.081940702,-0.989423333,0.501533815,-0.200332473,-0.294899297,-0.657951226,1.523339764,-1.365015537,0.20278977,-0.587867371,-1.286007089,-0.30893743,-0.238767183,0.033324576,1.992666549,-0.253389826,-0.142890456,-0.063777628,0.890259128,-1.011819308,0.899312244,-0.081822513,-0.034505527,0.180489534,-1.296711571,-0.925484791,-0.85985305,-0.323769842,0.870144178,-0.201818593,0.104334913,-0.996376121,-0.204493771,-0.333894168,-0.068584548
2.32137842,II-VI,ZnO,M_i_A,In,1.425426932,1.425312577,0.98979577,0.98965783,0.419005615,-0.770557709,-0.594601829,-0.581092484,-0.541773581,-0.612867036,-0.762779319,-0.206457374,-0.716830703,-1.138133574,-0.746699476,0.07747005,-0.379963406,0.253519899,0.101781689,-0.049307303,-0.566611906,-0.027414284,-0.46354007,-1.09399153,-0.149054127,0.074076285,0.270613285,0.181203452,2.759046375,1.481949792,2.703779725,-2.07271092,1.502734565,-0.066823893,1.094409815,-1.353853345,-0.386237965,0.504083781,-1.13517728,-2.021306002,0.939402109
1.74419337,II-VI,ZnO,M_A,Re,1.70156995,1.701462167,0.344536974,0.344391646,-0.303292019,-0.877224403,-1.395764868,-1.26155934,1.336042027,1.338204874,0.980746559,1.595830333,0.08578578,-1.138133574,0.881618964,-0.606492534,2.650556005,-0.287509693,-0.550494051,0.004616701,-0.826564027,-0.179824341,-1.26432982,-1.09399153,-0.74842134,-0.464881045,0.334542071,-0.548344333,2.759046375,1.481949792,2.703779725,-2.522280486,1.502734565,-0.066823893,1.798210408,-1.803422911,-0.386237965,-0.079452147,-1.13517728,-2.644967249,0.939402109
