(+2/+1),Type,AB,Site,M,abs(Valence.3-Valence.2),Elec_Aff.3-CM2,Electronegativity.3+Electronegativity,abs(Therm_cond.3-Ion_pot_1.2),Electronegativity.3+Ion_pot_2.2,Heat_vap.1/Electronegativity.3,abs(Ion_pot_1.3-MP),abs(Ion_Energy.3-Therm_cond.2),Electronegativity.2+At_rad_2.1,Elec_cond/Elec_Aff.3,Elec_Aff.2-At_wt.2,Ox_state.2+At_rad_1.2,abs(Ox_state.3-Ox_state.2),abs(Density.3-CM1),abs(Density.2-CM1),abs(Period.3-At_wt.2),abs(Elec_cond.3-At_vol.3),abs(Ion_Energy.3-Ion_Energy.2),abs(At_vol.3-CM4),abs(At_vol.3-Density.2),abs(Elec_Aff.3-Valence.2),abs(Ion_pot_2.3-Ion_pot_2.2),abs(At_vol.3-CM6),abs(Ion_rad.3-CM5),Elec_Aff.3*Mend_num,At_wt.1+Heat_vap,Elec_cond.2+CM1,Thermal_expn.1/CM8,Valence.3/Ion_pot_2.2,Valence.3/Ion_pot_2.3,Ox_state.3/CM1,abs(At_wt.3-CM2),Valence.3/Ox_state.2,abs(Group.3-Elec_Aff.2),Thermal_expn.1/Eps_ion,abs(At_vol.3-At_rad_2.1),abs(ICSD_vol.3-At_vol.2),abs(Elec_cond.3-Density.2),abs(Elec_cond.2-Elec_Aff),abs(Elec_cond.2-Electronegativity),Thermal_expn.3^-1,Ox_state.3-CM1,At_wt.1-Ion_pot_1,abs(Group.3-Density.1),abs(Mend_num.3-Density.1),At_vol.1+Heat_vap,ICSD_vol.1+Heat_vap,abs(BP.3-Group.2),abs(Heat_fusion.3-Mend_num.2),abs(Heat_fusion.3-Group.2),abs(BP.3-Mend_num.2),At_rad_1.1-Cov_rad.1,abs(Elec_Aff.3-ICSD_vol.1),At_vol.1+Electronegativity,abs(Mend_num.2-MP.2),Ion_Energy.3+Elec_cond.2,Electronegativity.3-Ox_state.2,Heat_vap.2/Ion_pot_1.3,abs(Mend_num.3-At_rad_1.1),Mend_num.3*Elec_Aff.3,Ion_rad.2/Ion_pot_1.3,At_wt.3-Density.2,abs(Ion_pot_2.3-Therm_cond.1),abs(CM4-Ion_pot_2),Electronegativity.3-Ion_pot_1.1,Electronegativity.3-Ion_Energy.1,Heat_fusion/Elec_cond.2,Elec_cond.2+CM8,ICSD_vol.2+Ox_state.1,abs(Density.2-BP),abs(Density.2-Sp_heat_cap),Thermal_expn.1/Ion_rad,abs(Density.2-Ion_pot_2.1),Heat_fusion.2+Ox_state.1,Ox_state.3/Electronegativity.2,Sp_heat_cap.1-Ion_pot_2,Ion_pot_1.1-Ion_pot_2,Ion_Energy.1-Ion_pot_2
1.72784859,II-VI,ZnS,M_i_neut,Zr,-0.742786022,0.232295922,-1.186330062,-0.912231188,-0.729591397,0.592430845,-1.10973644,-0.729975564,-0.750854516,-0.125151585,-0.01462573,0.717846708,-0.537634526,-0.795564383,-0.803246265,-0.19832824,-0.835565238,-0.647210415,-0.597585758,-1.035714929,-0.852005494,-0.509950562,-0.887043991,-0.715947698,0.32553993,-1.368493934,-0.643027007,1.31382686,-2.272853002,-1.695642162,-0.314205487,-0.698164035,1.973303584,-0.631046391,-0.581401793,-1.088689072,-0.550330678,-0.754026719,-0.555500045,-0.624718776,-0.112594276,-0.698653345,1.415532044,-1.123498584,-0.708192365,-0.89917904,-0.659379256,0.624314431,-0.600547912,-0.05566323,0.1570179,-1.578021871,-0.535497913,-0.793880021,-0.305658999,-0.581933547,0.921701326,0.104390353,-1.071635859,-0.424699613,1.393583852,-0.002326123,-0.782502563,-0.610921368,0.360637925,0.360496918,0.481457801,-0.755055673,1.484118352,0.022800436,-0.999758377,-0.743328853,-0.637686512,1.93503498,-0.152509906,-0.636316709,-0.23561672,-0.235474007
-0.2,IV-IV,SnC,M_i_neut,Br,-0.176824276,-0.886260273,1.824100229,1.391568484,1.266738531,0.424941414,1.218142243,1.205276129,0.640845782,-8.330102561,-2.187312773,-2.077277939,-0.227273266,-0.590854195,-0.422691367,-1.014530797,0.25054231,-0.219107891,-0.71877547,0.316786442,-0.668357608,-0.598894116,0.591195189,1.628656595,3.892243253,-0.76170954,-0.729040293,0.923426173,0.153395263,0.152625741,-0.300262169,0.775650219,-0.421710148,0.53871345,-0.587209078,0.552074519,1.55154972,-0.802476887,1.203451767,0.44067269,-0.083291796,0.655491636,0.829728806,1.266622513,1.080788274,-2.03290467,-1.888444417,1.885081593,1.313240409,1.412831282,1.901032978,-0.034505527,3.8222147,-1.633769752,1.98044724,0.588336235,-2.223793564,-0.022420583,1.673756442,1.949653761,0.384546468,-0.543530258,0.015140181,1.17825497,-0.773871701,-0.774055173,0.627421002,-1.140909407,1.870031393,0.077638801,-1.106655582,-0.118745703,0.276585657,-0.306310111,-0.158739045,-1.491474888,-1.480607079,-1.4805935
1.37888225,II-VI,ZnS,M_i_A,Ta,-0.578849158,0.906074265,-1.013933656,-0.757085414,-0.453161632,0.384796614,-0.524889052,-0.763656962,-0.563766183,-0.083941441,1.006326214,0.920073382,-0.277921422,0.918368134,1.294034078,-0.133088402,-0.725331693,-0.805480166,0.783831932,0.885922202,-0.213157689,-0.579501995,-0.572385621,-0.720176915,0.209926113,-1.368493934,-0.21708843,0.931063736,-0.173098495,-0.096632923,-0.307163046,-1.0793496,0.519875383,-0.733820528,-0.581401793,-1.210658598,-0.549279692,0.93410549,-0.111178325,-0.174050162,-0.116060359,-1.022892879,1.415532044,-0.931936748,-0.559986217,-0.89917904,-0.659379256,1.080082149,0.340142696,0.824513334,0.692778511,-1.578021871,-0.632209375,-0.793880021,1.230057841,0.003817385,1.291462962,0.153375684,-1.213341449,-0.447875011,0.026080347,0.730533531,-0.599368502,0.367607226,0.212923167,0.212780469,0.084649678,-0.29240608,1.236202267,2.181475751,1.203917518,-0.743328853,0.333210437,2.672257749,-0.139098445,-0.636316709,-0.23561672,-0.235474007
-0.64681743,III-V,InN,M_i_B,Cs,-0.1397487,1.250878786,-1.1646877,0.205271205,-0.342466557,1.192578769,-0.589462355,-0.031507525,-2.104745466,0.057874139,0.527493235,1.374598634,-0.227273266,-0.184667274,0.034336038,-0.29316433,3.605206561,-0.201704572,2.931079402,3.715401932,0.732246492,-0.476156293,4.171942823,1.156638907,0.054147031,-1.074268898,-0.339999099,0.072655625,-0.137228917,-0.073394908,-0.302163251,0.562409765,0.133641619,0.119001086,-0.12089957,5.098922419,4.64438107,-0.17760565,-0.949023547,-1.029797808,0.535849662,0.760199865,0.107803637,-1.266343623,-1.140555043,0.157470782,-0.308959276,-1.122416795,-0.183925089,-0.741432589,-0.672716373,-0.718276379,-0.966582278,0.317985202,-1.077654764,-1.186766708,-0.159038581,0.328152663,-1.110429602,-0.22765165,-0.192374765,-1.649849915,0.398485979,-0.688409065,2.136841261,2.13680503,0.19512284,-0.603391953,1.241765883,-0.240732524,-1.192775855,0.46456244,1.568602917,-1.197804673,-0.112123987,-1.23470185,-1.554363798,-1.554496397
1.11014147,IV-IV,GeC,M_i_neut,Re,-0.176824276,1.79386452,0.968101959,-0.666746508,-0.28310336,0.116208948,-1.000013373,-0.66013155,-0.525705002,0.117531294,1.411328643,1.956242704,0.241504788,1.774645924,2.316990792,0.072673046,-0.70864324,-0.803913138,1.87724727,1.757795252,1.797246881,-0.490238123,-0.945530125,-0.549919097,-0.549758062,-0.524050005,-0.364959583,0.748805101,-0.087794166,-0.032928869,-0.306002751,0.147999174,0.349408431,-0.680603877,0.578870576,-0.915551492,-0.482124685,1.99006785,0.737635389,0.28407425,-0.115477018,-1.925489648,1.075484825,-0.648995847,-0.438324745,-1.7597733,-1.606163924,0.742187764,-0.165107194,0.116318518,0.525414771,-0.034505527,0.818356683,-1.365015537,1.171548917,-0.123122592,1.973896234,0.153647208,0.221274141,-0.482808143,0.052193451,1.571959925,-0.885840227,1.819687043,0.147173258,0.147000332,-0.165391108,-0.633280426,-0.361213367,0.96629253,2.416961176,0.242484299,1.031052634,1.058240085,-0.131804475,-1.156337979,-1.125997854,-1.125937439
0.32305292,III-V,BP,M_i_B,Ta,-0.578849158,-0.514734396,0.693829773,-0.757085414,-0.453161632,0.390392972,0.609699907,-0.763656962,-0.250985446,-0.025630571,1.006326214,0.920073382,-0.277921422,1.163669795,1.543845994,-0.133088402,-0.725331693,-0.805480166,-0.614535801,0.885922202,-0.213157689,-0.579501995,-0.214621956,-0.684101545,0.152150132,0.736379771,-0.367212207,2.578401261,-0.173098495,-0.096632923,-0.309912726,1.708544488,0.519875383,-0.733820528,-2.891561171,-0.71821656,-0.549279692,0.93410549,-0.69153409,0.281802938,-0.116060359,-1.172485028,-0.380657856,-0.800117313,-0.427554966,1.846407884,1.066321815,1.080082149,0.340142696,0.824513334,0.692778511,-0.834644207,-0.773392016,1.646656411,1.230057841,0.003817385,1.291462962,0.153375684,-1.172757928,-0.447875011,0.026080347,0.730533531,-0.598146466,1.674292824,0.252377159,0.252117837,-0.158155849,0.39385844,0.501687008,-1.248184239,-1.283221812,-3.728953008,1.045963342,1.937742489,-0.139098445,1.066663939,1.675382968,1.675918308
1.21525667,II-VI,CdO,M_i_A,Ta,-0.578849158,2.093708313,-0.838778432,-0.757085414,-0.453161632,0.370402379,-0.387151718,-0.763656962,-1.546791357,-0.098352898,1.006326214,0.920073382,-0.277921422,0.713323913,1.085219799,-0.133088402,-0.725331693,-0.805480166,2.585960575,0.885922202,-0.213157689,-0.579501995,-0.994349703,-0.777628859,0.190667453,-1.724622959,-0.091602069,0.281099305,-0.173098495,-0.096632923,-0.304864627,1.547892404,0.519875383,-0.733820528,0.506864687,0.178603619,-0.549279692,0.93410549,-0.111178325,-0.409306301,-0.116060359,-0.897850898,1.49588596,-0.593951717,-0.22043249,-1.300362466,-1.742293184,1.080082149,0.340142696,0.824513334,0.692778511,2.759046375,-0.528384927,-0.923130202,1.230057841,0.003817385,1.291462962,0.153375684,0.739219141,-0.447875011,0.026080347,0.730533531,-0.599310994,2.283672369,1.233090664,1.23295551,0.074769707,-0.552311096,-1.701858771,2.337040827,1.818006329,0.239675712,-0.419246211,-0.26580329,-0.139098445,-1.433976365,-1.744960784,-1.745012468
-0.21257022,IV-IV,GeC,M_B,Nb,0.501533815,0.349175411,0.434802088,-0.292835214,-0.608075523,-0.036959259,-0.255200873,-0.516910311,-0.855860884,-0.054528789,-0.334910055,0.917817254,0.20278977,0.237438344,-0.441924757,2.239783206,0.220241933,-0.164881571,0.021232947,0.244052363,-0.316241212,0.08726889,1.658054975,-0.693873567,0.131812135,-0.524050005,-0.350329113,0.899312244,-0.069976398,-0.140795883,-0.30893743,-0.791892342,0.15777713,-0.624033949,0.578870576,1.600689519,2.957277712,-0.859887333,0.676349635,0.221913061,0.386677572,-0.920549637,1.075484825,0.376286507,1.025447309,-1.7597733,-1.606163924,-1.475429992,0.263321548,-0.301298562,-1.04292168,-0.034505527,1.353030092,-1.365015537,0.459152052,-0.590701071,1.41124416,0.103363068,1.62084282,-0.442931668,0.53762863,-0.657951226,-0.836426663,0.343260032,0.604121652,0.603953958,-0.127985989,-0.75673954,-0.210692887,-0.825913583,-0.284389059,0.242484299,-0.858559471,0.75597875,-0.13772787,-1.156337979,-1.125997854,-1.125937439
1.0861753,II-VI,ZnO,M_i_A,In,-0.541773581,0.734017087,-0.729986633,-0.109474499,0.057870885,0.044247937,-0.935545711,-0.162556961,-1.238645867,-0.211692889,0.428944092,0.267445901,-0.746699476,-0.771449569,-0.750929916,-1.121517975,-0.777159151,-0.487843745,-0.163462592,-1.014043753,-0.950548359,-0.707907619,-0.432186729,-0.765421817,0.568328947,-1.641147278,-0.507006937,0.270613285,0.010299619,0.036923078,0.253519899,-0.398473377,-0.148248877,0.71586158,0.479840763,0.599177044,-0.541186103,-0.665351957,-0.471232132,-0.539247143,-0.421729494,-0.182820936,1.673450219,0.938542971,0.779959011,-1.204427637,-1.643144811,-0.2586914,0.522035684,0.59024168,-0.341740393,2.759046375,-0.82819046,-1.138133574,0.736848769,-0.79684516,-0.037990305,0.496205073,1.695731876,-0.65161536,1.265899211,-0.206457374,-0.22040956,-0.112763825,0.98979577,0.98965783,0.406201088,-0.880488553,-1.325557572,0.193110126,-0.825898346,0.173166555,1.526121769,-1.874914853,-0.164171163,-1.162160255,-1.457351459,-1.457365156
1.04627051,II-VI,ZnO,M_A,Re,1.336042027,0.126325627,0.023088411,-0.438865219,0.245487946,-0.820768251,-0.49366046,-0.237917601,-1.106583514,0.142365184,1.411328643,1.956242704,0.881618964,1.712786851,0.513240333,0.505823221,-0.436634268,1.647548444,-0.267084565,1.298754717,0.676920772,0.0790562,-0.824074049,-0.000311455,-0.424970298,-1.641147278,2.569669917,0.334542071,-0.021480494,0.049644866,-0.287509693,-0.364607378,0.124933253,1.399850548,0.479840763,0.572397321,0.464212982,2.54416634,-0.287374869,-0.352763578,0.123725603,0.138579147,1.673450219,1.232788131,1.454264589,-1.204427637,-1.643144811,1.997435261,0.398994486,0.677587504,1.857906868,2.759046375,0.002708688,-1.138133574,1.171548917,-0.898165699,1.381485791,0.073276979,2.340461336,-0.033191037,0.647426337,1.595830333,-0.556625205,-0.226089781,0.344536974,0.344391646,0.242004623,-0.301608799,-1.830243886,3.107534687,2.149281438,0.173166555,-1.091191384,-0.410790434,-0.132264594,-1.162160255,-1.457351459,-1.457365156
