(-1/-2),Type,AB,Site,M,At_vol.1+Mend_num,Valence.1+Ion_pot_2.1,At_rad_2.1-Elec_cond,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Ox_state.1+Ion_pot_2.1,At_rad_2.1+ICSD_vol,Ox_state.1+Ion_pot_1.1,Ox_state.1+Ion_Energy.1,abs(Electronegativity.1-Ion_rad.1),PBE_gap,Ion_pot_1.1-ICSD_vol,Ion_Energy.1-ICSD_vol,Therm_cond.1^-1,At_rad_2.3-Mend_num,Electronegativity.2+At_rad_2.1,Thermal_expn.1-Ion_pot_2.1,Ion_pot_2.3+At_rad_2.1,ICSD_vol+BP,Period.3-Mend_num,At_rad_1.3-Electronegativity,At_rad_2.3-Electronegativity,At_wt.3-Electronegativity.2,Ion_pot_1.3+ICSD_vol,MP/At_rad_2.3,Heat_fusion.3+Ion_pot_1.3,Cov_rad/Electronegativity.1,Group*Eps_elec,Ion_rad/Density.1,BP/Eps_elec,PBE_latt_const^3,Ion_rad/At_wt.1,abs(Elec_Aff.2-Group.1),Thermal_expn.1/PBE_latt_const,abs(Elec_Aff.2-ICSD_vol.1),abs(Electronegativity.3-Ion_rad.3),abs(Ion_rad.3-Electronegativity.2),At_rad_1.1*At_wt,abs(Cov_rad.3-Ion_pot_1),Ion_rad/Heat_fusion.1,CM5-Therm_cond,abs(Group.2-ICSD_vol.1),Ox_state.3*Elec_Aff.2,Mend_num.3-Ox_state.2,Mend_num.3-Electronegativity.2,Group.3^3,abs(Valence.3-CM5),abs(Group.2-Mend_num.1)
3.54150521,II-VI,ZnS,M_i_neut,Zr,-1.334250054,1.459344103,0.649298699,0.913280353,0.913233322,2.282047275,-0.670489818,1.961435005,1.961615364,1.143170049,0.921531414,-0.401928952,-0.401773023,-0.566487935,-1.245463614,-0.750854516,0.838529141,-0.552366904,-1.888954333,-1.151470823,-0.840985752,-0.992152691,-0.333253159,-0.73882183,-0.307061435,-0.065668345,0.35757447,1.315221978,-0.305812677,0.065701696,0.156834607,-0.288859799,0.579142372,0.294240559,-0.454520603,-0.853780642,-0.75890821,0.02339403,0.004560973,-0.194375104,0.451967448,0.071742961,-0.113237711,0.700540669,-0.599493036,-0.125252652,-0.522516081,1.025503688
2.03669917,IV-IV,SnC,M_i_neut,Br,-0.686152196,-0.220548972,0.58212224,0.168888684,0.168717951,0.66441512,0.356829981,0.562499549,0.562383112,1.676017201,-0.484608581,0.710013896,0.710170244,-0.600911336,2.122976551,0.640845782,1.715289409,-0.407174515,1.794394207,1.618529449,1.283806415,1.493492336,1.441208317,2.097179333,0.568998916,0.634474703,0.113847909,-0.999083323,-0.34936849,-0.024268227,0.129571178,-0.626713282,3.227370641,0.614234728,4.014186045,-0.638159178,-1.042206127,-1.793188656,-0.520739706,2.127234111,-0.059332739,3.430486692,-2.951307389,-2.096705833,0.672027074,0.966648671,0.953165481,2.745321279
3.56871222,II-VI,ZnS,M_i_A,Ta,-1.334250054,1.459344103,0.649298699,0.913280353,0.913233322,2.282047275,-0.670489818,1.961435005,1.961615364,1.143170049,0.921531414,-0.401928952,-0.401773023,-0.566487935,-1.171031897,-0.563766183,0.838529141,-0.441057555,-1.888954333,-1.614178414,-0.53937301,-0.912413238,-0.986553667,-0.351066838,-0.225930466,0.899065096,0.35757447,1.315221978,-0.305812677,0.065701696,0.156834607,-0.288859799,0.465400979,0.294240559,-0.56243439,-1.090039435,-1.285067611,0.02339403,0.369160342,-0.194375104,0.422393829,-0.163757621,-0.10912846,1.150055569,-0.413208985,-0.07745329,-0.089084565,0.790910828
2.60561415,III-V,InN,M_i_B,Cs,0.946975319,1.533024554,0.63118967,0.492485358,0.492479259,0.571513147,-0.093145617,0.980965274,0.981070509,-0.816095836,-0.513470074,-0.422566026,-0.422494152,-0.561114388,-1.266025604,-2.104745466,1.184721564,-0.54041579,1.132356744,-0.355655133,-2.190577437,-1.790774644,-1.270932271,0.004957031,-0.963932394,-1.400376923,0.232975541,-0.562879118,-0.31547972,0.167854416,0.119804181,-0.340202049,-0.959440955,0.079074057,-0.849902753,2.104804841,2.539512918,-1.616319071,2.956993551,-0.103412233,0.09172097,0.262165825,0.2682737,-0.02713183,-0.12129793,-0.491799039,-0.023805982,-0.239843797
1.9625782,IV-IV,GeC,M_i_neut,Re,-0.991796327,-0.220548972,0.106286578,0.453800514,0.453664757,0.66441512,-0.213238036,0.562499549,0.562383112,1.676017201,0.560460013,0.147609771,0.147780843,-0.600911336,1.013472161,-0.525705002,1.715289409,-0.954792706,1.190950896,0.483360387,1.086816885,0.735057316,-0.625224375,0.521462145,0.068283983,0.78039869,1.466144319,2.991419872,0.889299952,0.228379645,-0.221607084,1.337787514,-0.305437018,1.012578321,0.662383826,-0.225523139,-0.24526699,-0.250221863,-0.564380908,-3.833942799,-0.161433088,1.075480871,-1.26562655,2.095075902,0.163932858,-0.044802215,0.914661475,0.399392679
1.96957602,III-V,BP,M_i_B,Ta,-0.044517171,-0.037691808,-0.571602441,0.393104898,0.392865634,0.842772044,-1.249142813,1.13370579,1.133584554,-0.717841573,0.166692375,-1.308497745,-1.308200787,-0.565728479,-0.553959848,-0.250985446,-0.659001019,-0.152596708,-0.178628419,-0.984916774,1.107010191,0.724258973,-0.986553667,-1.26307059,0.015002017,0.899065096,0.100129555,-0.573752364,0.224623008,0.020539794,-0.302354653,0.143036781,-1.124479716,-3.567989532,-0.746335937,-1.090039435,-1.285067611,-0.019405557,-0.02104751,0.363054226,-0.591933157,-1.295801621,-0.10912846,1.150055569,-0.413208985,-0.07745329,-0.124985215,-0.85002756
2.5860344,II-VI,CdO,M_i_A,Ta,-1.401406415,-0.360739222,1.461069573,1.825704743,1.825765185,0.524085414,-0.853890702,-0.259259217,-0.259496064,0.514926024,-0.62952153,-0.674166365,-0.673999163,-0.566452139,-0.965341214,-1.546791357,-1.787669836,-1.347648788,-0.92238924,-1.404424534,-0.370513194,-0.744549421,-0.986553667,0.437693165,-0.183320269,0.899065096,0.375623093,0.193109979,-0.148475168,0.035010917,0.142272344,-0.185566327,0.465400979,0.294038889,-0.517148186,-1.090039435,-1.285067611,-2.382231358,0.06541595,0.017767461,0.250248646,-1.343301881,-0.10912846,1.150055569,-0.413208985,-0.07745329,-0.031910875,0.46272315
2.70441523,IV-IV,GeC,M_B,Nb,-0.991796327,-0.220548972,0.106286578,0.453800514,0.453664757,0.66441512,-0.213238036,0.562499549,0.562383112,1.676017201,0.560460013,0.147609771,0.147780843,-0.600911336,0.340183945,-0.855860884,1.715289409,-1.138356873,1.190950896,0.191749298,0.172360307,0.013756822,-0.692563727,0.027649962,1.510720715,-1.425495871,1.466144319,2.991419872,0.889299952,0.228379645,-0.221607084,1.337787514,0.627242403,1.012578321,1.547276878,-0.340866467,-0.660863434,-0.250221863,-0.696712157,-3.833942799,-0.868316595,0.604479707,0.246719899,0.103624254,-2.05956528,0.073677839,-0.378491959,-0.069793041
3.69240999,II-VI,ZnO,M_i_A,In,-1.707050546,-0.360739222,1.581395874,2.031799842,2.031885585,0.524085414,-1.61398139,-0.259259217,-0.259496064,0.514926024,-0.485214067,-1.424038533,-1.423851698,-0.566452139,-1.075333975,-1.238645867,-1.787669836,-1.117351529,-1.888954333,-1.151470823,-0.947437308,-0.809891083,-0.089807042,-0.877412969,-0.121619219,-0.898313337,1.727475979,1.438681493,-0.427531423,0.06887315,-0.190824188,-0.458341896,0.817999297,0.225724894,-0.851680925,-1.049858428,-1.154734253,-0.024549759,0.037706371,-0.222680029,0.475147028,0.540702775,-0.001924612,-0.553808565,-0.9369532,0.133087865,-0.964840655,-1.41401973
3.4579424,II-VI,ZnO,M_A,Re,-1.707050546,-0.360739222,1.581395874,2.031799842,2.031885585,0.524085414,-1.61398139,-0.259259217,-0.259496064,0.514926024,-0.485214067,-1.424038533,-1.423851698,-0.566452139,-1.204383128,-1.106583514,-1.787669836,-1.321704256,-1.888954333,-1.483690499,-0.581622796,-0.94814275,-0.611343224,-1.170383777,-0.262283486,0.288641732,1.727475979,1.438681493,-0.427531423,0.06887315,-0.190824188,-0.458341896,0.988611386,0.225724894,-1.013551605,1.331006104,0.40945069,-0.024549759,0.75678925,-0.222680029,0.448713822,-0.872300717,-1.885135172,1.193681553,-1.431099346,0.34700737,2.082582857,-0.00646257
