(0/-1),Type,AB,Site,M,Ion_Energy.3-Ion_pot_1.1,Ion_Energy.3-Ion_Energy.1,Valence.1-Cov_rad.1,Cov_rad.3-Therm_cond.1,At_vol.1+Mend_num,Electronegativity.3+Therm_cond.1,Electronegativity.2-Ion_pot_1.1,Electronegativity.2-Ion_Energy.1,Period.3-Therm_cond.1,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Elec_Aff.2+Therm_cond.1,Ion_pot_1.1+Ion_pot_1,Ion_Energy.1+Ion_pot_1,At_rad_1.3+Elec_cond,ICSD_vol.3-Therm_cond.1,PBE_gap,Therm_cond.1^-1,Elec_Aff.2-Ion_pot_1.1,MP.1-Mend_num,Elec_Aff.2-Ion_Energy.1,Cov_rad.3+Elec_cond,Ion_pot_1.1/At_wt.1,Electronegativity+At_rad_2,Thermal_expn.1/Ion_Energy,abs(Group.3-Group.2),abs(Ion_rad.3-Ion_rad.2),abs(Electronegativity.3-Electronegativity.2),Ion_pot_2/MP.1,At_wt.3-Elec_Aff.2,abs(Thermal_expn.3-Elec_Aff.3),MP/Electronegativity.3,abs(Elec_Aff.3-CM5),abs(Electronegativity.2-Electronegativity),Ion_pot_2.2-Therm_cond,Elec_Aff.2*Electronegativity,Period.3-Elec_Aff.2,CM1/Cov_rad.3,CM1/Cov_rad.2,Therm_cond/Ion_pot_2.3,Therm_cond.1/At_num.3,MP.1+Elec_cond,CM1/At_rad_2.2,Ion_pot_2.2*CM5,Ox_state.3^-1,abs(Electronegativity.3-At_vol.3),abs(Valence.3-Ox_state.2),Heat_fusion/Elec_Aff.2,abs(At_rad_2.3-At_rad_2.2),At_vol/At_rad_1.1,abs(Elec_Aff.2-Elec_cond),BP/Group.3,Heat_vap.3+Ion_pot_2.2,abs(Group.2-BP),Electronegativity.3*Therm_cond.1,Ion_pot_2/Eps_ion,Electronegativity.3*Heat_vap.1,Group.2*Mend_num.1,exp(PBE_gap),abs(Ion_rad.3-At_vol.2),abs(Group.3-BP),abs(Valence.3-Group),At_wt.3-Density.2,At_vol.1*Cov_rad,abs(At_vol.3-CM5),MP/Cov_rad.3,abs(At_rad_2.2-Group.1)
2.66033048,II-VI,ZnS,M_i_neut,Zr,0.174964043,0.174823896,-1.392206069,-0.621249728,-1.334250054,-0.861877656,0.476747169,0.476593601,-0.607226671,0.913280353,0.913233322,-0.621186437,1.022074911,1.022073265,0.536712469,-0.33934358,0.921531414,-0.566487935,0.127480221,-0.985520057,0.127326653,0.582310592,3.705267034,-1.352539223,-1.26020467,-0.469758791,-0.752019799,-0.50473692,0.222605043,-0.008991581,-0.898178146,0.491933167,-0.707259873,-0.907864527,0.592682651,0.186719314,-0.26898603,0.001984892,-0.03817033,-0.12309475,0.1357255,0.063436686,-0.045781992,0.588442648,0.419131686,-0.832228839,-0.227067197,0.177723478,-0.606224111,-0.033475359,-0.301755479,0.069834425,0.620110411,-0.794476155,0.368630364,0.347689489,0.386405221,-0.940261109,0.017723185,-0.809253809,-0.579742708,0.354178481,-0.002326123,-0.072550421,-0.654821052,-0.199768129,-0.183301433
0.81470233,IV-IV,SnC,M_i_neut,Br,-0.721279158,-0.72146597,-0.455437824,0.003904474,-0.686152196,0.647143647,-1.018909375,-1.019094131,-0.124009813,0.168888684,0.168717951,1.365422119,0.36255418,0.362415086,-0.731155773,-1.832312356,-0.484608581,-0.600911336,-1.527040977,-0.89375135,-1.527225733,-0.517549426,-0.219095465,1.366553941,0.475498918,-0.284824384,0.113194367,-0.172568099,0.198951214,2.128311397,1.475108725,-0.617413126,1.595218196,-0.018022248,-0.615935551,1.981863779,2.118844265,0.030141567,0.170242747,-0.040775938,0.223002055,2.091588582,0.172364659,-0.030444656,0.381372571,-0.371150936,3.178567086,-2.327163242,-0.31692834,-0.350183207,1.698957709,0.45631878,-0.628813682,0.197908767,-1.09473299,0.351063516,3.591344208,-2.84365156,-0.314197522,1.001905551,-0.076711284,-1.114460434,-0.543530258,-2.440414674,0.22145853,0.279059975,-1.294157332
2.99004641,II-VI,ZnS,M_i_A,Ta,-0.072327839,-0.072472816,-1.392206069,-0.411137519,-1.334250054,-0.707976116,0.289658836,0.289505268,-1.057269695,0.913280353,0.913233322,-0.550075307,1.022074911,1.022073265,0.246811003,-0.135398059,0.921531414,-0.566487935,0.056369091,-0.985520057,0.056215523,0.362824808,3.705267034,-1.352539223,-1.26020467,-0.536756126,-0.576074322,-0.602219604,0.222605043,-0.855384346,-0.814884895,0.335358212,-0.665698824,-0.612243104,0.449627528,0.089265984,-0.653742299,0.01287468,0.041565544,-0.075753857,-0.373508809,0.063436686,-0.057577108,0.436252945,0.406389206,-1.055857243,0.125620559,0.084965293,-0.651202264,-0.033475359,-0.41000235,0.056756309,1.29787472,-0.557965797,0.207690325,0.347689489,0.268736896,-0.711146851,0.017723185,-0.958691372,-0.387948694,0.867368513,0.730533531,-0.072550421,-0.693596498,0.031168821,-0.033260251
1.69205397,III-V,InN,M_i_B,Cs,2.163883227,2.16386546,-1.441058999,-2.345957218,0.946975319,-1.356409653,2.453968642,2.453904419,-1.062903451,0.492485358,0.492479259,-0.659014114,0.773501209,0.773555243,1.565497226,-1.958299287,-0.513470074,-0.561114388,1.542492225,1.254496517,1.542428001,1.585704112,-0.065289087,1.48024298,-0.074160108,-0.268766786,-0.080345657,-0.195086041,-4.461245106,-0.469575333,-0.584197802,0.604296362,-0.714393581,0.215641492,-0.702789828,0.056925189,-0.755866699,-0.161976999,-1.254402504,-0.170079841,-0.093703727,-1.080540573,-0.571582479,-0.258014342,0.381372571,3.957272521,-0.935503913,0.15510055,0.15197904,-0.382887542,-0.856954339,0.754180443,-0.15185934,0.016656018,0.890691704,-3.702532511,0.795622659,0.498781835,-0.317263193,3.898086593,-0.258173291,0.160686631,-1.649849915,0.525898806,3.476085529,-1.199540749,1.682492517
1.7627694,IV-IV,GeC,M_i_neut,Re,0.208881098,0.208712458,-0.455437824,-0.263511065,-0.991796327,-0.312477725,0.147641409,0.147456653,-1.024095862,0.453800514,0.453664757,-0.843289561,0.626922459,0.62682517,-0.851842323,0.003197329,0.560460013,-0.600911336,0.681670703,-1.212532892,0.681485947,-0.748861002,-0.219095465,0.80499348,0.296652395,-0.670750796,-0.47930431,-0.780401306,0.193467286,-1.247898806,-0.678567334,0.364123309,-0.834129212,-0.271791018,0.013898869,-0.583693042,-0.977499872,0.019596758,0.091677173,0.073040839,-0.440639874,1.513312941,-0.015577833,0.638823687,0.40007705,-0.42651118,0.830996072,-0.349674509,-0.728307669,-0.714842486,-0.899287094,-0.00861135,0.981287678,-0.473005748,-0.161369229,0.358330509,0.514609083,0.352861872,-0.115531282,-0.90578679,-0.520582361,-1.114460434,1.571959925,-0.171413131,-0.59647174,-0.416058003,0.415991827
1.33542928,III-V,BP,M_i_B,Ta,-0.033301369,-0.033561391,-0.335241851,-0.411922056,-0.044517171,-0.708769143,0.331405494,0.331128049,-1.058057892,0.393104898,0.392865634,-0.550880685,-0.884634159,-0.885069016,-0.749524335,-0.136181669,0.166692375,-0.565728479,0.098115749,0.045332444,0.097838304,-0.62914166,-1.056546338,-0.529269124,1.600408091,-0.536756126,-0.576074322,-0.602219604,0.209460966,-0.855384346,-0.814884895,0.04019135,-0.700983685,0.611980298,-0.532908386,-0.112444491,-0.653742299,0.010589932,0.025729004,0.028162239,-0.372759821,-1.116025062,-0.028946824,0.413582137,0.406389206,-1.055857243,0.125620559,-0.158745532,-0.651202264,-0.04197765,-0.401351228,-0.010421731,1.29787472,1.434017146,0.208090599,0.354059992,0.265621458,0.063085608,-0.215269829,-0.958691372,1.23367761,-0.636735992,0.730533531,-1.044581313,-0.660396108,-0.053579192,-0.996814306
1.92334405,II-VI,CdO,M_i_A,Ta,0.93678518,0.936655824,1.230432359,-0.411174438,-1.401406415,-0.708013434,1.369108142,1.368950196,-1.057306787,1.825704743,1.825765185,-0.550113208,1.978511334,1.978656278,0.117110545,-0.135434935,-0.62952153,-0.566452139,1.135818397,-0.331104906,1.135660452,0.233693079,-0.074181469,-0.32747911,0.46421831,-0.536756126,-0.576074322,-0.602219604,0.219642173,-0.855384346,-0.814884895,0.283156375,-0.60950581,-0.863165102,0.237664724,0.06857773,-0.653742299,0.035580108,0.198946253,0.855237942,-0.373473507,-0.335705745,-0.342099768,0.472357411,0.406389206,-1.055857243,0.125620559,0.075048485,-0.651202264,-1.331494791,-0.603173286,0.053126757,1.29787472,-0.386081974,0.207709162,0.343561088,0.277290201,-0.55630036,-0.328734649,-0.958691372,-0.223655824,0.867368513,0.730533531,-0.304830367,-0.746469881,0.016180682,-0.033260251
1.5823894,IV-IV,GeC,M_B,Nb,0.672518239,0.672358657,-0.455437824,-1.124119841,-0.991796327,-0.788564631,0.477797291,0.477612536,-1.307725392,0.453800514,0.453664757,-0.260178299,0.626922459,0.62682517,0.027106956,-1.421120654,0.560460013,-0.600911336,0.098559441,-1.212532892,0.098374686,0.15014145,-0.219095465,0.80499348,0.296652395,2.219891443,1.523339764,-0.294899297,0.193467286,-0.377454059,-0.667207015,-0.587867371,-0.321105702,0.249893846,-0.117681245,0.284018019,-0.687207553,-0.029611649,0.033324576,0.108370679,-0.327646965,1.513312941,-0.04024241,-0.228312154,0.409108163,0.820633565,-0.797837548,0.170147413,0.894508623,-0.714842486,-0.011662759,0.148925901,-0.665404704,1.50E-05,0.301690764,0.358330509,-1.011819308,0.992164559,-0.115531282,0.361040399,-1.239209639,-1.079123074,-0.657951226,-0.171413131,0.138530862,1.443094598,0.651770827
2.96944577,II-VI,ZnO,M_i_A,In,1.433082847,1.432963188,1.230432359,-0.602185538,-1.707050546,-0.454528544,1.060962652,1.060804706,-0.607263762,2.031799842,2.031885585,-0.770557709,2.16952337,2.169698518,0.639030633,-0.4449951,-0.485214067,-0.566452139,1.356262899,-0.649886448,1.356104953,0.562357339,-0.074181469,-1.352539223,0.48463515,-0.552813724,-0.716830703,-0.762779319,0.229415237,-0.405510567,-0.706494467,0.07747005,-0.84774778,-0.125337232,0.153648773,0.391371305,-0.4167884,0.000550045,-0.049307303,0.02219369,-0.003150225,-0.189475073,-0.022361086,0.197972638,-1.635616284,-1.068526158,-0.579754953,0.372515667,-0.709031317,1.101416727,-0.074437052,-0.047868616,-0.147248408,1.33411707,-0.057389266,0.333139135,0.074076285,0.877511446,-0.31426275,-0.788796835,1.146403422,-0.15901155,-0.206457374,-0.135342469,-0.509779189,-0.178773861,0.15964984
2.62043624,II-VI,ZnO,M_A,Re,1.642725209,1.642609645,1.230432359,-0.18779071,-1.707050546,0.217755827,0.928900299,0.928742353,-0.930390399,2.031799842,2.031885585,-0.877224403,2.16952337,2.169698518,0.287420278,-0.38622442,-0.485214067,-0.566452139,1.462929593,-0.649886448,1.462771647,0.129475435,-0.074181469,-1.352539223,0.48463515,2.154812962,0.08578578,0.980746559,0.229415237,-1.232465605,0.474456485,-0.606492534,-0.179482905,0.083336714,0.633227686,0.5375513,-0.849146554,0.00713182,0.004616701,-0.064719409,-0.36874817,-0.189475073,0.000790451,0.619313203,0.398010261,-0.154559449,-0.882513243,0.511652945,-0.334157341,1.101416727,0.087933254,-0.067957023,1.809855181,-0.08494508,-0.760474683,0.333139135,-0.464881045,-0.197847408,-0.31426275,-0.123845432,1.441005217,3.176209525,1.595830333,-0.135342469,-0.565789365,0.276692663,0.223953204
