∆H (A-rich),Type,AB,Site,M,Heat_vap.2*MP.2,MP.2^2,MP.2^3,abs(Group.3-MP.3),abs(BP.2-MP.1),abs(Mend_num.3-BP.3),abs(Heat_vap.3-Mend_num.3),abs(Group.3-Density.2),Ox_state.3-At_rad_1.1,abs(Group.2-Density.2),abs(Mend_num.3-MP.2),BP.3*Heat_fusion.2,abs(Mend_num.3-Density.2),abs(MP.2-Sp_heat_cap),abs(Group.3-CM4),abs(Group.3-Period.2),Valence.3-At_rad_1.1,MP.3*BP.3,abs(MP.2-Ion_rad.2),ICSD_vol/MP.2,Heat_vap.2^3,Elec_Aff.1/MP.2,MP.2-At_vol,abs(Group.2-CM2),Ion_rad.3+MP.2,abs(Mend_num.2-MP.2),Elec_Aff.3+MP.2,Ion_rad.3+Ox_state.2,MP.2-At_rad_1,Period/Ox_state.2,abs(Heat_vap.3-Elec_Aff.3),Cov_rad/Ox_state.2,Heat_fusion.2+At_wt.2,abs(Group.2-Heat_fusion.2),abs(Valence.3-MP.3),Therm_cond.1/Heat_fusion.2,abs(MP.2-MP),abs(Heat_fusion.3-Elec_Aff.3),At_wt.3+MP.2,abs(Group.3-Heat_vap.2),At_rad_2/Ox_state.2,abs(Mend_num.3-Heat_fusion.2),abs(Period.3-Group.2),abs(Elec_Aff.3-BP.3),ICSD_vol/Ox_state.2,Electronegativity.2+BP.2,MP.3^2,abs(Valence.3-Heat_fusion.3),Valence.3+Heat_fusion.3,Group/MP.2,Period.2/CM1,abs(Group.3-ICSD_vol.1),abs(Ion_pot_1.3-CM1),Ion_pot_2.2*CM1,Thermal_expn.2+At_vol.1,Ion_pot_2.3+CM8,Therm_cond.1/Mend_num,abs(Heat_fusion.1-Ion_pot_2),Thermal_expn/MP.1,abs(Mend_num.3-ICSD_vol.1),Elec_cond.3+ICSD_vol.1,Valence.3-CM1,abs(Group.3-Ion_rad),Therm_cond.1/PBE_latt_const,abs(Valence.3-Heat_vap.3),PBE_gap,abs(Sp_heat_cap.3-Ion_Energy.3),abs(Heat_fusion.1-At_vol),abs(Mend_num.2-MP.1),abs(Valence.3-Valence.2),abs(Group.3-Group.2),abs(Electronegativity.3-Electronegativity.2),abs(Elec_Aff.3-Elec_Aff.2),abs(Mend_num.3-Mend_num.2),abs(Ion_Energy.3-Ion_Energy.2),abs(Ion_pot_2.3-Ion_pot_2.2),CM1-Thermal_expn.1,abs(Electronegativity.3-Ion_Energy.3),Thermal_expn/Heat_fusion.1,CM8-CM2,abs(Ion_pot_2.3-CM1),At_rad_1.2+Ion_Energy.1,abs(Sp_heat_cap.3-CM1),Valence.1-ICSD_vol.1,Group.2*CM5,Group/Eps_elec,Ion_pot_2/CM1,abs(Sp_heat_cap.2-CM1),abs(Valence.3-Ion_pot_1.3),abs(Period.3-Period.2),Sp_heat_cap.3+CM8,abs(CM1-Elec_cond.1),abs(Density.3-Density.2),abs(Density.3-CM1),Electronegativity/CM1
6.920515035,IV-IV,SnC,M_i_neut,Cd,-0.094947236,-0.185623557,-0.364743175,0.100401446,2.988029059,0.282148454,0.138185164,-0.741692866,-0.458225876,-0.674460222,0.210128567,0.04159427,-0.879905351,-1.208823172,0.056252268,-0.979953853,-0.276485262,-0.13883544,-0.35734477,-0.207504942,-0.438949292,-0.738166528,1.651001377,-0.250276075,-0.735707695,0.241924841,-1.070806437,-0.672759863,1.477813361,-0.226342253,-0.913395876,-0.078457207,-0.351586869,0.301175855,-1.050085677,0.310996063,-1.060031586,-0.930087005,-0.484121385,0.324106049,-0.337702888,0.18165041,-0.867378242,-0.784526081,-0.178749953,-0.959612071,-0.276633465,-0.580834569,-0.87139411,-0.015386373,-0.995028002,2.084883497,-0.202574859,0.312939276,-1.835566426,-0.715673683,-1.909093939,2.64764955,2.62141652,1.900891307,-1.415972873,0.430371394,-1.2490499,-0.178083653,-1.066408406,-0.484608581,-0.018257528,0.15416493,1.032384124,-0.34076114,-0.619811059,-0.711170839,-0.507752597,-0.670271256,-0.645652705,-0.650466773,-0.211580821,0.33117874,2.643327741,1.944227946,-0.65422762,0.198809752,-0.698544845,-1.519119295,-0.282391139,0.053677177,-0.018348647,-0.588256988,0.476259528,-0.826782146,-0.92485051,-0.56131546,-0.856020165,-0.51775548,-0.062514752
7.04314706,II-VI,CdSe,M_B,Hf,1.199999003,0.337121711,0.320184866,2.192815273,0.882103967,2.061485767,2.704567579,2.075789265,0.046911814,0.882457727,1.732334161,0.147870096,1.818909817,1.234078722,3.228038719,1.62775317,0.993324099,0.880246826,0.023579621,0.838859167,2.309197306,0.183812107,-0.476169037,1.907331174,1.322937793,0.204531097,-0.467948482,0.916911491,-0.456731385,0.214881886,3.134843372,0.07448469,1.195043489,0.128435288,1.950905166,-0.227011445,0.775583998,1.916596788,1.222706265,2.719293709,0.349378439,1.011522929,-0.112300145,2.573171501,0.491679938,0.574087892,0.521998777,1.170071143,-0.112988685,-0.02094453,-0.262856138,2.01601379,-0.8780931,0.313503755,0.096590812,0.287062126,0.92396985,-0.820577809,0.139406605,1.497275642,-0.834831305,0.636490174,2.745009517,-0.90526573,2.727016456,-0.620439243,-0.64180999,0.04755502,-1.18752302,1.677203272,1.669774018,-0.466927563,1.762986399,1.955131556,-0.036964371,-0.484851424,-0.153852372,0.828456653,0.114204689,1.130599153,-0.639422375,-0.152511025,-0.541539811,-0.319638906,-3.184943854,0.065707595,-0.018399595,-0.320017304,0.00802458,0.400063356,0.643164286,1.145079725,0.252024612,-0.188312929,0.032697667
10.67931746,IV-IV,GeC,M_B,Nb,1.799681692,0.846245984,0.715145752,0.467303903,-0.022839602,0.768274055,0.521452653,-0.661052589,-1.580212295,-0.358918383,-1.360274908,-0.851770066,0.028897948,1.185271869,-1.174602123,-0.918924791,-1.691980349,-0.177426799,0.682493201,0.820251503,2.921594561,1.250290777,-0.555326417,-0.14579729,1.74503926,0.459152052,1.098096693,1.856504469,-1.065708073,2.395216757,-0.711685615,4.75136608,0.444455191,0.335404648,1.722166103,-0.39787977,0.148828285,0.673697446,1.455512699,0.109637107,-1.003985007,-0.670570427,0.548984556,-0.478026982,0.802646555,1.015654516,-0.007443625,2.212955874,-0.184029673,0.026061111,-1.051942073,2.151318289,-0.627732793,0.451998077,-1.910982047,-1.265115101,-1.627751458,2.256563472,-0.26253196,2.71985148,-1.383853589,-1.06306166,-0.239898192,0.131699765,0.838583178,0.560460013,-0.777411999,1.093228437,2.035884241,0.501533815,2.219891443,-0.294899297,-0.200332473,2.684717649,-0.164881571,0.08726889,-0.198479834,-0.732335107,-0.266512689,1.02325148,-0.331018056,0.080122832,-0.395455712,-1.519119295,-0.356165631,0.083844994,-0.01800214,-0.656554365,0.93174735,1.578171753,-1.274366793,-0.579194542,0.534952712,0.237438344,-0.048281342
10.42021697,IV-IV,SnC,M_i_A,Sn,-0.800276437,-0.055262433,-0.433729469,0.561665438,1.597348591,-0.558966771,-0.459949154,-0.096070989,-1.306008741,0.049555849,0.713351293,-0.48490174,-0.19209353,-1.323603059,-0.305362471,-0.633420899,-0.927769698,-0.65961418,-0.803687715,-0.230704584,-0.177193115,-0.820695644,1.719390262,-0.690307098,-1.298487072,0.874487911,-0.383610477,0.315716448,1.546202247,0.214881886,-0.690982207,0.07448469,-0.222131352,0.668762254,-0.028975137,0.272540485,-0.950724382,0.007511936,-0.489590696,-0.376778228,0.320604007,0.452722489,-0.453964167,-0.80247774,0.169699323,0.335041989,-0.202081001,-0.33536137,-0.232171184,-0.017106613,-0.654535835,2.462111066,-0.844778923,0.347517363,-1.863807169,-0.921405435,-1.909093939,2.64764955,2.62141652,2.24929043,-1.697811726,-0.17224183,-0.849486146,-0.178083653,-1.117743936,-0.484608581,-0.641232147,0.15416493,0.596079725,-0.742786022,-0.485816389,-0.745995653,-0.611817015,-0.539319126,-0.723367939,-0.565814868,-0.28995834,-0.156060512,2.643327741,1.983011222,-0.616109634,0.457942859,-0.602784258,-1.519119295,-0.464048534,0.053677177,-0.018615194,-0.495601298,-0.801235049,-0.826782146,-0.978345796,-0.454352677,-0.952421022,-0.899601073,-0.034788474
10.40231735,IV-IV,SiC,M_B,Sc,-0.708639845,-0.582751323,-0.153023788,1.073389784,1.420862453,0.728585265,1.158434399,0.160013097,-0.73242943,-1.130044099,-1.231708998,-0.524653742,-0.047775116,-1.151938046,-0.0738687,-0.433563391,-1.040695914,1.533959244,-0.481484271,0.660158157,-0.176548834,0.391113978,-0.153671853,-1.172534612,1.00157779,0.875756972,-0.139974647,0.592074076,-0.532891223,0.009004574,0.374896079,0.003756285,-0.648559164,-0.122094487,1.57387089,-0.030680047,-0.80275971,0.640949822,0.370027746,-1.092145465,0.006546029,-1.09553541,0.25052237,-0.018885815,-0.027171862,-0.27891803,1.41966086,1.823090516,-1.17317024,0.008152395,0.363267932,1.774090721,-0.640665379,0.668433842,-1.902317274,-1.451741623,-1.346408976,2.133110032,-0.170374433,1.465614635,-1.623416613,-0.477664049,0.768712881,0.361123233,1.716447951,0.179003921,-0.31242748,1.614930386,3.606580077,0.903558696,2.353886113,-0.43252191,-0.482691605,3.156145318,-0.21659347,0.030735105,-0.102912339,-0.817171519,-0.173527775,0.117876955,-0.327689023,0.430249245,-0.562394259,-1.519119295,0.312580341,0.0699914,-0.017296158,-0.119995585,0.043758063,1.868701961,-0.917648316,-0.709616701,0.93638315,-0.650214356,-0.181977519
10.39748285,III-V,BAs,M_i_A,S,0.487422019,0.129693019,-0.543381289,1.0478833,0.368524679,1.133669495,1.245270279,1.376152261,-0.975114699,1.616209633,1.172000845,0.407412566,1.319411742,1.99491563,1.27647798,1.376900764,-0.42751703,0.091649368,-0.86473764,0.200386662,-1.059279471,0.494810036,-0.614426515,1.57201314,-2.238828989,1.442526129,0.023505114,0.92210249,-0.660307695,-0.451072893,1.353146046,-0.113338943,-1.507103988,1.60007169,1.39421088,-0.298511989,1.95569076,1.081493117,-1.353734308,1.516492439,-0.27733224,1.191954679,1.38320243,1.264998778,-0.399203275,-0.036607393,-0.096326642,1.161459987,0.167977578,1.542861104,0.059672873,0.340536947,0.4169528,-0.168328739,-0.265554467,-0.16853441,-0.512688749,0.797055785,0.20920396,0.130561636,-0.527279955,-1.064006126,2.05349952,-0.659327341,1.622770034,0.126326651,-0.402798335,1.308602648,0.031324112,-0.377836717,-0.351821719,-0.39047057,-0.323948437,-0.434557422,-0.438993153,-0.541988398,-0.025586606,-0.780235329,0.201273613,-0.321523442,-0.002681312,-0.713128171,0.035151517,-0.394729315,-0.591597854,-2.293973542,-0.0197138,0.137544718,-0.919930681,-0.43196597,-0.130391626,0.092617983,-0.577649602,-0.550749255,-0.06770221
10.66866304,IV-IV,SnC,M_B,Nb,1.799681692,0.846245984,0.715145752,0.467303903,-0.022839602,0.768274055,0.521452653,-0.661052589,-1.580212295,-0.358918383,-1.360274908,-0.851770066,0.028897948,1.556684502,-0.610770997,-0.918924791,-1.691980349,-0.177426799,0.682493201,0.35146746,2.921594561,1.250290777,0.003238935,0.651861608,1.74503926,0.459152052,1.098096693,1.856504469,-0.16994908,0.435493956,-0.711685615,0.150955638,0.444455191,0.335404648,1.722166103,-0.39787977,1.200091292,0.673697446,1.455512699,0.109637107,0.649757455,-0.670570427,0.548984556,-0.478026982,0.343923961,1.015654516,-0.007443625,2.212955874,-0.184029673,0.026061111,-0.824781919,2.151318289,-0.559709487,0.397290144,-1.910982047,-1.282032936,-1.909093939,2.64764955,2.62141652,2.71985148,-1.383853589,-1.010693929,-1.178681409,-0.178083653,0.838583178,-0.484608581,-0.777411999,0.15416493,2.035884241,0.501533815,2.219891443,-0.294899297,-0.200332473,2.684717649,-0.164881571,0.08726889,-0.250769581,-0.732335107,2.643327741,1.578683339,-0.268797864,0.080122832,-0.335421796,-1.519119295,-0.356165631,0.053677177,-0.01848192,-0.599097781,0.93174735,1.578171753,-1.292296689,-0.507834068,0.534952712,0.150390607,-0.048651613
6.769985633,II-VI,CdS,M_i_A,Ta,3.254541525,2.402531921,2.319489051,1.043493773,1.636309188,0.653177717,0.97863823,1.240341316,-0.845892493,1.386854108,1.125592922,1.568528043,0.938057785,2.250023648,1.948140978,0.14874493,-0.389759088,1.424429433,1.228117615,1.433819541,4.11053153,0.29591297,-1.08149583,1.917962532,1.445773039,1.230057841,1.484744352,0.916090789,-1.062058178,0.435493956,1.071012249,0.150955638,1.924388444,1.112659137,0.32793149,-0.658107771,1.743088869,0.41058214,2.030239799,1.649639245,0.708073636,0.593183286,0.100340497,0.774723517,0.99647134,1.268115303,1.196865206,-0.229893972,1.110206799,-0.035799425,-0.24804101,-0.238344645,-0.722890152,0.299059915,-0.063158578,-0.519987173,0.828824331,-0.927246227,0.119012438,-0.639685205,0.270349166,-0.468921065,1.03966497,-0.699978219,0.572073152,-0.065410538,-0.266532878,0.191222947,-0.944367858,-0.578849158,-0.536756126,-0.602219604,-0.725230747,-0.711367516,-0.805480166,-0.579501995,-0.074879715,-0.009290176,0.087461182,2.060287827,-0.592317928,-0.216058281,-0.425430846,-0.885708412,0.280390585,0.069828599,-0.018508648,-0.303724898,-0.498687913,-0.536251938,-0.708461451,-0.371581126,-0.280492656,0.779548609,0.027261999
6.979431759,II-VI,ZnS,M_i_A,Y,-0.546036554,-0.596380722,-0.156558956,-0.160729461,0.03127002,0.553947197,0.551567149,-0.979588231,0.001890372,-0.81027389,0.486020955,-0.381495932,-0.507411276,-0.30864195,-0.229193403,-0.336616469,0.261525347,-0.47266886,-1.101738858,-0.251875412,-0.111721373,0.062786086,-0.739035471,-0.188629948,0.642639476,0.797474502,-0.101267075,0.224795798,-0.475317847,-0.03151601,0.014354798,-0.010756926,-0.082094018,-0.033265403,-0.221893958,-0.061454338,-0.240368518,-0.230061971,0.145406151,0.104733185,0.015136588,0.35759937,-0.19812169,0.018641269,0.010855331,-0.1873003,-0.512910326,-0.38874112,-0.170894035,-0.007595834,-1.186912042,0.138882923,-0.823424524,0.609070391,-0.047112701,-0.9388757,1.090501121,-0.635547419,0.112886214,0.61455164,-0.02558163,0.045582127,0.343981637,-0.407982955,-0.079666731,0.921531414,-0.650821587,-1.165202119,-0.222701789,-0.541773581,-0.402761456,-0.441659889,-0.507752597,-0.239939847,-0.578261217,-0.476848543,0.091476626,-0.406839406,0.079587841,0.569911309,-0.577736547,0.535625542,-0.657612322,-0.885708412,0.4753578,0.070485743,-0.015295209,-0.628616165,-0.94653469,-0.826782146,-0.713087191,-0.598609711,-0.750307854,-0.854807023,0.06862319
7.095054806,II-VI,ZnO,M_i_A,Rb,0.291731334,0.273326703,-0.637161041,-1.348551138,-0.899524827,-0.889327561,-0.793326392,-1.221895069,-0.476338284,-1.01056657,-1.205158745,0.269715785,-0.881978473,-0.47829303,0.292348907,0.009916485,-1.359596111,0.054556054,1.391724181,0.673588571,-0.596824058,-0.455907476,0.398250052,0.411812053,0.267475295,-1.011156644,-1.004014105,-0.020727213,0.661967676,-2.458248777,-0.337964228,-0.839040213,-0.850972324,-0.834123114,0.206781435,0.407290348,-0.435476359,-0.365128536,-0.925788781,-1.332190977,1.180653835,-0.565194702,0.215292385,-0.302781983,0.846715848,-2.068577024,-0.014211443,-0.004499983,-0.408216705,0.020313483,-1.138687952,-0.804011154,-0.087239578,-0.265957753,-0.045604149,-0.014515327,1.090402154,-0.593328003,0.041602963,-0.373305412,1.300889567,-0.283854484,0.743545391,0.080819331,0.084468612,-0.485214067,0.312940123,-1.108338278,-0.245739017,-0.742786022,-0.268766786,-0.212288867,-0.677711771,-0.135178143,-0.244484415,-0.395074943,2.744294644,-0.961078941,0.068424892,0.821568566,0.18380596,2.940407738,-0.579396468,2.237960131,0.683216647,0.071374112,-0.015472485,-0.53791014,0.390159248,-0.826782146,-0.76755853,-0.583460514,-0.538945377,-0.285191547,0.065496848
