∆H (B-rich),Type,AB,Site,M,Group.3+At_rad_2.1,BP.3+Ion_pot_2.1,BP.3+Sp_heat_cap.1,Group.3-Ion_pot_2.1,At_rad_2.3-At_rad_2.1,Mend_num.3+At_rad_2.1,Thermal_expn/Group.3,ICSD_vol/BP.2,At_rad_2.3+Ion_pot_2.1,CM6-CM2,Cov_rad/Heat_vap.2,ICSD_vol/Heat_vap.2,Period/Heat_vap.2,Period.2-CM8,At_rad_2.3+BP.3,Mend_num.3-Ion_pot_2.1,ICSD_vol.3+Heat_vap.2,Ion_Energy/BP.2,Electronegativity/MP.2,Therm_cond.1/MP.2,Period.2/CM1,Thermal_expn/Mend_num.3,Elec_Aff/Group.3,abs(Group.3-Group.1),ICSD_vol/CM1,Mend_num/CM1,CM1-Eps_elec,abs(Group.3-Ion_rad),CM1+ICSD_vol,Ion_Energy/CM1,abs(Elec_Aff.2-CM1),abs(Ion_pot_1.3-CM1),At_rad_2/Mend_num.3,abs(Heat_vap.3-Mend_num.3),abs(Mend_num.3-Ion_rad),Ion_pot_1/Elec_Aff.3,abs(Density.3-CM1),Cov_rad/Group.3,abs(Mend_num.3-BP.3),Elec_cond/Elec_Aff.3,Elec_Aff.1/Elec_Aff.3,abs(Group.3-Heat_fusion.3),CM1-Heat_fusion,Valence.2-CM1,Electronegativity.2+Therm_cond.2,Therm_cond.1/Mend_num.3,abs(Group.3-Ion_pot_1),Ion_pot_2.2*CM1,abs(Thermal_expn.3-Thermal_expn.2),CM1+Eps_ion,abs(Mend_num.3-Ion_pot_1),CM1-Ion_Energy,ICSD_vol/Elec_Aff.3,abs(CM1-Therm_cond.1),Heat_vap.1/CM1,CM1^3,abs(CM1-Thermal_expn.1),Valence.1/Electronegativity.3,CM1+Elec_Aff.1,Density/Group.3,CM1+Valence.1,Ion_pot_1/Electronegativity.3,Period.3/Thermal_expn.3,Mend_num.1/Mend_num.3,abs(Mend_num.3-At_rad_2.2),Period.3/Sp_heat_cap.2,Mend_num.3+Ion_pot_2.2,abs(Group.3-At_rad_1),Cov_rad.2*CM1,Cov_rad/Elec_Aff.3,Ion_rad.3+Ox_state.2,Therm_cond.3+Mend_num.2,abs(Mend_num.3-CM2),Mend_num.1/Elec_Aff.3,Density/Mend_num.3,abs(Electronegativity.3-Ion_Energy.3),Ion_rad/Elec_Aff.3,Period.3/At_wt,Group.3-Ion_rad.3,Thermal_expn.3+CM1,abs(Mend_num.3-Heat_vap.2),abs(Mend_num.3-Heat_fusion.2),abs(Electronegativity.3-MP.3),abs(Group.3-CM5),Ion_Energy.3*At_wt.3,Ion_Energy.2*CM4,abs(Heat_vap.3-Elec_Aff.3),Ion_Energy.3*Density.3,Electronegativity.2*CM4,abs(Ion_Energy.3-At_wt.3),abs(At_num.3-Ion_Energy.3),abs(Group.2-CM4),abs(BP.3-Mend_num.2),Therm_cond.3-CM5,Electronegativity.2*CM5,abs(At_wt.3-Group.2),Ion_pot_2.3*Ion_Energy.3,abs(Period.2-CM1),Elec_cond.3+Elec_cond.1,abs(Ion_pot_1.2-MP.2),abs(Period.3-Ion_Energy.2),abs(Group.3-Density.2),abs(Heat_fusion.3-Elec_Aff.3),exp(Therm_cond.3),Ion_pot_2.3*Ion_pot_1.3,abs(Valence.3-Heat_vap.3),Elec_cond.2^3,abs(Electronegativity.2-CM5),abs(Ion_pot_1.2-CM2),At_rad_2.3*CM2,Group.2*CM5,At_rad_2.2/Ion_rad.2,At_wt.3*At_rad_1.2,Ion_pot_1.2*CM5,Group.3*BP.2,abs(Valence.3-BP.3),abs(Heat_vap.2-Eps_elec),abs(Electronegativity.2-Heat_fusion.2),Mend_num.3*MP.3,abs(Density.3-Group.2),abs(Valence.3-Elec_Aff.2),abs(Mend_num.3-CM3),At_rad_2.3*Ion_pot_2.2,abs(Mend_num.3-Density.2),abs(Period.3-Electronegativity.3),Ion_pot_2/Therm_cond.2,At_wt/Elec_cond.2,abs(MP.3-Electronegativity.2),Elec_cond.3-Eps_elec,At_num/Elec_cond.2,abs(MP.2-MP.1),abs(At_rad_2.3-Heat_fusion.1),abs(Valence.3-Heat_fusion.3),At_num.3*At_rad_2.2,Heat_vap.3*Heat_vap.2
11.19170553,IV-IV,SnC,M_i_neut,Cd,-0.207358561,-0.280841986,-0.278894763,-0.095341538,-0.405337821,-0.273665553,0.363425978,-0.261665158,0.126951399,1.979943476,-0.095951737,-0.218607941,-0.276812458,-1.07280426,-0.839067117,-0.036512036,-1.101002523,2.700987522,-0.211434769,0.423551376,-0.995028002,0.320056291,0.129993529,1.133008301,-0.078342644,-0.027889675,0.035639914,-1.2490499,0.83605768,0.646680991,-0.456784764,-0.202574859,0.263798614,0.138185164,-1.29038769,-2.17269575,-0.51775548,0.0750584,0.282148454,2.145860896,-0.409698323,0.122056967,-0.188583939,0.567832734,0.164307774,-0.284308512,-0.630901679,0.312939276,-0.57782235,1.107329312,-0.828234728,0.060073061,-0.099906342,-0.562524214,-0.076099784,-0.218487514,-0.403616047,-0.022342959,0.003626389,0.044263779,-0.734563036,-0.326851559,-0.023627635,-0.072513845,-0.576303361,-0.133238202,0.287642785,-0.729479088,-0.273207945,0.017403509,-0.672759863,0.641075868,-0.075045217,0.119519587,0.050807425,0.33117874,-0.400793202,1.972610601,-0.375375514,-0.265337174,0.290509715,0.18165041,-0.474539827,-0.021096347,0.34920205,1.357124285,-0.913395876,0.194483073,-0.126139675,-0.867162576,-0.901137227,-0.068753474,0.32796037,-0.488690787,0.116254713,-0.765522216,-0.268557793,-0.695521584,-0.243995064,0.292311648,-0.802592258,-0.741692866,-0.930087005,-0.146073187,-0.20497077,-1.066408406,-0.220327178,-0.76713259,0.007640005,-0.853332792,-0.282391139,0.120077379,-0.377919011,-0.221770914,-0.415559476,-1.149099072,-0.469640829,-0.47501287,-0.251717919,-0.712491647,-0.879366677,-0.075045217,0.306593375,-0.879905351,-0.904736244,-0.000833925,0.019564245,-0.619795716,-0.395290855,0.066343017,2.651914335,2.1950056,-0.580834569,-0.496915014,-0.118414801
10.88169448,II-VI,CdSe,M_B,Hf,-1.284144674,1.046869635,0.578220931,1.275158401,-0.192548711,-1.036902106,-0.266877066,1.015731803,0.184123602,1.389544812,0.203224239,1.341500933,0.586284346,-0.37766005,1.276805185,1.024537339,0.787781779,0.661879706,-0.305721176,-0.601712655,-0.262856138,-0.204131959,0.469159546,2.635448593,-0.093131427,0.004736689,-0.336598234,2.745009517,0.273918272,-0.031900672,-0.313091555,-0.8780931,-0.804944079,2.704567579,2.154937047,-0.344961436,-0.188312929,-0.162883464,2.061485767,-1.337335414,-0.174455539,1.871757589,-0.337633056,-0.138309059,-0.874544177,0.835109731,2.076743371,0.313503755,0.037394631,0.592538456,1.69350743,0.77294349,-1.251810028,-0.426877802,0.097717288,-0.217347823,-0.472681926,-0.322475992,0.977617425,-0.03501916,0.849549099,-0.206409982,0.039106585,-0.250499694,0.336545489,0.001435967,-1.270169855,1.548711368,-0.26000812,-0.11270816,0.916911491,-0.133470205,2.800033249,-0.30206523,-0.013098052,0.828456653,-0.4263857,0.745156686,1.351113736,-0.022655556,2.546873436,1.011522929,1.356344975,4.495168266,0.246136587,-0.838687211,3.134843372,0.060141105,-1.620563113,-0.481227554,-0.509961476,2.094606382,0.673157174,2.525662829,-3.231853362,0.236319049,-0.202598789,0.246632345,-0.059067969,0.459343237,-0.344192819,2.075789265,1.916596788,-0.181654582,-0.142054023,2.727016456,-0.235002409,3.349030922,1.326164408,0.471434274,-3.184943854,0.112373671,-0.303218522,-1.995036645,-2.38616421,2.14969109,1.613381168,0.2459935,-1.737279364,0.298596933,-0.701428811,2.800033249,0.129799544,1.818909817,0.048777916,0.002551974,-0.024504661,1.056230137,1.104728767,-0.080958668,0.601961043,-0.235336903,1.170071143,-0.134808499,2.721212531
10.79031747,IV-IV,GeC,M_B,Nb,-0.167106109,-0.074008389,-0.067642,-0.135625805,-1.300297972,0.256551596,-0.096889376,0.870321407,1.025747125,1.127101565,6.883641196,1.162851019,3.47012048,-1.109739073,0.269772484,-0.565634571,3.232198586,3.276814615,0.262576876,-0.717402319,-1.051942073,-0.157132845,0.140892297,1.202663625,-0.173687747,-0.033271122,1.43661756,-0.239898192,0.241060048,-0.556460097,-0.343040797,-0.627732793,-1.01180349,0.521452653,0.462906686,0.145113028,0.237438344,2.148063142,0.768274055,-0.054528789,0.148480871,1.348729631,0.738180607,-0.667018061,-0.291457945,-0.680303781,-0.967753074,0.451998077,0.444257696,-0.525040687,-0.374484058,0.349015344,0.045234324,-0.580423348,-0.080126454,-0.218765918,-0.419289969,0.181607295,-0.009339163,2.253248751,-0.747735806,-0.331882651,0.043490931,-0.190322356,-0.521293077,0.179167427,0.597471771,-0.504795302,-0.180158283,0.110048329,1.856504469,0.140811287,-0.499040463,0.027531038,4.031981759,-0.732335107,-0.074658771,0.071699919,-0.229779249,0.00026542,-0.53810818,-0.670570427,-0.642274772,-1.004740596,-0.109100526,-0.005868795,-0.711685615,-0.339197809,-0.046537143,0.11451104,0.2033795,-0.012016836,-1.04292168,0.152675888,-0.148031053,0.132437847,0.148324719,-0.66734059,-0.210969043,0.617044019,0.277498879,-0.661052589,0.673697446,-0.123567543,0.196808444,0.838583178,-0.22738111,-0.160398667,-0.323239607,0.281587047,-0.356165631,0.003073484,-0.606992346,-0.162321753,1.400710992,1.168274849,-0.918791826,0.129702601,-1.071849715,0.301012263,0.108828931,-0.499040463,-0.20662552,0.028897948,0.408458576,0.000494227,-0.066275313,-0.482177595,1.012332139,-0.204704612,0.109734748,0.613747201,2.212955874,-0.16278915,-1.407120953
10.42021697,IV-IV,SnC,M_i_A,Sn,0.021201418,0.42381758,0.440820423,-0.324082171,-0.415357525,-0.04810246,0.547819061,0.031442169,0.137014045,2.013171393,0.0056039,0.01276743,0.016166767,-1.13349186,-0.138828548,-0.261609463,0.056997797,-0.324555657,-0.235073777,0.470905624,-0.654535835,0.49585654,0.182592234,1.528522577,-0.051629146,-0.019753414,-0.041686985,-0.849486146,0.912678778,0.382528557,-0.22690162,-0.844778923,0.416866783,-0.459949154,-0.924461369,1.93520989,-0.899601073,0.10568937,-0.558966771,-1.759227146,0.565105318,0.42281614,-0.266756297,-0.167540304,0.209859402,-0.452771411,-0.265383156,0.347517363,-0.564650492,1.184878377,-0.453337024,-0.018345014,0.147732616,-0.455441471,-0.052009969,-0.217494294,-0.309845779,-0.196666753,0.081193659,0.058725129,-0.655756075,1.288636007,-0.039280372,-0.122631523,-0.298341659,-0.140889423,0.33094937,-1.129418354,-0.251550704,0.122579072,0.315716448,0.679086284,-0.45349427,-0.041129133,0.064464186,-0.156060512,0.201529565,1.972610601,-0.920831432,-0.2093322,-0.487662599,0.452722489,0.017525207,0.310742943,0.283102665,-0.061684776,-0.690982207,0.115213956,0.69734482,-0.938623714,-0.915314407,-0.507282041,-0.479829669,-0.274332874,-0.093970687,-0.420132922,-0.196565898,-0.864116234,-0.5337903,-0.289687235,-0.843141249,-0.096070989,0.007511936,-0.19588163,-0.137025246,-1.117743936,-0.226563582,-0.340995459,0.669904788,-0.823027256,-0.464048534,0.221860539,-0.31079819,0.175491498,0.424830906,-1.21307873,-0.963997363,-0.112641076,-0.531422214,0.006641935,-0.549268283,-0.45349427,0.382661046,-0.19209353,-1.083472383,-9.80E-06,-0.002324977,-0.05934572,-0.120615372,-0.007884074,2.757425192,2.177302307,-0.33536137,-0.520670415,-0.727711972
10.40231735,IV-IV,SiC,M_B,Sc,-0.395666088,-0.805534061,-0.814797307,0.093114828,-1.310317677,-0.555475541,-0.050159813,0.412138957,1.035809771,0.178772801,-0.025145568,0.18189564,-0.060279004,-0.413761697,-0.436483869,0.244716164,1.765036221,0.327634176,0.198862556,-0.224416656,0.363267932,-0.022340133,0.077167072,0.807149349,-0.619369239,-0.053915477,0.893485914,0.768712881,-0.119202994,-0.443424865,-0.774959615,-0.640665379,-0.089013741,1.158434399,0.485273091,-0.187341943,-0.650214356,-0.057770498,0.728585265,0.187922544,-0.479099324,1.710215863,1.516914223,0.051017137,-0.86847292,-0.073837346,-1.070168468,0.668433842,0.44021633,-0.269992484,-0.945713461,0.569917874,-0.902857202,-0.710991777,-0.109499715,-0.222138528,-0.533626195,0.336561778,-0.103918702,0.002800729,-0.843826931,-0.404376269,0.066776474,-0.009898716,-1.35197883,0.315115712,-0.290036183,-0.58849632,-0.364470429,0.202605062,0.592074076,-1.032968309,-0.299487498,0.130956949,0.020014188,-0.817171519,0.079248096,-0.388342682,0.136455419,-0.090361301,-1.397154454,-1.09553541,-0.032010994,-0.467256567,0.228882622,0.578846225,0.374896079,0.169886918,0.601943657,-0.415469853,-0.370862645,-1.083661627,-1.324275232,-0.172225513,0.234395421,-0.218521835,0.299410938,-1.260677454,-0.457294994,-0.226251549,-0.173888754,0.160013097,0.640949822,-0.191032347,0.342914366,1.716447951,-0.245986688,-0.635553004,-0.782165345,-1.123999289,0.312580341,0.063610856,-0.338314739,0.256392596,0.408592021,1.320273739,-0.429134842,-0.269537929,-0.179688558,-0.318954591,-0.116480277,-0.299487498,-0.389576378,-0.047775116,0.106455195,0.002311965,0.042698996,0.048421472,0.585026128,0.144895768,1.208165031,0.596043908,1.823090516,-0.383937337,-0.950423626
10.34806219,III-V,BAs,M_i_A,S,1.196348579,-1.101374475,-1.276414246,-1.284603483,1.088349825,1.102796008,-0.155761358,0.241224848,-1.173767949,-0.446627696,0.071693938,0.252520924,0.285331686,0.659275799,-1.58924446,-1.189774118,-1.315613491,-1.179638774,-0.167499229,-0.345498876,0.059672873,-0.128006489,-0.682353451,0.188855339,0.06903657,0.102327323,1.666585396,2.05349952,-1.63384035,-0.37506278,0.8125387,0.4169528,-0.177109738,1.245270279,1.749970643,-0.130265954,-0.550749255,-0.049045492,1.133669495,-0.462647564,-0.431631434,1.176041117,0.515025782,-1.194117334,0.339461956,0.426730905,1.579242471,-0.168328739,-0.589870631,-1.153896795,1.422546999,0.666439041,-0.169312695,0.459782569,0.47338357,-0.223387665,-0.626138115,1.458604115,-0.667969685,-0.025177067,-0.129169325,-0.235244423,0.019440378,1.996468688,1.025821544,0.12799652,1.15784455,2.69130694,0.549150465,0.019229007,0.92210249,0.41124823,1.198568383,1.929226682,-0.008494091,-0.780235329,-0.285394762,0.359012845,-1.714439849,-0.291802279,1.488649454,1.191954679,1.051997756,0.607549588,-0.547668543,-1.074491067,1.353146046,-0.673805887,-1.246029092,0.689481998,0.673405866,1.509016251,1.333305942,0.225248152,-0.53374686,1.47917431,0.120221868,-0.13770013,0.014391858,1.06702079,0.873976843,1.376152261,1.081493117,-0.263666044,0.183359878,1.622770034,-0.25941687,0.596200329,1.070439576,1.211359248,-0.591597854,0.200611981,0.425025935,-0.511671995,-1.392260179,1.584493119,2.499091192,1.313975166,-0.829619881,1.480470847,-0.75499003,1.198568383,-0.44502747,1.319411742,0.797431375,-0.001212009,0.034482447,1.133878996,1.833417168,0.106323411,0.146234448,0.444348863,1.161459987,1.123609745,0.640303476
10.14966305,IV-IV,SnC,M_B,Nb,-0.167106109,-0.074008389,-0.067642,-0.135625805,-1.300297972,0.256551596,0.395900052,0.372921785,1.025747125,1.700171517,0.218700145,0.498267047,0.630930996,-1.132561868,0.269772484,-0.565634571,3.232198586,-3.849412336,0.358123718,-0.717402319,-0.824781919,0.733299013,0.139256861,1.202663625,-0.064985895,-0.023821545,-0.003023535,-1.178681409,0.874368229,0.514604774,-0.413027,-0.559709487,0.62360645,0.521452653,-0.430227422,0.179518956,0.150390607,0.080452921,0.768274055,-0.090219074,0.148480871,1.348729631,-0.227670118,-0.614278529,-0.291457945,-0.680303781,-0.566529006,0.397290144,0.444257696,1.146103844,0.053014012,0.020864024,0.041893409,-0.508982843,-0.064054877,-0.217862097,-0.356730913,0.181607295,0.042410024,0.046810615,-0.695159555,-2.216892459,0.043490931,-0.190322356,-0.521293077,0.179167427,0.597471771,-0.799913712,-0.190994793,0.077627752,1.856504469,0.140811287,-1.335242692,0.027531038,0.082909524,-0.732335107,-0.055899089,0.324717989,-0.229779249,0.053961503,-0.53810818,-0.670570427,-0.642274772,-1.004740596,-0.109100526,-0.264327484,-0.711685615,-0.339197809,-0.248126459,0.11451104,0.2033795,0.809246603,-1.04292168,0.152675888,-0.148031053,0.132437847,0.148324719,-0.779818909,-0.210969043,0.617044019,0.277498879,-0.661052589,0.673697446,-0.123567543,0.196808444,0.838583178,-0.22738111,-0.160398667,0.352182957,1.043765911,-0.356165631,0.003073484,-0.606992346,-0.162321753,1.400710992,1.168274849,1.346544638,0.129702601,-1.071849715,0.301012263,0.108828931,-1.335242692,-0.20662552,0.028897948,0.408458576,0.000342231,-0.009986204,-0.482177595,-0.426593778,-0.033863556,0.109734748,0.613747201,2.212955874,-0.16278915,-1.407120953
10.11327258,II-VI,CdS,M_i_A,Ta,-0.601638267,1.391567268,1.56189212,0.571239366,-0.412172596,-0.353998076,-0.077390258,1.411209951,0.385382819,1.896096785,0.243702556,1.608701839,0.70306079,-1.429947095,1.309315319,0.321704857,1.683612189,0.919584506,-0.522553741,-0.939506219,-0.24804101,-0.019614572,0.136605883,0.947387282,-0.078489319,0.002267038,-0.545578699,1.03966497,0.288413292,-0.022760575,-0.865830612,-0.722890152,-0.077798187,0.97863823,0.559781048,0.120089145,0.779548609,-0.032149993,0.653177717,-0.098352898,0.127704102,0.710087577,-0.35242154,-0.530566593,-0.369528514,0.08215542,0.516704416,0.299059915,-0.5411507,0.618255938,0.059243133,0.758108521,-0.008414219,-0.349152626,0.06461264,-0.217303951,-0.567164213,-0.160728311,1.057497443,0.00207894,0.864457637,-0.039943954,0.002751232,-0.004605646,-1.071320873,0.102805031,-0.328467407,-0.158235869,-0.208195272,0.069556681,0.916090789,-0.190373111,1.428187391,0.014223432,0.022684721,-0.009290176,-0.075482099,0.418321187,-0.05169855,-0.208020162,1.408198961,0.593183286,1.14286217,-0.958816943,0.389590884,0.466674567,1.071012249,0.242725451,-0.971373041,-0.284905565,-0.306244525,2.112814334,0.692778511,-0.153010836,0.224849262,0.479653699,-0.24333691,0.214737959,-0.580943273,0.786268161,-0.467615757,1.240341316,0.41058214,-0.208112489,-0.18266844,0.572073152,-0.2266296,-0.954416173,1.014000761,0.35378561,0.280390585,0.010821661,-0.694460749,0.055235623,-0.653641352,0.259681023,2.369463318,0.965578353,-0.037747529,1.092565585,-0.254966017,1.428187391,0.160950066,0.938057785,-0.103582219,0.000515871,-0.005106613,1.117451846,-0.570701591,-0.016871262,1.638030101,-0.184043927,-0.229893972,-0.088907512,3.166163941
9.988191655,II-VI,ZnS,M_i_A,Y,-0.830198246,0.578291875,0.731240443,0.799979999,-0.592527274,-1.166025213,-0.127752326,-0.35689576,0.566510452,0.469947841,0.327517855,-0.330514026,0.95957304,-0.92915542,0.695489064,1.132055593,0.825627656,0.218134063,-0.085178009,-0.19934212,-1.186912042,-0.18112931,0.214523504,1.342901558,0.174175909,0.022025849,-0.412444092,0.343981637,-0.65046869,-0.093493905,-0.515902682,-0.823424524,1.05227659,0.551567149,0.835126012,0.014975101,-0.854807023,-0.395671142,0.553947197,-0.331202308,0.046453048,-0.20395538,-0.137844387,0.116070848,-1.010255995,0.646230169,1.172116365,0.609070391,-0.54863471,0.221112826,1.717751853,1.124079836,0.373529406,-0.576435827,0.279027516,-0.219586679,-0.547307795,-0.267069623,0.892860858,-0.024296223,0.697189803,-0.110689929,-0.058312678,-0.256325724,0.302362367,-0.003167453,-1.309369084,-0.751284702,-0.620492537,-0.243829509,0.224795798,-1.381126251,0.096600054,-0.096915845,-0.033685876,-0.406839406,-0.333722882,0.061175119,0.686764868,-0.364941284,0.661141347,0.35759937,-0.001112486,-0.680261852,0.380365891,0.107666684,0.014354798,0.309546011,-0.035384369,-1.010520823,-0.966792978,-0.070640986,0.829701901,0.104879259,0.451047,-0.6084657,-0.036714369,-0.600510228,-0.885228271,-0.180742731,-0.481036391,-0.979588231,-0.230061971,-0.250465656,0.017506594,-0.079666731,-0.24383936,-0.565071209,-0.521450673,-0.213633736,0.4753578,0.165265976,-0.534935524,0.38688148,-0.192031271,-0.048819679,0.433368489,0.038214777,-0.28181779,-0.804577983,-0.710943347,0.096600054,-0.101115882,-0.507411276,-0.359152982,0.006284436,-1.557048722,0.074203725,-0.314420009,-1.282672566,-0.135082576,0.134615344,-0.38874112,-0.551213625,-0.492017843
9.91203392,II-VI,ZnO,M_i_A,Rb,-2.050420986,0.989759889,0.175172299,2.52880739,-2.217938257,-2.363135491,-0.174572945,0.657936156,2.668411803,0.802999964,-0.608190507,0.613754303,-1.781897396,-1.11513659,0.419839675,2.845646246,2.24609883,-0.402129425,0.227790926,0.533057511,-1.138687952,-0.216840309,0.292441124,1.738415834,0.165100172,0.020558963,-0.46529255,0.743545391,-0.639616802,-0.088180032,-0.784975398,-0.087239578,1.269079535,-0.793326392,1.127867069,0.099709396,-0.285191547,-0.561558453,-0.889327561,-0.13796794,0.060775251,-0.84103442,-0.148915981,-0.279945388,-1.10873868,0.771521916,1.537634888,-0.265957753,-0.558437787,0.984552727,2.017670016,1.112973441,0.143327946,-0.561217721,0.251600644,-0.219266107,2.626503544,0.099042771,0.195418161,-0.040173125,-2.243977581,-0.238082395,0.083451319,-0.404766853,1.764681537,0.117339271,-0.348377014,-0.351345437,-1.421546277,-0.023099117,-0.020727213,-1.292436883,0.569392665,-0.020976425,-0.045680721,-0.961078941,-0.146517486,0.061175119,1.714739535,-0.131826531,-0.992481212,-0.565194702,-0.951341955,-0.383305674,0.574938947,-0.31522148,-0.337964228,1.194708336,-0.387536601,-0.296085843,-0.279621339,0.533045485,-0.617473356,-0.211650758,0.791945541,-0.215228695,-0.984946755,-0.62438838,1.336535206,-0.84694154,0.351882989,-1.221895069,-0.365128536,-0.20721155,-0.895036925,0.084468612,2.070512618,0.029388783,0.516791801,0.128317481,0.683216647,0.193617044,-1.089432277,0.940965396,1.565473481,0.157381372,-1.163140713,-0.393261712,1.504902067,-0.913287127,-0.700607452,0.569392665,1.839712443,-0.881978473,0.105173198,0.001030424,7.945598453,-0.744456303,-2.463697546,6.545460659,-0.798510067,1.447114173,-0.004499983,-0.925133263,0.1065537
