Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
II-VI,CdO,M_A,Li,2.604741913,0.147466092,1.947144465,0.126954669,-0.634181604,0.085638653,-0.524834783,0.07945713,0.277948671,0.16666005,1.023641955,0.097989687,2.053656538,0.059638592,2.359498616,0.067010565
II-VI,CdO,M_A,Na,3.066543965,0.249139052,2.478721252,0.17292116,-0.70083906,0.090220036,-0.607518496,0.086580476,0.132673292,0.182831784,0.680353452,0.202965492,2.084074948,0.068269764,2.510245679,0.040413765
II-VI,CdO,M_A,K,2.990980361,0.182144924,3.290455623,0.134364432,-0.594401516,0.081574101,-0.607215809,0.067841041,0.105811071,0.218402085,0.555744418,0.129819021,2.073019069,0.1168514,2.636030704,0.072863987
II-VI,CdO,M_A,Rb,3.087173329,0.08644738,3.671289857,0.14187931,-0.753074529,0.092363741,-0.526655091,0.017134108,0.099994327,0.279477315,0.482765718,0.222112652,1.733385406,0.214749783,2.457100791,0.116656558
II-VI,CdO,M_A,Cs,2.999762698,0.091528488,3.717815347,0.077063213,-0.657442782,0.102527655,-0.541952385,0.044117867,0.284237637,0.207436972,0.655358436,0.206087869,2.04565216,0.102730282,2.539331379,0.082074165
II-VI,CdO,M_A,Be,1.519027957,0.20822398,2.779912978,0.14566133,-0.556915398,0.134771577,-0.47334407,0.12267186,0.213577128,0.104694044,1.499403576,0.089501631,2.141786067,0.125754666,2.326752084,0.110849952
II-VI,CdO,M_A,Mg,1.190450082,0.14995954,2.40373409,0.162277733,-0.542533996,0.102958593,-0.243509042,0.08835118,0.320254164,0.177162011,1.535865094,0.074743777,2.15144764,0.049614446,2.57045226,0.050069571
II-VI,CdO,M_A,Ca,1.750151899,0.094870396,2.976558702,0.221174678,-0.563759087,0.100785958,-0.473487765,0.067670247,0.258213918,0.161568446,1.379776,0.114547857,2.256531776,0.084899461,2.768961868,0.05024885
II-VI,CdO,M_A,Sr,1.838354182,0.078317316,2.916182458,0.167161295,-0.633434345,0.099173159,-0.366941824,0.094429364,0.249503026,0.144479789,1.441887457,0.109964072,2.220380851,0.06840658,2.745505023,0.036840502
II-VI,CdO,M_A,Ba,1.863564196,0.109818935,2.871837173,0.111256237,-0.471551913,0.1088246,-0.428201388,0.115015139,0.390607846,0.141866552,1.458339602,0.171625504,2.181064768,0.091140513,2.768842291,0.043015407
II-VI,CdO,M_A,B,2.645384512,0.575793253,3.815033478,0.479389232,-0.719784884,0.118795919,-0.564422924,0.08468427,0.971373557,0.200494429,1.261630341,0.060258452,2.015046538,0.070035449,2.158875959,0.092948484
II-VI,CdO,M_A,Al,2.03491419,0.214787805,3.029521726,0.12678099,-0.559786094,0.075760935,-0.305141506,0.075116476,0.973912997,0.207586487,1.452170143,0.062285091,2.016203076,0.041563743,2.368946797,0.045347894
II-VI,CdO,M_A,Ga,2.040519675,0.189676281,2.977694237,0.11356271,-0.563366581,0.093623586,-0.212338218,0.084492897,1.030628818,0.167110633,1.208478049,0.043108899,1.893936766,0.100041378,2.336732738,0.027720107
II-VI,CdO,M_A,In,2.025716419,0.14783648,2.994388114,0.106347858,-0.570779766,0.10604448,-0.252659412,0.12528881,1.147522316,0.160969612,1.415624363,0.04639646,2.150580373,0.08841465,2.543915098,0.037204959
II-VI,CdO,M_A,Tl,2.391260447,0.094019633,2.432322783,0.089696082,-0.922236272,0.082547405,-0.354909331,0.083341018,0.906871192,0.17855697,1.38920026,0.066979326,2.210881264,0.050886277,2.635018903,0.034300627
II-VI,CdO,M_A,C,5.318837147,0.18648566,5.356218179,0.258672142,-0.501315222,0.152185324,-0.310136583,0.09059468,0.345348666,0.150441198,1.070739493,0.069726742,1.898476919,0.211636961,2.102307259,0.115826882
II-VI,CdO,M_A,Si,3.612881925,0.235276312,4.153365599,0.262636237,-0.162996007,0.188223485,-0.098341883,0.097145046,0.785165771,0.18140515,1.259134471,0.041301452,1.672510743,0.129080837,2.294068594,0.078751003
II-VI,CdO,M_A,Ge,3.074944905,0.195793356,3.699411134,0.180744633,-0.512391827,0.10348528,0.116734402,0.087838522,0.925000721,0.163042288,1.338912735,0.062575648,1.961937864,0.029002697,2.307334968,0.05659447
II-VI,CdO,M_A,Sn,2.326112964,0.183734133,3.311755669,0.200269378,-0.635866597,0.075018627,0.140007387,0.076282863,1.122450198,0.145818288,1.471637123,0.054490053,1.98994227,0.045103689,2.484801978,0.057570245
II-VI,CdO,M_A,Pb,2.403880155,0.075464393,2.706970392,0.07859523,-0.771721071,0.077165325,-0.06715461,0.093458143,0.86839148,0.15956221,1.594481949,0.072907158,2.190790662,0.073090973,2.574623131,0.069147835
II-VI,CdO,M_A,N,5.152244284,0.286543298,4.435523229,0.219400756,-1.028033711,0.072405543,-0.686353695,0.067903803,0.102144107,0.09779894,0.94155505,0.081041017,1.804203847,0.024205841,1.907120951,0.074400215
II-VI,CdO,M_A,P,4.137220472,0.171962594,4.014299984,0.196403595,-0.525841014,0.104984921,-0.358519112,0.06692302,0.570969446,0.162006109,1.186794126,0.086578569,1.909567846,0.082911395,2.315142605,0.079329015
II-VI,CdO,M_A,As,3.536855571,0.183982577,3.768475616,0.197638102,-0.529708558,0.088655255,-0.153973157,0.075795532,0.763423141,0.137081905,1.116998467,0.053893837,1.760428463,0.055204749,2.318695661,0.052915949
II-VI,CdO,M_A,Sb,2.883982068,0.226318174,3.79492516,0.265470315,-0.542798476,0.083420825,-0.086175261,0.090452797,1.150808182,0.12680264,1.452849502,0.03150084,2.04569179,0.053961938,2.517680045,0.061386418
II-VI,CdO,M_A,Bi,2.727809001,0.096791959,2.964195492,0.078753563,-0.68723275,0.108831416,-0.034179844,0.086097208,1.132313642,0.200592974,1.647562064,0.047809087,2.105241845,0.02532015,2.585608678,0.059462404
II-VI,CdO,M_A,O,5.279606882,0.225590827,4.014535923,0.148705474,-1.098789251,0.057917723,-0.770025003,0.086296124,-0.077833097,0.106252642,0.465313711,0.094000808,1.825280158,0.082497464,1.929997539,0.069744355
II-VI,CdO,M_A,S,5.286928665,0.187027019,4.260767641,0.18739567,-0.708098571,0.087177011,-0.252617132,0.180969676,0.386621683,0.122520111,0.779061191,0.084979396,1.723546116,0.087887564,2.225715277,0.078713668
II-VI,CdO,M_A,Se,4.619859183,0.160742991,4.037089177,0.146292589,-0.672642269,0.057141968,0.164888045,0.088753781,0.526832948,0.108404637,0.904822768,0.056312231,1.855613423,0.086894216,2.367780883,0.054520233
II-VI,CdO,M_A,Te,4.04729875,0.146503434,3.781145993,0.175199929,-0.521785325,0.087018276,0.249160662,0.107119606,0.909828721,0.111544199,1.212703995,0.057761991,1.985916986,0.041832882,2.557302033,0.065607454
II-VI,CdO,M_A,F,5.263627855,0.247917515,4.187713791,0.169582024,-0.963922872,0.05749852,-0.433037695,0.150426533,-0.043633881,0.091657147,0.463697357,0.102275097,2.121304004,0.070671439,2.072943754,0.056102199
II-VI,CdO,M_A,Cl,5.334682266,0.159680084,4.65551814,0.161305051,-1.139172406,0.036996052,-0.793725366,0.072692825,0.220158805,0.083276524,0.674580797,0.130438311,2.071848295,0.046087239,2.222559455,0.064396855
II-VI,CdO,M_A,Br,5.183125662,0.106502653,4.620499776,0.133502374,-1.040093302,0.038424065,-0.604768057,0.109389992,0.241510717,0.099574916,0.646469326,0.116670587,1.982148545,0.108312836,2.455659784,0.067809186
II-VI,CdO,M_A,I,4.585644633,0.105656093,4.170808268,0.127052664,-1.053581308,0.058513254,-0.442510698,0.116908058,0.50299344,0.108034623,0.888428569,0.130102586,1.945080109,0.080042462,2.598793267,0.041953168
II-VI,CdO,M_A,Sc,1.842020344,0.113351067,3.376969714,0.178107845,-0.323792594,0.124536672,-0.190717091,0.114922428,0.831531971,0.121035965,1.455240097,0.058403097,2.149271408,0.069278288,2.609993151,0.041594783
II-VI,CdO,M_A,Ti,2.045221424,0.172582293,3.920199906,0.160734353,-0.336477884,0.084858426,0.26685345,0.077227783,0.897284669,0.157700918,1.376787604,0.032589234,2.082968684,0.060973388,2.554166669,0.030525455
II-VI,CdO,M_A,V,2.338859451,0.168833125,4.249110013,0.187234677,-0.363445012,0.105290714,0.266647157,0.08818878,0.959271455,0.161842423,1.268777564,0.034096593,2.07752709,0.048438389,2.422878287,0.033405515
II-VI,CdO,M_A,Cr,1.861797973,0.168701498,3.857828647,0.188564752,-0.49101473,0.101454121,-0.059319945,0.081972703,0.911348055,0.169635365,1.069707908,0.04927077,2.031640278,0.047732081,2.40253973,0.031755288
II-VI,CdO,M_A,Mn,1.690762887,0.116754185,3.187918468,0.162048204,-0.53769444,0.085312387,0.138125929,0.055730294,0.791732089,0.122505479,1.306768858,0.03637179,2.086681656,0.071450679,2.447954233,0.035929119
II-VI,CdO,M_A,Fe,1.966788242,0.190183684,3.832756784,0.196051845,-0.561087807,0.088079289,-0.138812332,0.108359274,0.814863313,0.170813713,1.098650662,0.023102189,2.019241035,0.02945256,2.361161043,0.02597558
II-VI,CdO,M_A,Co,2.562314171,0.297509037,3.983156571,0.20930591,-0.704042102,0.074372231,-0.500153777,0.106834579,0.506021982,0.165830331,0.956349596,0.054527764,1.922181201,0.033487033,2.277772658,0.038837094
II-VI,CdO,M_A,Ni,2.601025051,0.24540305,3.722644011,0.117472527,-0.674549157,0.08278263,-0.492271212,0.107305188,0.518632859,0.171593814,0.86151159,0.064865982,1.81829225,0.046709113,2.249701773,0.051708202
II-VI,CdO,M_A,Cu,2.594522725,0.165189454,3.019349452,0.070517195,-0.835203634,0.05880446,-0.595530832,0.069888233,0.432395098,0.172304387,0.710886609,0.069857774,1.925254958,0.049459934,2.259337218,0.050023103
II-VI,CdO,M_A,Zn,1.708093933,0.139710866,2.917742652,0.09360607,-0.636473713,0.046142237,-0.403283607,0.070855936,0.361204298,0.170998546,1.196970748,0.07584964,1.935701188,0.026806584,2.38591058,0.046817897
II-VI,CdO,M_A,Y,1.995857652,0.091176889,3.793166282,0.11702512,-0.358916952,0.123446511,-0.0718458,0.153123391,0.811579045,0.136659918,1.520688398,0.117813421,2.346187543,0.073714698,2.745060414,0.032587528
II-VI,CdO,M_A,Zr,2.439667425,0.168928112,4.709384058,0.191979672,-0.273912575,0.08961213,0.511989153,0.144910469,1.057410582,0.167851186,1.532362792,0.038796156,2.277528304,0.062186213,2.622111541,0.053575126
II-VI,CdO,M_A,Nb,3.004337035,0.106118302,4.933269178,0.142505062,-0.197341902,0.108780616,0.420945038,0.056244778,1.091932976,0.176095978,1.28807994,0.03074697,2.208119612,0.059878195,2.582469122,0.037336118
II-VI,CdO,M_A,Mo,3.543838898,0.100500789,5.306047639,0.187904716,-0.112008891,0.13575666,0.530242539,0.065685163,1.106083062,0.196612008,1.062936596,0.057887369,1.9393398,0.059081446,2.464197097,0.052111121
II-VI,CdO,M_A,Tc,3.334765993,0.067791728,4.844197289,0.162816114,-0.269409108,0.135260614,0.527188863,0.074493446,1.142445554,0.15671366,1.181584541,0.069473141,1.914712029,0.076506336,2.442226981,0.034852052
II-VI,CdO,M_A,Ru,3.038054186,0.081672814,5.339652125,0.314185018,-0.354463977,0.130676687,0.087773689,0.109657181,1.242664394,0.270373161,0.977608786,0.067367021,2.024650385,0.045459813,2.391844632,0.044031027
II-VI,CdO,M_A,Rh,2.708741177,0.191511338,4.675108701,0.22556096,-0.587892676,0.120535471,-0.197367312,0.111505446,0.79382631,0.170505835,0.919628397,0.065414967,1.917614383,0.018087096,2.32383582,0.058005301
II-VI,CdO,M_A,Pd,2.500277717,0.271717706,3.491240976,0.112923938,-0.777423918,0.073906465,-0.430179062,0.112893766,0.493781061,0.164677504,0.869726703,0.087491172,1.820685998,0.06224167,2.368890431,0.03957335
II-VI,CdO,M_A,Ag,2.607933882,0.1177711,2.699878186,0.100058859,-0.923781968,0.044800665,-0.612965296,0.051185897,0.527298787,0.17665224,0.735970014,0.066224959,2.106053214,0.02992173,2.496908087,0.047362831
