Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
II-VI,CdO,M_A,Li,2.14804815,0.287202755,0.691752088,0.141412186,-0.486564476,0.047505356,-0.456073815,0.072652795,0.34844152,0.112682894,1.005422275,0.08454496,1.962053431,0.06796058,2.055230475,0.036750169
II-VI,CdO,M_A,Na,3.016224864,0.29820532,1.717231026,0.210240898,-0.63877202,0.059597469,-0.573747047,0.082343361,0.313861975,0.129417433,0.784264215,0.179253615,2.092396199,0.039646978,2.383553436,0.05542205
II-VI,CdO,M_A,K,2.896628475,0.244071984,2.566963318,0.255909406,-0.612705879,0.061248388,-0.549353213,0.045687501,0.266224947,0.160673229,0.700860536,0.088674285,2.212032111,0.094686177,2.511981371,0.0919547
II-VI,CdO,M_A,Rb,3.204342502,0.133182431,3.294697818,0.257261775,-0.709570759,0.080712959,-0.484532874,0.030593628,0.252198186,0.208705723,0.707130559,0.136333929,1.919263872,0.157354403,2.521987476,0.104694621
II-VI,CdO,M_A,Cs,2.962082081,0.129934754,3.634544284,0.154156071,-0.599635188,0.066363088,-0.455692825,0.049435717,0.375501533,0.143423807,0.816847332,0.137717848,2.146200742,0.084730846,2.501342906,0.118688675
II-VI,CdO,M_A,Be,0.215670761,0.211805287,2.241857996,0.205011684,-0.591697068,0.086821779,-0.271734267,0.091819904,0.340813284,0.058700558,1.44439873,0.08117345,2.030415042,0.094583259,2.355365511,0.057303975
II-VI,CdO,M_A,Mg,0.099895107,0.208832168,1.883297946,0.325188974,-0.564744377,0.05700809,-0.044622761,0.070580733,0.46292414,0.100240747,1.631744388,0.07883873,2.17046307,0.036498881,2.571456722,0.026556063
II-VI,CdO,M_A,Ca,1.164094136,0.117293494,2.602290406,0.427081163,-0.570114287,0.062289731,-0.236559116,0.059150776,0.438424991,0.109624623,1.496653694,0.063127446,2.341454093,0.05642808,2.671999192,0.040616814
II-VI,CdO,M_A,Sr,1.163967537,0.094688988,2.429775599,0.291190386,-0.615038147,0.06934145,-0.115367685,0.089848124,0.429368065,0.095344254,1.539593324,0.063198196,2.302930655,0.045955125,2.729000411,0.055387065
II-VI,CdO,M_A,Ba,0.845343434,0.111242859,1.939488669,0.164809982,-0.531225027,0.075923437,-0.21042938,0.108859904,0.529593551,0.090225558,1.498946271,0.11986362,2.273769096,0.075046156,2.725882665,0.06487903
II-VI,CdO,M_A,B,2.786393233,0.452707637,3.797508757,0.510980629,-0.685872692,0.062608811,-0.537686694,0.043578769,0.81233885,0.143053548,1.205471663,0.057470507,1.876254483,0.067298649,2.145107493,0.056844915
II-VI,CdO,M_A,Al,1.684993204,0.189962478,2.649532867,0.228339586,-0.593453871,0.051523163,-0.306639928,0.047419228,0.864761489,0.148329191,1.532765547,0.054610329,1.947386407,0.030000494,2.389247811,0.035032954
II-VI,CdO,M_A,Ga,1.711219631,0.226785103,2.561897728,0.180483159,-0.627142074,0.06193204,-0.198557409,0.07603526,0.916250893,0.119707306,1.355004221,0.023913959,1.845541478,0.076111389,2.474387456,0.025570185
II-VI,CdO,M_A,In,1.546659238,0.168236187,2.65430675,0.115798543,-0.62545529,0.067014608,-0.19208816,0.102268533,1.012866087,0.113935831,1.56084731,0.034609877,2.120785512,0.076967623,2.574207663,0.023293614
II-VI,CdO,M_A,Tl,1.748405603,0.091202952,2.337881601,0.125276886,-0.836360654,0.048967236,-0.281259497,0.068206728,0.871787202,0.126619709,1.469954722,0.037017054,2.253164122,0.042457416,2.646028603,0.014274198
II-VI,CdO,M_A,C,6.530398521,0.186119236,5.950465077,0.370205733,-0.430135981,0.067562587,-0.429215915,0.086489092,0.297223509,0.102043746,1.02925465,0.084906765,1.784135063,0.159827294,1.958610643,0.073126314
II-VI,CdO,M_A,Si,3.528352856,0.209107285,4.174171665,0.354349811,-0.329030813,0.106696439,-0.1566593,0.076509109,0.717837551,0.117906063,1.343770868,0.034136784,1.672201419,0.093677228,2.259061339,0.054941357
II-VI,CdO,M_A,Ge,2.738729356,0.222454431,3.591339746,0.285344132,-0.544068901,0.066694597,0.039295771,0.069992918,0.835060465,0.109321211,1.408392926,0.037594714,1.913297184,0.018029578,2.356158475,0.045075666
II-VI,CdO,M_A,Sn,1.653720607,0.203096854,3.214027754,0.290838653,-0.623558928,0.046677402,0.120087086,0.070337466,0.991962627,0.105610642,1.563372638,0.038591222,1.952597632,0.041178553,2.470381565,0.043688584
II-VI,CdO,M_A,Pb,1.693006329,0.084062291,3.057124225,0.044700192,-0.787820746,0.04811025,-0.025264574,0.080529859,0.805222737,0.124562134,1.583287768,0.041937543,2.204824971,0.062868717,2.539177755,0.040004737
II-VI,CdO,M_A,N,5.797684346,0.355329335,4.992535482,0.333797316,-0.876505252,0.034258235,-0.696328523,0.04890873,0.023367648,0.065162696,0.845154112,0.048690483,1.604389732,0.037316503,1.856791768,0.052519552
II-VI,CdO,M_A,P,4.254880168,0.203697579,4.420434162,0.30679452,-0.515974486,0.057507355,-0.353159938,0.058528122,0.502596302,0.109561973,1.19766416,0.065797399,1.803466097,0.049961379,2.15229983,0.060194774
II-VI,CdO,M_A,As,3.40394835,0.211758972,4.064997708,0.284680213,-0.564483744,0.056332623,-0.19321924,0.059894576,0.666293471,0.094658277,1.206016327,0.033250163,1.756244149,0.028439793,2.338644377,0.04469897
II-VI,CdO,M_A,Sb,2.655883473,0.340224144,4.179107617,0.392572606,-0.563750883,0.057094012,-0.067973639,0.076140588,0.919948408,0.08599034,1.531146389,0.01477922,2.018125964,0.045260171,2.451696734,0.037611395
II-VI,CdO,M_A,Bi,2.080821458,0.118205682,3.730528469,0.118925138,-0.689250186,0.073379368,0.010201988,0.075586588,0.959903994,0.133917622,1.637009449,0.028999551,2.084621946,0.024244255,2.532409227,0.032430473
II-VI,CdO,M_A,O,6.141307344,0.281506188,4.47875024,0.238523533,-0.94456846,0.029938073,-0.81037579,0.070260514,-0.094089831,0.067617863,0.371952767,0.061917756,1.654050101,0.091206701,1.748682601,0.061496082
II-VI,CdO,M_A,S,5.947255694,0.207109001,4.719692793,0.261469644,-0.667012401,0.044418676,-0.278663006,0.116002356,0.359515393,0.085796503,0.89506008,0.069416298,1.742077313,0.061050221,2.018440993,0.066544763
II-VI,CdO,M_A,Se,5.13122841,0.225247999,4.46698362,0.142413655,-0.664775033,0.030720958,0.002707486,0.062065606,0.499098659,0.078415168,1.021201215,0.048193234,1.871091238,0.050736151,2.184219651,0.051102368
II-VI,CdO,M_A,Te,4.204031452,0.26498578,3.97877632,0.161184795,-0.545372304,0.052963924,0.112058539,0.074720945,0.795857759,0.080205964,1.302353251,0.04195986,1.962951534,0.042655164,2.363375876,0.039778574
II-VI,CdO,M_A,F,6.479045196,0.275103679,4.537978112,0.29387358,-0.7930739,0.037830394,-0.510513059,0.087859296,-0.172536726,0.047229137,0.272233905,0.099693479,2.003125598,0.081724353,1.976457682,0.060982959
II-VI,CdO,M_A,Cl,6.195289665,0.161462079,5.511279385,0.198294651,-0.965978498,0.024010295,-0.726919232,0.053229054,0.152296702,0.059723591,0.686812125,0.105460991,1.997741428,0.032862529,2.111111649,0.047703201
II-VI,CdO,M_A,Br,6.214290933,0.117155864,5.427921044,0.250225643,-0.936479968,0.025509538,-0.542404483,0.08437752,0.218699518,0.069533245,0.71535906,0.103572954,2.043291303,0.070199026,2.254618316,0.043153055
II-VI,CdO,M_A,I,5.155781554,0.181419172,4.958836485,0.123806584,-0.934093975,0.041310873,-0.417665826,0.085629873,0.440145798,0.075328831,0.949514525,0.102828365,2.005711815,0.03712786,2.403650547,0.021113247
II-VI,CdO,M_A,Sc,1.434721921,0.138057456,2.469830513,0.22870853,-0.409042512,0.085902266,-0.118355673,0.111336935,0.779134035,0.074508668,1.553033198,0.040603343,2.183231331,0.057644207,2.522995807,0.022258723
II-VI,CdO,M_A,Ti,1.39002826,0.207739861,3.368374555,0.252600926,-0.396713163,0.062248133,0.20597716,0.074519638,0.878296103,0.097140377,1.467807772,0.027018759,2.058828781,0.049918882,2.500319692,0.02571342
II-VI,CdO,M_A,V,1.697866834,0.192350341,3.947057325,0.285052843,-0.395548618,0.071068261,0.242609185,0.071413223,0.917321628,0.106785054,1.338340424,0.024444748,2.011493271,0.051294382,2.442338972,0.03117845
II-VI,CdO,M_A,Cr,1.292387144,0.168095917,3.564998495,0.247689541,-0.550003168,0.068806864,-0.05058493,0.075307008,0.878337483,0.110401846,1.158922205,0.028228893,1.997870946,0.047741237,2.439370545,0.025893222
II-VI,CdO,M_A,Mn,0.838203573,0.122535,2.639039993,0.229637698,-0.545833487,0.041246328,0.123009697,0.06821581,0.81830632,0.086389622,1.375919547,0.029097951,2.037163181,0.072309884,2.48635437,0.029186923
II-VI,CdO,M_A,Fe,1.52630439,0.202844114,3.589993175,0.28981763,-0.595550939,0.061114767,-0.099271245,0.092445213,0.774724253,0.126028976,1.183357191,0.021753348,1.988879441,0.036109869,2.432551935,0.033017212
II-VI,CdO,M_A,Co,2.313340324,0.271373127,3.871405444,0.310896042,-0.752953413,0.053428678,-0.424250635,0.083560616,0.565185148,0.120911791,1.077443268,0.033743756,1.915857089,0.0402009,2.400490207,0.033087236
II-VI,CdO,M_A,Ni,2.461635951,0.217875221,3.6132487,0.14416636,-0.74976462,0.056332831,-0.469828741,0.079979777,0.542382709,0.12440964,1.017477605,0.052492083,1.844247314,0.043866093,2.361191624,0.03365706
II-VI,CdO,M_A,Cu,2.375303628,0.159147888,2.716410468,0.11723718,-0.807547382,0.040371621,-0.558199845,0.050828767,0.513599655,0.126745251,0.922929084,0.06596899,1.908198966,0.048954316,2.353584248,0.030222776
II-VI,CdO,M_A,Zn,1.260021105,0.185758267,2.608182996,0.146743085,-0.669651713,0.02997413,-0.351586695,0.056917698,0.494911068,0.121059294,1.325043211,0.045567779,1.915217255,0.020252895,2.482934554,0.025787772
II-VI,CdO,M_A,Y,1.592693086,0.103044013,3.251296777,0.178150001,-0.420428414,0.092834796,0.032175013,0.131464533,0.807052736,0.082898619,1.615150711,0.082766274,2.373720166,0.052584891,2.633029732,0.027984074
II-VI,CdO,M_A,Zr,1.938763446,0.151425459,4.710727201,0.246608089,-0.345824642,0.067541861,0.418337695,0.113413335,1.008779925,0.10714352,1.621089655,0.034164563,2.267782189,0.044964329,2.592055827,0.018376738
II-VI,CdO,M_A,Nb,3.026056715,0.070581643,4.956624672,0.208142427,-0.278087319,0.072660814,0.351277466,0.06269858,1.002134279,0.119196843,1.345835782,0.014660475,2.163078569,0.04838669,2.50347976,0.026778686
II-VI,CdO,M_A,Mo,3.848846898,0.050600969,5.601700328,0.157970304,-0.248279935,0.081644808,0.348098037,0.049614554,1.013028735,0.141382266,1.114776143,0.044391183,1.861875345,0.056113684,2.402026777,0.037081835
II-VI,CdO,M_A,Tc,3.361302923,0.050263921,4.722290954,0.178013249,-0.332886,0.08815176,0.46800518,0.076215867,1.054940581,0.118681357,1.234338927,0.033108944,1.862480694,0.071150878,2.443997343,0.039286321
II-VI,CdO,M_A,Ru,2.964925163,0.090186074,5.43398901,0.294321175,-0.408403973,0.10938655,-0.021402378,0.084190769,1.035907926,0.214877606,1.058723124,0.047609613,1.988624525,0.041689469,2.408274223,0.033775307
II-VI,CdO,M_A,Rh,2.358006181,0.278189406,4.633749182,0.262499778,-0.605294034,0.09343543,-0.256972256,0.07934854,0.73781427,0.131137225,1.015625704,0.048796554,1.887229708,0.018199064,2.376521581,0.033536627
II-VI,CdO,M_A,Pd,2.119393671,0.371258114,3.107020315,0.189901402,-0.800376385,0.056850772,-0.365557064,0.087738159,0.554658883,0.12895832,1.020087126,0.049711218,1.842782555,0.032686366,2.436687443,0.030534187
II-VI,CdO,M_A,Ag,2.230592546,0.172581848,2.085055762,0.127767333,-0.864636135,0.032277062,-0.551464901,0.042593547,0.575038846,0.130426583,0.967109703,0.068629956,2.101416832,0.0396423,2.451884298,0.020544627
II-VI,CdO,M_A,Cd,0.779128744,0.221838138,2.026705402,0.195659617,-0.658143867,0.027725401,-0.296876253,0.065563016,0.608300231,0.121234409,1.529490572,0.028343752,2.08074558,0.032776611,2.576606215,0.017463344
II-VI,CdO,M_A,La,0.926799843,0.067575823,2.668846956,0.184564781,-0.464238676,0.111596151,-0.055706403,0.143641298,0.829783456,0.059496731,1.573905466,0.089880284,2.346322055,0.049125195,2.639088219,0.032015636
II-VI,CdO,M_A,Hf,0.996687457,0.129760229,2.846230919,0.18950547,-0.233040919,0.045871895,0.544030022,0.105570523,1.105295139,0.097165724,1.834902432,0.037173334,2.251218837,0.059185167,2.667738276,0.011543573
II-VI,CdO,M_A,Ta,2.594765332,0.226340369,3.903483268,0.271049291,-0.044597815,0.045275206,0.40658895,0.054002675,1.119253662,0.103206638,1.553185119,0.031368869,2.188051008,0.045674979,2.585859843,0.02151507
II-VI,CdO,M_A,W,3.588339271,0.109435465,4.832322817,0.175751971,-0.14655762,0.047646128,0.34310612,0.045934999,0.972074349,0.095294763,1.282183586,0.055911274,1.91434422,0.045240294,2.452934433,0.037647047
II-VI,CdO,M_A,Re,4.101688088,0.218794472,4.64932819,0.186975104,-0.026778335,0.065313721,0.649581221,0.075507043,1.19074598,0.096261521,1.52475394,0.035732398,2.011839871,0.064081094,2.542153051,0.039185382
II-VI,CdO,M_A,Os,3.618559762,0.070784953,4.962995375,0.189321766,-0.26278528,0.047804156,0.169065162,0.067294731,1.030781334,0.133767376,1.265441138,0.03217741,1.995262409,0.032237862,2.467856346,0.038225057
II-VI,CdO,M_A,Ir,3.322818199,0.044753622,4.595906517,0.237224874,-0.333689969,0.034852444,-0.059510109,0.115050473,0.785958034,0.085743058,1.25753014,0.03632574,1.94915507,0.00331562,2.444328994,0.040351413
II-VI,CdO,M_A,Pt,2.772455327,0.097560968,3.671031253,0.114898387,-0.589344906,0.037080234,-0.088004703,0.084564485,0.702202197,0.099343545,1.090325537,0.037272858,1.83667421,0.029737088,2.425044916,0.037314518
II-VI,CdO,M_A,Au,2.587798575,0.131476758,2.520530128,0.099733363,-0.832033009,0.024702172,-0.394069648,0.072368943,0.497887009,0.09343067,1.048535181,0.058109445,1.91948113,0.028419775,2.412707181,0.035709156
II-VI,CdO,M_A,Hg,1.254574548,0.135931034,2.05541348,0.04064739,-0.872800948,0.042884143,-0.440767263,0.07961022,0.397198068,0.183570083,1.520260553,0.045497764,2.056511704,0.024605805,2.604928284,0.02216483
II-VI,CdO,M_A,Ce,0.75311467,0.131546886,2.51471477,0.146595791,-0.492946796,0.110621738,-0.043918125,0.142813407,0.824081228,0.065392291,1.582447709,0.083524923,2.353690058,0.063040705,2.716585477,0.032035473
II-VI,CdO,M_A,Pr,0.69413295,0.078979725,2.433983428,0.147443846,-0.500930932,0.119542578,-0.069511905,0.140174227,0.834190574,0.066755518,1.615621008,0.088435511,2.363698606,0.057393837,2.714263687,0.031913228
II-VI,CdO,M_A,Nd,0.545883931,0.070055859,1.851181403,0.134901373,-0.498560144,0.110278587,-0.064653774,0.138323047,0.845460756,0.072224838,1.626016093,0.084572969,2.35420009,0.067436794,2.719981921,0.029139775
II-VI,CdO,M_A,Pm,0.466744738,0.06478098,1.863212671,0.128424294,-0.534798879,0.10979225,-0.059191043,0.14030307,0.859185132,0.070147058,1.643026819,0.080832411,2.343698086,0.065714733,2.694808922,0.031559863
II-VI,CdO,M_A,Sm,0.172704694,0.093383764,0.910280135,0.111155658,-0.611069405,0.108429006,-0.078073065,0.118908136,0.833200054,0.091591614,1.652943429,0.075619726,2.280701068,0.072341631,2.70505716,0.028524692
II-VI,CdO,M_A,Eu,0.459409605,0.110351292,1.214574042,0.18985326,-0.664487156,0.109645224,-0.122176276,0.131009491,0.762493066,0.08741736,1.652874439,0.072317441,2.243878444,0.060488011,2.679348325,0.050280077
II-VI,CdO,M_A,Gd,0.587258098,0.039051189,1.805596534,0.141988169,-0.396773626,0.083448693,0.013795718,0.126547022,0.882705036,0.057266073,1.647174349,0.066456098,2.368174736,0.064767449,2.692918995,0.027587956
II-VI,CdO,M_A,Tb,0.508153972,0.110365197,1.674041379,0.111798035,-0.480417649,0.091058092,0.044363112,0.125903723,0.885227018,0.057260544,1.672683273,0.056350995,2.310813353,0.072626717,2.704036403,0.023594288
II-VI,CdO,M_A,Dy,-0.00697894,0.098074834,0.817399377,0.054057374,-0.553775755,0.091269296,0.035905611,0.127686737,0.927870151,0.066637794,1.679112769,0.05759972,2.289047652,0.074046474,2.695790383,0.02429392
