,Type,Site,Impurity,AB,(+2/+1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,-0.5,0.41207532536261715,0.0625257065725973
1,III-V,M_i_neut,Te,BAs,0.477692,0.15161051434044892,0.03968199120944691
2,IV-IV,M_i_B,Cd,GeC,1.441789,0.7934058991449037,0.048408016206302855
3,III-V,M_i_B,Zr,BP,0.548323,0.39965269253734037,0.04294919956215652
4,III-V,M_B,Ag,GaN,1.614444,0.9724207381139086,0.06478673669451464
5,III-V,M_i_neut,Bi,BSb,0.779367,0.0865225233631847,0.03626320969656027
6,II-VI,M_B,Ca,ZnS,1.806255,1.59534257215536,0.06562086085092077
7,II-VI,M_B,V,CdO,0.5828180000000001,0.45982341146350836,0.08110983142291953
8,IV-IV,M_i_neut,S,SnC,-0.39426100000000003,0.38506512867845943,0.03866367057917351
9,II-VI,M_i_neut,Zr,ZnS,1.7278490000000002,1.332785333611526,0.029914299421865485
10,IV-IV,M_i_neut,Br,SnC,-0.2,0.36819504432497385,0.05904068825398802
11,II-VI,M_i_A,Ta,ZnS,1.378882,1.1980891884354112,0.02968406053059608
12,IV-IV,M_i_neut,Cd,SnC,0.989869,0.6377346148668505,0.031375627525800934
13,IV-IV,M_i_B,Mg,SnC,0.9232239999999999,0.6327682042033999,0.041124216892562585
14,III-V,M_i_B,Cs,InN,-0.646817,0.33616073050514805,0.06794504348621916
15,IV-IV,M_i_neut,Re,GeC,1.110141,0.729165264591523,0.04557859670589282
16,II-VI,M_B,Hf,CdSe,0.147587,0.5299270780409212,0.0359790367929918
17,III-V,M_i_B,Ta,BP,0.32305300000000003,0.28977319749721786,0.04461761250089871
18,II-VI,M_i_A,Ta,CdO,1.215257,0.7747102831206953,0.03838838354929167
19,IV-IV,M_B,Nb,GeC,-0.21256999999999998,0.3344405102945999,0.06605675534565975
20,II-VI,M_i_A,In,ZnO,1.086175,0.7360298568838302,0.0371210060828401
21,II-VI,M_A,Re,ZnO,1.046271,0.40319168837064145,0.05115102558228889
22,II-VI,M_i_A,Si,CdO,1.202083,0.4535530544819877,0.03496640240867556
23,IV-IV,M_i_A,Mo,GeC,0.385629,0.5950059655100387,0.04156799630305051
24,IV-IV,M_A,Rb,SiC,-0.17192000000000002,0.07826806452331128,0.06981858880016793
25,IV-IV,M_i_A,Sn,SnC,1.265555,0.8033402125038499,0.03349677547458617
26,IV-IV,M_B,Sc,SiC,1.2181819999999999,0.33319474777563507,0.053600088339806
27,III-V,M_i_A,S,BAs,-0.023791,-0.047372583392198485,0.04389587702606705
28,III-V,M_B,Zr,AlP,0.699954,0.6299611013399671,0.04152891914342189
29,IV-IV,M_B,Nb,SnC,-0.027769,0.18514377166938806,0.0648785923584167
30,II-VI,M_i_A,Ta,CdS,1.362955,1.0488593271588589,0.0312585252270768
31,II-VI,M_i_A,Y,ZnS,1.934607,1.7230861593556448,0.034626326976419625
32,IV-IV,M_i_B,Ir,SiC,-0.798557,0.4933236059921461,0.0424371354583839
33,III-V,M_i_A,Au,BP,-0.383868,-0.28975205435012297,0.05092846060054459
34,IV-IV,M_i_B,Ru,GeC,0.07901799999999999,0.5578353818829201,0.04350779855675957
35,IV-IV,M_i_B,Ta,SnC,1.029305,0.8589644909283862,0.03815591678032021
36,IV-IV,M_i_B,Si,SnC,0.941161,0.648870631060302,0.03342297168006434
37,II-VI,M_i_B,Ga,ZnO,1.081754,0.6053827392119902,0.03533908656891563
38,II-VI,M_B,Na,CdS,1.156852,0.270383163338278,0.06340756153182288
39,II-VI,M_i_A,Mo,CdS,1.3714309999999998,0.6866980705088196,0.03000764366166404
40,II-VI,M_i_neut,Pb,ZnS,1.5442040000000001,0.8954696885753772,0.03351973734602135
41,IV-IV,M_B,I,SiC,1.425399,0.37378142547980076,0.06317437548129633
42,II-VI,M_i_neut,La,ZnSe,1.547015,1.3486874909158562,0.037110048048812044
43,II-VI,M_i_A,Tc,CdO,1.025888,0.5367464304253671,0.039773994926812335
44,II-VI,M_B,Zr,CdTe,-0.141797,0.19204607978555985,0.02424630319828879
45,II-VI,M_B,La,CdTe,0.46399799999999997,0.5296951496959548,0.03193395389462646
46,II-VI,M_B,W,CdTe,0.43958800000000003,-0.11972182266768597,0.038238227988838656
47,IV-IV,M_i_A,Ru,SiC,1.147693,0.4704352910788659,0.0404870236982512
48,III-V,M_i_neut,Cl,BSb,-0.440594,-0.1883931221997596,0.05698540775164684
49,II-VI,M_i_B,Al,ZnS,1.53579,0.9460088802923892,0.034043573222124944
50,IV-IV,M_i_B,Al,GeC,1.54559,0.6645484412919831,0.04019902766066374
51,III-V,M_i_neut,Pt,BP,-0.335081,0.019766437254520538,0.044165284057579406
52,III-V,M_i_neut,Ag,BP,-0.318707,-0.4682178753794218,0.04738800536250273
53,III-V,M_i_A,Ba,GaP,1.082864,0.9912665910902259,0.046489652555861724
54,II-VI,M_B,Nb,CdTe,-0.222165,0.029392357955154068,0.0210022512558813
55,IV-IV,M_i_A,Tc,SiC,-0.135876,0.5401113573593508,0.03566897495719027
56,II-VI,M_B,Y,CdTe,0.307621,0.5779241053988633,0.03585011571092885
57,III-V,M_i_B,I,AlP,0.23291900000000001,0.5795100754740394,0.05400152696846912
58,II-VI,M_B,Ca,CdSe,1.109877,0.755651365188872,0.078531065452641
59,III-V,M_i_A,Be,GaN,1.59832,1.101354506840752,0.049161746798995154
60,III-V,M_B,I,InN,0.8675879999999999,1.2820641365189978,0.08184923420473288
61,IV-IV,M_i_A,B,SiC,0.345966,0.20072693569847289,0.03731999066240904
62,II-VI,M_B,Co,ZnS,-0.758458,0.24761282074947583,0.03998363094881444
63,III-V,M_i_A,W,BP,-0.139606,-0.124521167167524,0.04336884511472608
64,III-V,M_B,Ba,InP,1.172959,0.28930421677739393,0.04288741303873443
65,III-V,M_B,La,GaAs,0.208497,-0.06174506588409432,0.04087184112591557
66,II-VI,M_B,Si,ZnS,-0.41597,0.23298119161079117,0.04676019243973934
67,II-VI,M_i_B,Sn,CdO,0.966959,0.6115231707599635,0.026966063840760418
68,III-V,M_i_B,Tc,BAs,-0.37057199999999996,-0.23290344353675732,0.04570488915437443
69,II-VI,M_B,Os,CdSe,-0.58324,-0.12158072158200903,0.032853267187711734
70,II-VI,M_B,Mo,CdTe,0.016602000000000002,-0.17791059216274133,0.028756373800039977
71,II-VI,M_B,Re,CdTe,-0.46622299999999994,0.12809542884745645,0.032521498722748586
72,II-VI,M_i_A,Ba,ZnSe,1.54524,1.38914963622863,0.04685096039926835
73,II-VI,M_B,Ti,CdTe,-0.16609200000000002,0.11405036280739674,0.025919438226783303
74,II-VI,M_B,Sc,CdTe,0.0014810000000000001,0.4248695671621741,0.035570182761381935
75,II-VI,M_i_A,Cl,ZnO,-0.45910500000000004,-0.4237447289106039,0.06169532630675278
76,II-VI,M_B,Ta,CdTe,-0.300721,0.20868464047204544,0.030735441428232205
77,II-VI,M_B,Ba,CdTe,1.08301,0.633055186361938,0.04732611918195352
78,IV-IV,M_i_neut,O,GeC,-0.829643,0.11189076286451823,0.060891338262604615
79,II-VI,M_i_A,Sc,ZnS,1.8399,1.5708095566054792,0.03974372720224229
80,II-VI,M_i_neut,Ti,ZnS,1.452345,1.3339685967660315,0.036085862883053904
81,IV-IV,M_B,Sb,SiC,0.025472,0.296462987673663,0.05644671038030517
82,III-V,M_A,Hf,BAs,-0.445454,-0.005539886655366115,0.07957247620035839
83,II-VI,M_i_neut,Cs,CdS,-0.24619899999999997,0.37274155109297685,0.058743408104117496
84,IV-IV,M_i_B,C,SnC,-0.270398,0.09972167353429934,0.050552922095915206
85,IV-IV,M_B,Te,SnC,1.1541139999999999,0.19677939211842185,0.06443769181970854
86,IV-IV,M_i_B,F,GeC,-0.801856,0.21972509760102565,0.07134027752438121
87,II-VI,M_i_neut,Cs,ZnSe,-0.260784,0.2040405309158091,0.06309332481878102
88,IV-IV,M_A,Pb,SnC,-0.64685,-0.3552101789865801,0.0407160769159982
89,II-VI,M_i_B,Ir,CdS,0.7508060000000001,0.5449909028463978,0.032058218520478424
90,II-VI,M_i_B,Bi,ZnSe,1.258895,0.8320191834648796,0.023276568410561114
91,II-VI,M_i_B,Mg,ZnS,2.03071,1.7969785780343144,0.044125289271348254
92,II-VI,M_B,Sr,CdTe,0.988283,0.7884992129197308,0.04849479664113161
93,II-VI,M_i_neut,Na,ZnO,-0.724644,-0.4951852789142013,0.08701018510336007
94,IV-IV,M_i_neut,Zn,SiC,1.0171059999999998,0.5772694174617646,0.03813932100403571
95,IV-IV,M_i_B,Al,SiC,1.313648,0.5732414164460172,0.03644096309712267
96,II-VI,M_B,I,ZnO,-0.501996,-0.1770829465386987,0.07120886620106881
97,IV-IV,M_A,Rh,GeC,-0.8523440000000001,-0.47650251212053973,0.051399905777241926
98,II-VI,M_B,Ca,CdTe,0.797962,0.7017213640409652,0.04546512397384168
99,II-VI,M_i_neut,Ir,ZnS,0.008024,0.525687860901715,0.036270387069739916
100,IV-IV,M_i_B,C,SiGe,0.645027,-0.11370865208317087,0.035049642096944944
101,IV-IV,M_B,Re,SnC,-0.247081,0.13275352210481356,0.07141775309745527
102,III-V,M_i_B,C,AlAs,0.7640819999999999,-0.013345886751496361,0.04460153528308669
103,III-V,M_A,Te,BP,0.439867,0.5297019524466444,0.08963867601810285
104,II-VI,M_i_B,C,CdTe,0.5931270000000001,-0.26314101246553057,0.03821007376966452
105,III-V,M_i_neut,Pb,AlP,1.261571,0.8140767289271558,0.03304890391436186
106,IV-IV,M_B,Li,GeC,0.47500299999999995,-0.2465615765292025,0.08526032612451108
107,II-VI,M_i_B,Y,CdO,0.713163,1.1266063807748954,0.03720499453409826
108,II-VI,M_i_A,C,CdTe,-0.288564,-0.2815147370903602,0.0477042940287514
109,II-VI,M_i_A,W,CdTe,0.820782,0.3008894136556731,0.02895325740780352
110,IV-IV,M_A,As,SnC,-0.5885670000000001,-0.5589959616670697,0.041323766493482794
111,III-V,M_i_B,Pb,GaP,1.34514,0.5427372290616465,0.0393734935918578
112,IV-IV,M_i_neut,W,SnC,0.37891199999999997,0.5191155314870826,0.04186646206733205
113,II-VI,M_i_A,C,ZnTe,-0.24450500000000003,-0.2548966615774383,0.046709789315792054
114,II-VI,M_i_neut,W,ZnTe,0.502154,0.4232643760221336,0.028335489446135172
115,II-VI,M_i_neut,In,CdO,0.458618,0.6779300958129939,0.03252144955358386
116,II-VI,M_i_B,Sb,CdTe,0.852759,0.5353801085355651,0.01914436704024473
117,II-VI,M_i_A,Re,CdTe,0.29133600000000004,0.5984463228207353,0.024204808440156666
118,II-VI,M_B,Os,CdTe,-1.3417540000000001,-0.2583902035048299,0.030235501491449004
119,II-VI,M_i_neut,C,CdTe,0.33,-0.27768480406396023,0.049506460744600904
120,IV-IV,M_B,Bi,GeC,-0.12308599999999999,0.21690363017307632,0.0673523961773974
121,II-VI,M_i_B,Re,CdTe,0.9085719999999999,0.6550873000634383,0.026417613000845556
122,II-VI,M_B,Ru,CdTe,-0.491832,-0.32249964024378175,0.022378875001126362
123,II-VI,M_A,O,CdS,-0.327369,-0.4222212203403929,0.041418236571359145
124,II-VI,M_i_A,Al,CdS,0.6676989999999999,0.7692442460035015,0.03680769685156416
125,II-VI,M_A,Ru,CdO,0.274543,-0.13712693854418545,0.027127964823350323
126,II-VI,M_i_A,Pb,CdO,0.769054,0.5354974816585811,0.03300766244410709
127,II-VI,M_B,Tc,CdTe,-0.33363000000000004,-0.08957117067494022,0.02814597764450118
128,II-VI,M_B,V,CdTe,-0.136312,-0.00625464236230829,0.022319801291090503
129,II-VI,M_B,Rh,CdTe,-0.544451,-0.3617596097303962,0.02271948813839242
130,II-VI,M_i_B,Zr,CdTe,1.118627,0.7250583002932335,0.0196843295421308
131,II-VI,M_i_B,W,CdTe,0.520338,0.3514728641304406,0.02552811878925086
132,IV-IV,M_i_neut,Sr,Si,0.38416300000000003,0.22400083129416237,0.04596933359261174
133,II-VI,M_i_A,Be,CdS,1.105041,0.9380792810753015,0.03585912298664867
134,II-VI,M_i_neut,La,CdTe,1.08936,0.9925366658162871,0.028795454403091118
135,IV-IV,M_i_A,C,Si,-0.26928,-0.24979518445008542,0.04200269216076633
136,II-VI,M_i_A,Sb,CdTe,0.706997,0.5019988594980286,0.017474457184563797
137,II-VI,M_i_neut,W,CdTe,0.578331,0.32132253526330573,0.027455575627154446
138,II-VI,M_i_neut,Sb,CdTe,0.25309,0.5187797267430067,0.017607433511925098
139,III-V,M_i_A,Tc,InP,0.096198,0.4215051574214227,0.027849485537682662
140,IV-IV,M_B,Au,GeC,0.799966,-0.14009049583658592,0.06767866901741774
141,III-V,M_i_B,Ti,BAs,0.125378,-0.05845649495344356,0.043503709411254095
142,II-VI,M_i_B,La,CdSe,1.216485,1.1351036871537414,0.030168882572163443
143,III-V,M_i_B,Mg,GaN,1.6860330000000001,1.2820553487432749,0.05374210931770303
144,II-VI,M_i_neut,Zr,CdTe,0.977191,0.710129944711303,0.020420652852811604
145,II-VI,M_B,Cd,CdS,1.342753,0.4669021536739244,0.052031894208136885
146,II-VI,M_i_A,Sn,CdS,1.517659,0.8633949930841132,0.02084879001133505
147,II-VI,M_B,Hf,CdTe,-0.20947,0.32658407981878734,0.025326869717496113
148,II-VI,M_i_B,Rb,CdS,-0.30447199999999996,0.40601652460715487,0.05263857968815397
149,II-VI,M_i_B,Os,CdTe,0.358293,0.2228720801084151,0.02315632178564114
150,II-VI,M_i_neut,Y,CdTe,1.09134,1.0135048027066706,0.026927431277804788
151,II-VI,M_B,Zn,CdS,1.289857,0.4200499701924576,0.04309780947330227
152,II-VI,M_i_B,Be,ZnO,0.706328,1.1612489899759246,0.05737506271695879
153,II-VI,M_i_neut,Nb,CdTe,1.053943,0.5533915228428865,0.020734120451274488
154,IV-IV,M_i_A,Pb,Si,0.504459,-0.043262649181686465,0.04236718241862782
155,II-VI,M_B,C,CdTe,-0.6180979999999999,-0.65000302355186,0.04350976121638462
156,II-VI,M_i_A,Mo,CdTe,0.466553,0.2817346854779775,0.02123012317416066
157,II-VI,M_B,Rh,ZnSe,-0.504033,-0.22788822174022197,0.03666618421944801
158,II-VI,M_i_B,Nb,CdTe,0.8639450000000001,0.5705297183421589,0.02078257740792181
159,III-V,M_i_neut,Sr,AlAs,1.325201,0.8016721222499757,0.05020787169184751
160,IV-IV,M_i_A,Fe,SnC,0.251772,0.6888388813113503,0.037081904494960335
161,II-VI,M_i_neut,Re,CdTe,0.51408,0.6306833988056211,0.025944667142858136
162,II-VI,M_i_B,La,CdTe,1.1963489999999999,1.010514635116147,0.030623862153467588
163,II-VI,M_B,C,ZnSe,-0.765305,-0.5019176764982474,0.05647873139182823
164,II-VI,M_i_A,Os,CdTe,0.594282,0.17322928112421504,0.021370637294268923
165,IV-IV,M_i_neut,Ta,SiGe,0.050461,0.16926736011950758,0.036669272480235465
166,II-VI,M_i_B,Ag,ZnO,-0.555833,-0.15154926429121446,0.03837829976234788
167,II-VI,M_i_B,Sr,CdO,0.44020299999999996,1.1207384633908204,0.04123148185262108
168,III-V,M_i_B,Hf,InP,1.123518,0.6900558559594389,0.02596679824030367
169,II-VI,M_i_B,Ta,CdTe,1.052096,0.7108230462957563,0.02180131229974844
170,II-VI,M_B,Cr,CdTe,-0.094329,-0.09921964352569798,0.026087742425587326
171,IV-IV,M_B,Pd,SiC,1.346731,-0.04790884493246039,0.06715571597656746
172,III-V,M_i_B,B,AlP,0.339683,0.11822220163209347,0.03860258399997151
173,II-VI,M_i_A,Nb,CdTe,0.969525,0.5441201438658838,0.01941162793516609
174,III-V,M_i_B,Ta,InAs,0.766763,0.34993222673112434,0.03193571489043492
175,III-V,M_i_B,W,InAs,0.604434,0.015859186845911907,0.032321666695147085
176,III-V,M_i_A,Te,AlAs,0.52063,0.5755713619214625,0.03439736751783833
177,II-VI,M_i_B,Ti,CdS,1.433617,1.0688996073509434,0.03156487358406667
178,II-VI,M_i_A,Zr,ZnTe,0.616394,0.9123213845100194,0.037390251448254246
179,II-VI,M_i_A,Zr,CdTe,0.763865,0.6942294744619341,0.02103528990179042
180,III-V,M_i_neut,Mo,AlP,0.23025500000000002,0.5850009303353629,0.030960490587418354
181,III-V,M_B,Mg,GaP,0.375981,0.46983100219526736,0.048916844290567175
182,II-VI,M_A,Sb,ZnO,-0.098812,-0.13378197846570186,0.04186937379555202
183,II-VI,M_B,Rb,CdTe,1.3812799999999998,0.12182587018365698,0.04717130842694087
184,II-VI,M_A,Ir,CdO,0.39258899999999997,-0.11411228931450465,0.03845987596547307
185,II-VI,M_i_B,Rh,CdS,0.506184,0.5265552796072126,0.02927757163256356
186,II-VI,M_i_neut,Ta,CdTe,1.01359,0.6833619109121472,0.02603802479813911
187,IV-IV,M_A,Bi,SiC,-0.679389,-0.2735462933500294,0.050105305525624394
188,II-VI,M_i_neut,Sc,CdTe,1.0442870000000002,0.8785631883039787,0.02720671954246276
189,II-VI,M_B,Fe,CdTe,-0.41184799999999994,-0.07274334211894615,0.02355641274542514
190,II-VI,M_i_B,As,ZnSe,0.9031889999999999,0.6639613284806245,0.02045027960224703
191,II-VI,M_B,Co,CdTe,-0.491435,-0.1527093599296888,0.023448553165716663
192,II-VI,M_i_neut,Ga,CdS,0.5776680000000001,0.8267660943193157,0.02732053918620416
193,II-VI,M_i_neut,Mo,CdTe,0.240517,0.293737978697781,0.021512658690160714
194,II-VI,M_i_neut,Co,CdO,-0.225505,0.3299537512338058,0.025978220483042925
195,II-VI,M_B,K,CdTe,1.225882,0.1273114182065505,0.04617263501706193
196,II-VI,M_i_B,Y,CdTe,1.282534,1.0329179103761366,0.02696976099663607
197,II-VI,M_i_A,Te,ZnSe,0.41061899999999996,0.3517386165092155,0.022774320820171043
198,II-VI,M_B,B,CdTe,-0.557723,-0.2961236655392354,0.03617250437049257
199,II-VI,M_B,Be,CdTe,0.192383,0.22077600827956564,0.03961069044192333
200,III-V,M_i_neut,W,GaSb,0.023424,-0.0893965135600178,0.03407504638035424
201,II-VI,M_i_A,Zn,ZnS,1.144212,1.0787153088229542,0.03177415966065042
202,II-VI,M_A,Zr,CdS,1.212885,0.5747791882924784,0.03700280591943272
203,II-VI,M_B,Li,ZnTe,0.394805,-0.44971579419988206,0.1625307381915628
204,II-VI,M_i_neut,Ba,CdTe,1.191054,0.8897729881230166,0.04229639085723012
205,II-VI,M_i_neut,As,CdS,0.635781,0.758220670916317,0.024537411060546965
206,III-V,M_B,Hf,InSb,-0.32206999999999997,-0.01360272308493642,0.041089351225563446
207,II-VI,M_i_B,Mo,CdTe,0.248383,0.30881819276917427,0.022255678497532207
208,II-VI,M_i_A,Ta,CdTe,0.994433,0.6575178655658125,0.024436854626833805
209,III-V,M_i_A,Cl,GaP,-0.42879799999999996,-0.23617212190277598,0.06582978452378652
210,IV-IV,M_i_neut,La,Ge,0.204209,0.48602422240781473,0.036117573517023785
211,II-VI,M_B,Mg,CdTe,0.700176,0.37917128719159826,0.036062118119787476
212,II-VI,M_B,Mn,CdTe,0.107217,-0.038519582202595305,0.02299248307327559
213,II-VI,M_i_B,B,CdSe,1.509491,0.08952793744507434,0.032935778926527604
214,IV-IV,M_B,Rh,SiC,-0.528389,0.019578018667777145,0.06677606867178028
215,II-VI,M_i_A,La,CdTe,1.14782,0.9705152924032049,0.028321144200440452
216,II-VI,M_i_neut,Os,CdTe,0.115854,0.19737088440817935,0.023802439316135113
217,IV-IV,M_B,Rb,SiGe,0.045813,0.04022994230958064,0.05262115675507584
218,II-VI,M_B,Cs,CdTe,1.2665959999999998,0.07442575931984395,0.05679454920625143
219,III-V,M_i_B,Zr,InN,1.3189950000000001,1.1616538021326175,0.049593131658141706
220,II-VI,M_B,Si,CdSe,-0.359744,0.014816074745940466,0.03312171982043591
221,II-VI,M_B,Ir,CdTe,-0.526791,-0.2173048721549467,0.03257776618387878
222,II-VI,M_i_B,Ti,CdTe,1.1718790000000001,0.6626906802459028,0.022695647138060708
223,II-VI,M_i_A,B,CdTe,-0.43830699999999995,-0.07592173477285347,0.03338133696910302
224,III-V,M_i_neut,Ir,InP,0.243702,0.30137293169460627,0.03857405596728094
225,II-VI,M_i_B,Ru,CdTe,0.135382,0.23895450750684605,0.018671924913249836
226,II-VI,M_i_neut,I,ZnSe,0.194456,-0.1298238309537775,0.0436543279638954
227,IV-IV,M_i_neut,Zr,Ge,0.117651,0.18760911092168056,0.025905874434384912
228,II-VI,M_i_A,Y,CdTe,1.1852690000000001,1.0023957837485145,0.0288597809730914
229,II-VI,M_i_B,Sc,CdTe,1.261539,0.8820763666119792,0.02982689254418096
230,III-V,M_i_B,In,AlAs,0.652046,0.46176382833585183,0.02828609264645778
231,II-VI,M_i_neut,B,CdTe,-0.24558400000000002,-0.07860782044368517,0.03505088871776795
232,III-V,M_i_B,Os,GaSb,-0.060677999999999996,-0.1026034917031736,0.035242599734589805
233,II-VI,M_i_neut,Ti,CdTe,0.982007,0.6543573541830263,0.02258442890964957
234,II-VI,M_B,Tl,ZnSe,0.8667239999999999,0.3552436264963235,0.040341641691285506
235,IV-IV,M_i_neut,Rb,SiSn,-0.15953299999999998,-0.02841814554926868,0.054446148362147444
236,II-VI,M_i_neut,Cd,CdS,1.1386,0.9217949719888512,0.027093297320979443
237,IV-IV,M_i_B,As,SiGe,0.089318,0.2101177192598956,0.02847914533041764
238,II-VI,M_A,C,CdSe,0.317474,-0.648526249534608,0.0446153935559791
239,III-V,M_i_B,Zn,BSb,0.108083,-0.164651230025627,0.03747103496457511
240,II-VI,M_i_neut,Sr,CdTe,1.138978,1.0157615929982042,0.034339799687113017
241,II-VI,M_i_A,Bi,CdSe,1.148915,0.6981604053522747,0.02844081880060301
242,II-VI,M_i_neut,K,CdO,-0.386811,0.03283789321461864,0.04584517947688182
243,II-VI,M_i_A,Sc,CdTe,1.020046,0.8706019879625536,0.029237159100754875
244,II-VI,M_i_B,Ba,CdTe,1.181095,0.9046773966683002,0.04380925214535744
245,II-VI,M_B,Li,CdTe,0.39112399999999997,-0.33321352554778216,0.07115694838865912
246,II-VI,M_i_B,Rh,CdTe,0.07774099999999999,0.15054797827025132,0.01640528210549491
247,IV-IV,M_i_B,P,SiGe,-0.039968000000000004,0.2773728075888816,0.02452109898115921
248,II-VI,M_i_A,Cu,ZnO,-0.360142,-0.10170142424078152,0.04440549045293049
249,II-VI,M_i_neut,Se,ZnS,0.763452,0.42871811869900645,0.03497925162425194
250,II-VI,M_i_A,Rh,CdTe,-0.352086,0.11904073429141367,0.018548818030696062
251,II-VI,M_i_B,Br,CdO,-0.19964500000000002,0.13214490193094267,0.045175556025782264
252,II-VI,M_i_B,B,CdTe,0.243596,-0.0657163667413234,0.033477495296063496
253,IV-IV,M_i_B,N,GeC,0.218914,0.10329934828749039,0.050251451687027424
254,II-VI,M_i_neut,Ru,CdTe,-0.129613,0.22189466703698982,0.01528685904470311
255,II-VI,M_i_A,Ru,CdTe,-0.152951,0.2086256048761173,0.018160534614719174
