,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,1.0921138812881268,0.07510784698330518
1,III-V,M_i_neut,Te,BAs,1.075617,0.91262711374509,0.051376912337464185
2,IV-IV,M_i_B,Cd,GeC,2.240143,1.4348477271878834,0.038295380653301916
3,III-V,M_i_B,Zr,BP,1.1638549999999999,0.8548694488432755,0.043083343158352334
4,III-V,M_B,Ag,GaN,2.349557,2.261371765775116,0.08711235731559101
5,III-V,M_i_neut,Bi,BSb,0.9450350000000001,0.8348529963033885,0.0337245214766908
6,II-VI,M_B,Ca,ZnS,2.438316,2.510989074917829,0.048000282492668474
7,II-VI,M_B,V,CdO,1.151263,1.268216460909205,0.07249624044630466
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,0.9810090807471912,0.04778646204156327
9,II-VI,M_i_neut,Zr,ZnS,2.2778,2.2669542455809664,0.0359662669080112
10,IV-IV,M_i_neut,Br,SnC,0.814702,1.0170629357053318,0.07393330762735384
11,II-VI,M_i_A,Ta,ZnS,2.5628330000000004,2.0453426570515862,0.035486811738276454
12,IV-IV,M_i_neut,Cd,SnC,1.6193739999999999,1.213865865112128,0.0481194210590137
13,IV-IV,M_i_B,Mg,SnC,1.607065,1.0290291669595863,0.06417137358805956
14,III-V,M_i_B,Cs,InN,1.042062,1.485419454224999,0.05313863860858306
15,IV-IV,M_i_neut,Re,GeC,1.1505,1.2586204290312648,0.0352484548894416
16,II-VI,M_B,Hf,CdSe,1.1213790000000001,1.3337621631051022,0.04242861020292827
17,III-V,M_i_B,Ta,BP,0.8750399999999999,0.7742846672747158,0.041038189201546074
18,II-VI,M_i_A,Ta,CdO,1.616858,1.3678255979350489,0.03109324861227094
19,IV-IV,M_B,Nb,GeC,0.82511,1.1635860435680145,0.06382351147966943
20,II-VI,M_i_A,In,ZnO,2.3213779999999997,1.8966439310274203,0.029648266692282148
21,II-VI,M_A,Re,ZnO,1.744193,1.4155059341434328,0.06814973299858998
22,II-VI,M_i_A,Si,CdO,1.405908,1.0143369944491138,0.03162633281836208
23,IV-IV,M_i_A,Mo,GeC,0.991186,1.2318975035306832,0.033594569657825556
24,IV-IV,M_A,Rb,SiC,0.783644,0.9003317189896833,0.06289991148231068
25,IV-IV,M_i_A,Sn,SnC,1.738462,1.3815454763389865,0.03520550722290253
26,IV-IV,M_B,Sc,SiC,1.797282,1.330335271003814,0.0735212722299782
27,III-V,M_i_A,S,BAs,0.500512,0.5769185455351431,0.059272652935417
28,III-V,M_B,Zr,AlP,1.313276,0.9792887726273041,0.04826205306204778
29,IV-IV,M_B,Nb,SnC,0.614056,0.9522499589990797,0.0600921180269628
30,II-VI,M_i_A,Ta,CdS,1.8872830000000003,1.6870011826658147,0.030816323545472847
31,II-VI,M_i_A,Y,ZnS,2.623325,2.501637153137744,0.045409790294733396
32,IV-IV,M_i_B,Ir,SiC,1.185547,1.6898402936917336,0.04589669666502982
33,III-V,M_i_A,Au,BP,1.286363,1.1418873337825317,0.04936228428835162
34,IV-IV,M_i_B,Ru,GeC,0.653053,1.3486694938379975,0.02582932757170648
35,IV-IV,M_i_B,Ta,SnC,1.396484,1.2668015567450572,0.043778312809060006
36,IV-IV,M_i_B,Si,SnC,1.519815,1.2342731719670994,0.041013022250549244
37,II-VI,M_i_B,Ga,ZnO,2.24067,1.8494976566830208,0.03226707785243078
38,II-VI,M_B,Na,CdS,1.8988040000000002,1.8476604078299108,0.03530226558119125
39,II-VI,M_i_A,Mo,CdS,1.822316,1.5344982541289438,0.028564438888074
40,II-VI,M_i_neut,Pb,ZnS,2.5100540000000002,1.8496022947381008,0.043190180020479876
41,IV-IV,M_B,I,SiC,2.031673,1.6883021676941887,0.07350280586818961
42,II-VI,M_i_neut,La,ZnSe,2.1082389999999998,2.0673972368104465,0.025710478438048898
43,II-VI,M_i_A,Tc,CdO,1.4238819999999999,1.1255979812742924,0.02361325373520427
44,II-VI,M_B,Zr,CdTe,0.744568,0.6778753247371542,0.028643714707508414
45,II-VI,M_B,La,CdTe,0.9762850000000001,0.8134946431442689,0.04329415121729693
46,II-VI,M_B,W,CdTe,0.43958800000000003,0.43199638623371817,0.028920977844726865
47,IV-IV,M_i_A,Ru,SiC,2.030186,1.7401662420431543,0.04021716032982671
48,III-V,M_i_neut,Cl,BSb,-0.1024,0.07997455503807141,0.08393458109288614
49,II-VI,M_i_B,Al,ZnS,2.655321,2.1217869004095684,0.038056530275155646
50,IV-IV,M_i_B,Al,GeC,2.020244,1.417877192733752,0.04519862456313712
51,III-V,M_i_neut,Pt,BP,0.265665,0.3131333008460045,0.06199746904097807
52,III-V,M_i_neut,Ag,BP,1.4069120000000002,1.0335181059675798,0.041432211394795616
53,III-V,M_i_A,Ba,GaP,1.612571,1.5813180254395791,0.046101379834099676
54,II-VI,M_B,Nb,CdTe,0.377087,0.5374259859349799,0.030884809017082474
55,IV-IV,M_i_A,Tc,SiC,1.708618,1.671188943363283,0.034474440715764096
56,II-VI,M_B,Y,CdTe,0.7339479999999999,0.8352455469273925,0.03270979357027367
57,III-V,M_i_B,I,AlP,0.7229909999999999,1.2063466619322998,0.05013998094533783
58,II-VI,M_B,Ca,CdSe,1.503391,1.659801440195795,0.03712680314857472
59,III-V,M_i_A,Be,GaN,2.588848,2.1100382184656996,0.06921113706455445
60,III-V,M_B,I,InN,1.507845,1.0794983472399242,0.07073624878729254
61,IV-IV,M_i_A,B,SiC,1.800266,1.6564132591714766,0.03914877653271642
62,II-VI,M_B,Co,ZnS,1.973958,1.4029721721038346,0.0436977054381341
63,III-V,M_i_A,W,BP,0.421746,0.8020811135324276,0.047932186863310716
64,III-V,M_B,Ba,InP,1.436367,0.9723243121003989,0.05920234486279198
65,III-V,M_B,La,GaAs,0.6582319999999999,0.45932565130614444,0.048039812651801066
66,II-VI,M_B,Si,ZnS,0.601769,1.3606881493243552,0.04344061879711877
67,II-VI,M_i_B,Sn,CdO,1.367734,1.2243310305799544,0.02636972888229281
68,III-V,M_i_B,Tc,BAs,0.511016,0.39375533664266804,0.035012517637092636
69,II-VI,M_B,Os,CdSe,0.013287,0.5134889532911115,0.05023384313300379
70,II-VI,M_B,Mo,CdTe,0.705866,0.3593426967007115,0.02614273966203239
71,II-VI,M_B,Re,CdTe,-1.024745,0.3266658473365257,0.03686121190754658
72,II-VI,M_i_A,Ba,ZnSe,2.146619,2.1625337602808834,0.030796435654297297
73,II-VI,M_B,Ti,CdTe,0.787824,0.6747397911849589,0.025144578360114245
74,II-VI,M_B,Sc,CdTe,0.530193,0.7713886506165417,0.025946473743907305
75,II-VI,M_i_A,Cl,ZnO,0.264869,0.43936334686441,0.04424942086057072
76,II-VI,M_B,Ta,CdTe,0.430462,0.4827957900789167,0.04177673180163682
77,II-VI,M_B,Ba,CdTe,1.445813,1.1389670779940981,0.04036057112415064
78,IV-IV,M_i_neut,O,GeC,-0.281107,0.6154593520138313,0.03771974885173314
79,II-VI,M_i_A,Sc,ZnS,2.5601689999999997,2.385525425161947,0.042098493652110484
80,II-VI,M_i_neut,Ti,ZnS,2.427066,2.148381572192293,0.03963821122709555
81,IV-IV,M_B,Sb,SiC,1.8042880000000001,1.5127602029394862,0.07026732409946215
82,III-V,M_A,Hf,BAs,0.9281729999999999,0.7569575754851255,0.08947252568674337
83,II-VI,M_i_neut,Cs,CdS,1.778028,1.8800619717567315,0.05811445151197062
84,IV-IV,M_i_B,C,SnC,1.246668,0.9763590388465717,0.048071391305790225
85,IV-IV,M_B,Te,SnC,1.583503,1.1466396784972877,0.05477532121341715
86,IV-IV,M_i_B,F,GeC,-0.31041399999999997,0.3954200193124034,0.07957233874368909
87,II-VI,M_i_neut,Cs,ZnSe,2.082935,1.9780212976763323,0.04636426421302062
88,IV-IV,M_A,Pb,SnC,-0.185133,0.37463105511781025,0.06256125165765249
89,II-VI,M_i_B,Ir,CdS,1.248897,1.3229252115371468,0.034086684380333125
90,II-VI,M_i_B,Bi,ZnSe,1.632662,1.6508601668240481,0.021482566401086443
91,II-VI,M_i_B,Mg,ZnS,2.7601080000000002,2.241818366226135,0.03731829480932136
92,II-VI,M_B,Sr,CdTe,1.324135,1.1940027676264549,0.04125410196888792
93,II-VI,M_i_neut,Na,ZnO,1.391177,1.8354625178856587,0.03767684071317766
94,IV-IV,M_i_neut,Zn,SiC,2.055246,1.6714508992127357,0.047062616249539564
95,IV-IV,M_i_B,Al,SiC,2.053387,1.7289374649011837,0.04443499231971263
96,II-VI,M_B,I,ZnO,1.658116,0.9853133015106204,0.05949608455603687
97,IV-IV,M_A,Rh,GeC,0.8590770000000001,0.36322876320428515,0.055802379505558344
98,II-VI,M_B,Ca,CdTe,1.198016,1.050831447902747,0.03387120122177166
99,II-VI,M_i_neut,Ir,ZnS,1.091375,1.520723456703359,0.04279291480636124
100,IV-IV,M_i_B,C,SiGe,0.645027,0.32586813099488243,0.03776577992469176
101,IV-IV,M_B,Re,SnC,0.5229779999999999,0.8290889506573744,0.060460260606305286
102,III-V,M_i_B,C,AlAs,0.7640819999999999,0.6582376720787468,0.04179993608496158
103,III-V,M_A,Te,BP,1.212646,1.0525300287893777,0.08386192642168853
104,II-VI,M_i_B,C,CdTe,1.084262,0.5107287756647307,0.021385539385439925
105,III-V,M_i_neut,Pb,AlP,1.784305,1.6151831271008443,0.03920429826897876
106,IV-IV,M_B,Li,GeC,1.796947,0.9972630788526766,0.07864105006426643
107,II-VI,M_i_B,Y,CdO,1.553084,1.5811662475163428,0.03380575073373731
108,II-VI,M_i_A,C,CdTe,0.099245,0.5051076149316853,0.024267912270767574
