,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,1.1178319444622713,0.07087087691457489
1,III-V,M_i_neut,Te,BAs,1.635775,1.4719912644296211,0.049662375435091645
2,IV-IV,M_i_B,Cd,GeC,2.676245,2.275173312631135,0.05284907546095944
3,III-V,M_i_B,Zr,BP,1.54461,1.749456015367651,0.049577228357752495
4,III-V,M_B,Ag,GaN,3.1144950000000002,3.0281394682951777,0.09326735104703329
5,III-V,M_i_neut,Bi,BSb,1.342698,1.2708712233780473,0.05140128824594597
6,II-VI,M_B,Ca,ZnS,2.954588,2.915147138307371,0.07506320193193401
7,II-VI,M_B,V,CdO,1.722594,1.853327673741746,0.043110560005058814
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,1.2050607603353465,0.04011029560792003
9,II-VI,M_i_neut,Zr,ZnS,2.66033,3.160799980278931,0.04283506858991581
10,IV-IV,M_i_neut,Br,SnC,0.814702,0.9702193432458653,0.0626821558732403
11,II-VI,M_i_A,Ta,ZnS,2.990046,3.135153389657782,0.04252078471528163
12,IV-IV,M_i_neut,Cd,SnC,1.987075,1.8985060513323089,0.04241830075683979
13,IV-IV,M_i_B,Mg,SnC,1.9281810000000001,1.8216515398596702,0.05789424395232807
14,III-V,M_i_B,Cs,InN,1.6920540000000002,1.7554631513560317,0.056867430937939584
15,IV-IV,M_i_neut,Re,GeC,1.7627689999999998,2.071969745146378,0.046439684166469306
16,II-VI,M_B,Hf,CdSe,1.533533,1.5544547402939557,0.04393691047989736
17,III-V,M_i_B,Ta,BP,1.335429,1.7559831788448648,0.05094808901189899
18,II-VI,M_i_A,Ta,CdO,1.923344,1.867282620653068,0.05161304960335382
19,IV-IV,M_B,Nb,GeC,1.582389,1.9662896005309325,0.053936532869404204
20,II-VI,M_i_A,In,ZnO,2.969446,2.704258412888424,0.02983321475112803
21,II-VI,M_A,Re,ZnO,2.620436,2.1658959959332584,0.062485837890390146
22,II-VI,M_i_A,Si,CdO,1.8101880000000001,1.5590780354663465,0.04270417333013265
23,IV-IV,M_i_A,Mo,GeC,2.216497,1.90287667383839,0.050319165446538215
24,IV-IV,M_A,Rb,SiC,1.7736020000000001,2.3264444315115176,0.08200713777639704
25,IV-IV,M_i_A,Sn,SnC,2.066277,1.7920650343024924,0.03594763061990437
26,IV-IV,M_B,Sc,SiC,2.3746099999999997,2.477633075072383,0.058360334780049955
27,III-V,M_i_A,S,BAs,1.055577,1.2137392037842392,0.05262925045116666
28,III-V,M_B,Zr,AlP,1.9170919999999998,1.7708425140237793,0.07732827156967165
29,IV-IV,M_B,Nb,SnC,1.1050870000000002,1.6014724551704282,0.05536609445410809
30,II-VI,M_i_A,Ta,CdS,2.580036,2.5483605432862815,0.033560278325757496
31,II-VI,M_i_A,Y,ZnS,3.243525,3.2771172586093487,0.04509878674909136
32,IV-IV,M_i_B,Ir,SiC,1.185547,2.25008819527209,0.05635352808287991
33,III-V,M_i_A,Au,BP,1.964091,1.30916200760531,0.0590331580287025
34,IV-IV,M_i_B,Ru,GeC,1.255775,1.8981274082381414,0.040003929784494734
35,IV-IV,M_i_B,Ta,SnC,1.677245,1.8286019093806847,0.04903411973885678
36,IV-IV,M_i_B,Si,SnC,1.8177880000000002,1.6400761397780208,0.0381617100620009
37,II-VI,M_i_B,Ga,ZnO,2.815665,2.61597286596716,0.03639527665670093
38,II-VI,M_B,Na,CdS,2.232453,2.27427532813728,0.06890667389675455
39,II-VI,M_i_A,Mo,CdS,2.238149,2.158394027296112,0.029459860694827058
40,II-VI,M_i_neut,Pb,ZnS,3.098862,2.951125560396047,0.047293807302759845
41,IV-IV,M_B,I,SiC,2.868532,2.6392441385133063,0.06906302415259767
42,II-VI,M_i_neut,La,ZnSe,2.689452,2.577047265273852,0.03731515924525765
43,II-VI,M_i_A,Tc,CdO,2.21627,1.6341961047119196,0.028282481469314866
44,II-VI,M_B,Zr,CdTe,1.079579,1.4359399761810034,0.03699827919094348
45,II-VI,M_B,La,CdTe,1.499935,1.3216526920125946,0.04112949603397552
46,II-VI,M_B,W,CdTe,0.85,0.6911515988405725,0.04166231164983489
47,IV-IV,M_i_A,Ru,SiC,2.4715599999999998,2.2779448953003674,0.0517085457976701
48,III-V,M_i_neut,Cl,BSb,0.266452,0.13300409797681687,0.05481674860074567
49,II-VI,M_i_B,Al,ZnS,3.303928,2.9527892873432195,0.0504514578641362
50,IV-IV,M_i_B,Al,GeC,2.462675,2.21622590918735,0.06287919503987607
51,III-V,M_i_neut,Pt,BP,1.7580200000000001,1.2969826113060177,0.056445630892395605
52,III-V,M_i_neut,Ag,BP,2.075352,1.5481071829966988,0.05623828884252149
53,III-V,M_i_A,Ba,GaP,1.9809700000000001,1.8055433327871857,0.057405484894860866
54,II-VI,M_B,Nb,CdTe,1.24947,1.3282751508474253,0.03983521727775715
55,IV-IV,M_i_A,Tc,SiC,2.536449,2.3579179003531907,0.03820758322343703
56,II-VI,M_B,Y,CdTe,1.332087,1.4656104413749502,0.03530304072936922
57,III-V,M_i_B,I,AlP,1.2009729999999998,1.4812874919019297,0.05242214126696404
58,II-VI,M_B,Ca,CdSe,1.940261,1.9630036637616093,0.039305407044180736
59,III-V,M_i_A,Be,GaN,3.5914089999999996,3.445133569390041,0.05568067121318121
60,III-V,M_B,I,InN,2.370551,1.7310432349931575,0.07251060630603201
