,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.577776,8.709430603443389,0.33605442767309046
1,IV-IV,M_A,Mo,C,12.708806,11.802590228548713,0.24020879082825972
2,II-VI,M_i_B,Cs,ZnS,8.308364,5.763573509681464,0.16416337592216454
3,IV-IV,M_i_neut,Br,SnC,10.518963000000001,7.724797666394768,0.45868114751362526
4,II-VI,M_i_A,Ta,ZnS,6.488747,7.098644858150905,0.12786734611692885
5,IV-IV,M_i_neut,Cd,SnC,6.920514999999999,5.509389399199058,0.43225946958054723
6,IV-IV,M_i_B,Mg,SnC,5.3963339999999995,5.473500698885573,0.39596064000189646
7,III-V,M_i_B,Cs,InN,9.811475999999999,6.654542045859301,0.30999158445794334
8,IV-IV,M_i_neut,Re,GeC,9.813891,9.443938196575065,0.2847449849532099
9,II-VI,M_B,Hf,CdSe,7.043147,7.554325291666183,0.1293750771070017
10,III-V,M_i_B,Ta,BP,10.966892999999999,9.270571078177053,0.2738058379551158
11,II-VI,M_i_A,Ta,CdO,5.72641,5.283958424656751,0.13947396328525036
12,IV-IV,M_B,Nb,GeC,10.679317,7.974072438322946,0.5066139005810911
13,II-VI,M_i_A,In,ZnO,5.895155,5.028232927650855,0.16287078332880198
14,II-VI,M_A,Re,ZnO,5.364132,4.383468520044607,0.24499914288041733
15,II-VI,M_i_A,Si,CdO,6.566549,3.854444472704458,0.1475149366874705
16,IV-IV,M_i_A,Mo,GeC,9.410975,9.257470302540437,0.24802639222130574
17,IV-IV,M_A,Rb,SiC,10.951310000000001,7.387039932616043,0.30496563489716444
18,IV-IV,M_i_A,Sn,SnC,10.420217,7.450897026230473,0.35196743664780117
19,IV-IV,M_B,Sc,SiC,10.402317,7.070087221324778,0.3037874079808602
20,III-V,M_i_A,S,BAs,10.397483,8.35916562633642,0.3862619641823792
21,IV-IV,M_B,Nb,SnC,10.668663,6.698393280697246,0.34915141431123387
22,II-VI,M_i_A,Ta,CdS,6.769986,6.043534084753183,0.06267453283331614
23,II-VI,M_i_A,Y,ZnS,6.979432000000001,5.645375342488775,0.1044595887678213
24,II-VI,M_i_A,Rb,ZnO,7.095055,6.320542644452146,0.1832497109243057
25,IV-IV,M_i_B,Ir,SiC,10.322714,7.559235623126952,0.1800856997542915
26,III-V,M_i_A,Au,BP,9.493186999999999,6.993155948664443,0.3039181729852916
27,IV-IV,M_i_B,Ru,GeC,8.537181,8.62762237949265,0.1894172863707622
