,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.764068,9.869940909484916,0.28792691144674726
1,IV-IV,M_A,Mo,C,12.712819999999999,12.216075605751524,0.33987375550593163
2,II-VI,M_i_B,Cs,ZnS,11.702283999999999,8.270923689940433,0.213367144275679
3,IV-IV,M_i_neut,Br,SnC,11.272828,9.948780400754954,0.37870198075080547
4,II-VI,M_i_A,Ta,ZnS,11.241427,8.733564344768086,0.17059480219143344
5,IV-IV,M_i_neut,Cd,SnC,11.191706,8.942805219383214,0.359385905411992
6,IV-IV,M_i_B,Mg,SnC,11.09989,8.514103055081737,0.4051715388317832
7,III-V,M_i_B,Cs,InN,11.059476,6.732641022774284,0.494315235890844
8,IV-IV,M_i_neut,Re,GeC,10.882144,8.814475231159438,0.2700472534408394
9,II-VI,M_B,Hf,CdSe,10.881694,8.912668700652663,0.17510688053521245
10,III-V,M_i_B,Ta,BP,10.878893,9.751428362913554,0.3919552747910785
11,II-VI,M_i_A,Ta,CdO,10.819442,9.829371352452684,0.19719571232307484
12,IV-IV,M_B,Nb,GeC,10.790317,7.225934509372752,0.29644562523379087
13,II-VI,M_i_A,In,ZnO,10.782092,7.934074689593359,0.21984125865187168
14,II-VI,M_A,Re,ZnO,10.746174,7.645968509997533,0.22539246525463713
15,II-VI,M_i_A,Si,CdO,10.640975,6.2424275645035765,0.15530520774003942
16,IV-IV,M_i_A,Mo,GeC,10.489142999999999,9.430731537211752,0.23351734753481734
17,IV-IV,M_A,Rb,SiC,10.487853,8.036855548573424,0.3883915940417471
18,IV-IV,M_i_A,Sn,SnC,10.420217,9.965676654381692,0.2551014166508832
19,IV-IV,M_B,Sc,SiC,10.402317,5.584416725548266,0.3444505510774729
20,III-V,M_i_A,S,BAs,10.348061999999999,7.137181727070461,0.3846215179142366
21,IV-IV,M_B,Nb,SnC,10.149663,7.675913042581522,0.442119390315783
22,II-VI,M_i_A,Ta,CdS,10.113273,7.822965897835962,0.09439047240512746
23,II-VI,M_i_A,Y,ZnS,9.988192,9.51509003697214,0.2248560227480422
24,II-VI,M_i_A,Rb,ZnO,9.912034,8.844442565661224,0.21692769150557822
25,IV-IV,M_i_B,Ir,SiC,9.905256,8.011871347897955,0.2186363291761414
26,III-V,M_i_A,Au,BP,9.770686999999999,7.25331390429285,0.33284968699795897
27,IV-IV,M_i_B,Ru,GeC,9.654933,8.921472234833528,0.20597236372589212
28,IV-IV,M_i_B,Ta,SnC,9.585724,9.16476612000331,0.28013883059591443
29,IV-IV,M_i_B,Si,SnC,9.557761,8.902684495793553,0.2588508590341905
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,7.483170653722335,0.3512635055327602
31,II-VI,M_B,Na,CdS,9.34619,5.368114953046866,0.16258110903853967
32,II-VI,M_i_A,Mo,CdS,9.266751,7.156706626612765,0.06555482327644238
33,II-VI,M_i_neut,Pb,ZnS,9.22534,6.891919959912687,0.14960680068507343
34,IV-IV,M_B,I,SiC,9.200933000000001,7.307041039136825,0.30791218035198126
