,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,1.0483249372252013,0.087468901228702
1,III-V,M_i_neut,Te,BAs,1.075617,0.909342918411161,0.05759267016841804
2,IV-IV,M_i_B,Cd,GeC,2.240143,1.3783754536577348,0.04548914592906668
3,III-V,M_i_B,Zr,BP,1.1638549999999999,0.9712377198643001,0.046466634437130346
4,III-V,M_B,Ag,GaN,2.349557,2.244645588280206,0.10337814138692138
5,III-V,M_i_neut,Bi,BSb,0.9450350000000001,0.85221546666602,0.03871449540527313
6,II-VI,M_B,Ca,ZnS,2.438316,2.435070164282755,0.052673603815561146
7,II-VI,M_B,V,CdO,1.151263,1.174449917802677,0.08428024573616735
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,0.9961611785391664,0.05479833246726236
9,II-VI,M_i_neut,Zr,ZnS,2.2778,2.214649517510414,0.04063465454934584
10,IV-IV,M_i_neut,Br,SnC,0.814702,1.000051536059819,0.08503734175730746
11,II-VI,M_i_A,Ta,ZnS,2.5628330000000004,2.022502275142955,0.041394178088305665
12,IV-IV,M_i_neut,Cd,SnC,1.6193739999999999,1.1678776153328911,0.0550500964066082
13,IV-IV,M_i_B,Mg,SnC,1.607065,0.9978982390932988,0.08211355331401902
14,III-V,M_i_B,Cs,InN,1.042062,1.5576519822730694,0.05637641717327143
15,IV-IV,M_i_neut,Re,GeC,1.1505,1.2443938462836364,0.03594210115984129
16,II-VI,M_B,Hf,CdSe,1.1213790000000001,1.2676962488094676,0.05591818547235653
17,III-V,M_i_B,Ta,BP,0.8750399999999999,0.9169430558802809,0.046490687034055386
18,II-VI,M_i_A,Ta,CdO,1.616858,1.3459035667865664,0.03538640368372423
19,IV-IV,M_B,Nb,GeC,0.82511,1.2076724655878273,0.06561768995574506
20,II-VI,M_i_A,In,ZnO,2.3213779999999997,1.8379346353483377,0.03551862614070559
21,II-VI,M_A,Re,ZnO,1.744193,1.3507012235576088,0.06960803079842073
22,II-VI,M_i_A,Si,CdO,1.405908,1.038299271525101,0.038238554229498685
23,IV-IV,M_i_A,Mo,GeC,0.991186,1.2262652118821111,0.04083036180461253
24,IV-IV,M_A,Rb,SiC,0.783644,0.8833133720815693,0.06788228518953687
25,IV-IV,M_i_A,Sn,SnC,1.738462,1.3448576884724808,0.04328221207728387
26,IV-IV,M_B,Sc,SiC,1.797282,1.290262587438819,0.07842190917052429
27,III-V,M_i_A,S,BAs,0.500512,0.6019503711721281,0.06207720443764833
28,III-V,M_B,Zr,AlP,1.313276,1.052695539857308,0.058990861762948044
29,IV-IV,M_B,Nb,SnC,0.614056,1.0041013948680035,0.0646637559452254
30,II-VI,M_i_A,Ta,CdS,1.8872830000000003,1.660911179990442,0.035487902052944505
31,II-VI,M_i_A,Y,ZnS,2.623325,2.4509733884041918,0.04982960560501038
32,IV-IV,M_i_B,Ir,SiC,1.185547,1.615036509554475,0.05389440936975346
33,III-V,M_i_A,Au,BP,1.286363,1.2385492675006817,0.05563193484530848
34,IV-IV,M_i_B,Ru,GeC,0.653053,1.3276393452152937,0.03214321128599584
35,IV-IV,M_i_B,Ta,SnC,1.396484,1.247462444311247,0.047968327829352696
36,IV-IV,M_i_B,Si,SnC,1.519815,1.2317828241509954,0.046953288026859726
37,II-VI,M_i_B,Ga,ZnO,2.24067,1.8108240622110252,0.03765794421308654
38,II-VI,M_B,Na,CdS,1.8988040000000002,1.6828092369015466,0.05217407752597535
39,II-VI,M_i_A,Mo,CdS,1.822316,1.4666463329323034,0.03433015073321507
40,II-VI,M_i_neut,Pb,ZnS,2.5100540000000002,1.817369726124274,0.04719974509109041
41,IV-IV,M_B,I,SiC,2.031673,1.5812706783059733,0.08315989352998451
42,II-VI,M_i_neut,La,ZnSe,2.1082389999999998,2.0403465664054687,0.03694349853148103
43,II-VI,M_i_A,Tc,CdO,1.4238819999999999,1.0990034892150287,0.028777360403648138
44,II-VI,M_B,Zr,CdTe,0.744568,0.6845323510064472,0.03584464102739267
45,II-VI,M_B,La,CdTe,0.9762850000000001,0.8304063517699669,0.050804557372730215
46,II-VI,M_B,W,CdTe,0.43958800000000003,0.37307045752903145,0.03183499063120626
47,IV-IV,M_i_A,Ru,SiC,2.030186,1.669079041789852,0.04569177306793183
48,III-V,M_i_neut,Cl,BSb,-0.1024,0.1543987211450319,0.08124749856121069
49,II-VI,M_i_B,Al,ZnS,2.655321,2.0885864258065316,0.042568387456827596
50,IV-IV,M_i_B,Al,GeC,2.020244,1.4427013430883937,0.046959204941183476
51,III-V,M_i_neut,Pt,BP,0.265665,0.4754938598553542,0.058763269332588
52,III-V,M_i_neut,Ag,BP,1.4069120000000002,1.1243648502373813,0.049986009130405934
53,III-V,M_i_A,Ba,GaP,1.612571,1.544611740109394,0.056530603038804424
54,II-VI,M_B,Nb,CdTe,0.377087,0.5137338397011509,0.03985557327140923
55,IV-IV,M_i_A,Tc,SiC,1.708618,1.5933283576213442,0.04094154789089489
56,II-VI,M_B,Y,CdTe,0.7339479999999999,0.8491734053541776,0.03752497472551965
57,III-V,M_i_B,I,AlP,0.7229909999999999,1.2072219171465504,0.05699986029161759
58,II-VI,M_B,Ca,CdSe,1.503391,1.5838867215936143,0.03974170405889797
59,III-V,M_i_A,Be,GaN,2.588848,1.9631190562433276,0.08132746419581531
60,III-V,M_B,I,InN,1.507845,1.1673394009956748,0.07928982179173817
