,Type,Site,Impurity,AB,(+3/+2)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,-1.291456,-0.6386074430191206,0.05979341348262004
1,III-V,M_i_neut,Te,BAs,-0.577904,-0.6479288579085047,0.04252062617258343
2,IV-IV,M_i_B,Cd,GeC,-0.882713,-0.6579647434683574,0.039581012394284826
3,III-V,M_i_B,Zr,BP,0.010508,-0.2901359695917014,0.03356759013929313
4,III-V,M_B,Ag,GaN,-1.046118,-0.8610170251039768,0.07750212364353654
5,III-V,M_i_neut,Bi,BSb,0.354375,-0.4105784407480071,0.06335989531558886
6,II-VI,M_B,Ca,ZnS,0.643311,-0.10602289820584629,0.06448214333856424
7,II-VI,M_B,V,CdO,-0.16153800000000001,0.06109535450217722,0.07181485507081205
8,IV-IV,M_i_neut,S,SnC,-0.39426100000000003,-0.06967589120266279,0.0420879359518648
9,II-VI,M_i_neut,Zr,ZnS,0.708436,0.26913345058992644,0.03651183335908191
10,IV-IV,M_i_neut,Br,SnC,-0.8336399999999999,-0.47415250807116627,0.05726604856300479
11,II-VI,M_i_A,Ta,ZnS,0.265477,0.1303587411198092,0.039671306374962446
12,IV-IV,M_i_neut,Cd,SnC,-0.662983,-0.5276943193576268,0.04494891300992165
13,IV-IV,M_i_B,Mg,SnC,-0.748046,-0.6863399072227448,0.04627154572804567
14,III-V,M_i_B,Cs,InN,-0.031841,-0.2717161240330321,0.06429218641531428
15,IV-IV,M_i_neut,Re,GeC,-0.666817,-0.10773430768796939,0.05467784033811131
16,II-VI,M_B,Hf,CdSe,-0.37404,0.06424262130629546,0.0378518478996794
17,III-V,M_i_B,Ta,BP,-0.342092,-0.49303330863003564,0.04021087788821892
18,II-VI,M_i_A,Ta,CdO,0.8824930000000001,0.49332059051188504,0.05358796456694169
19,IV-IV,M_B,Nb,GeC,-0.672898,-0.6380903969555236,0.04705248773646354
20,II-VI,M_i_A,In,ZnO,0.23124,-0.2223369832421372,0.051967504969520975
21,II-VI,M_A,Re,ZnO,0.078172,0.158551215968458,0.08507037325632218
22,II-VI,M_i_A,Si,CdO,1.202083,0.7502797710893816,0.06184146757548567
