,Type,Site,Impurity,AB,(-1/-2)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,2.707577,2.6642280251066652,0.07352752205774865
1,III-V,M_i_neut,Te,BAs,2.062998,1.9850396206227827,0.03752111034912799
2,IV-IV,M_i_B,Cd,GeC,3.164628,2.8661983580152715,0.05558372571313875
3,III-V,M_i_B,Zr,BP,2.073813,2.2288979900995565,0.04950054621402106
4,III-V,M_B,Ag,GaN,3.690092,4.470209418927389,0.0922143554381492
5,III-V,M_i_neut,Bi,BSb,1.6480650000000001,1.7063447346946314,0.04847968255378408
6,II-VI,M_B,Ca,ZnS,3.61211,3.607587092187773,0.048512141405376165
7,II-VI,M_B,V,CdO,2.1923880000000002,2.459681489740611,0.053875936102080024
8,IV-IV,M_i_neut,S,SnC,2.86475,1.779935774252793,0.03792378644329356
9,II-VI,M_i_neut,Zr,ZnS,3.5415050000000003,3.8130456539337865,0.04514770002284892
10,IV-IV,M_i_neut,Br,SnC,2.036699,2.210192954159569,0.052949746371151636
11,II-VI,M_i_A,Ta,ZnS,3.568712,3.6916468840079815,0.041061846459159945
12,IV-IV,M_i_neut,Cd,SnC,2.320754,2.290529087008918,0.041123280276366456
13,IV-IV,M_i_B,Mg,SnC,2.2532919999999996,2.3090885266570633,0.06627152115585434
14,III-V,M_i_B,Cs,InN,2.605614,2.3057116051581152,0.05420388470901405
15,IV-IV,M_i_neut,Re,GeC,1.962578,2.595167921670248,0.05334284687991376
16,II-VI,M_B,Hf,CdSe,1.837506,1.9380700968543283,0.03847896742743591
17,III-V,M_i_B,Ta,BP,1.9695759999999998,2.156610343035458,0.05018721333948854
18,II-VI,M_i_A,Ta,CdO,2.586034,2.095705242057241,0.04562610784555104
19,IV-IV,M_B,Nb,GeC,2.704415,2.7519583738019335,0.06621625359516593
20,II-VI,M_i_A,In,ZnO,3.6924099999999997,3.501432096470326,0.040552971908664026
21,II-VI,M_A,Re,ZnO,3.4579419999999996,3.25699563559814,0.04666001397178769
22,II-VI,M_i_A,Si,CdO,1.893907,2.0166400212100632,0.044071064692195475
23,IV-IV,M_i_A,Mo,GeC,3.003737,2.5766003019893247,0.056782367373297
24,IV-IV,M_A,Rb,SiC,2.545048,2.9489408069644134,0.05397194873540774
25,IV-IV,M_i_A,Sn,SnC,2.378676,2.2750936991378956,0.04028459077725559
26,IV-IV,M_B,Sc,SiC,2.9855810000000003,3.2137523523857867,0.035067530372825256
27,III-V,M_i_A,S,BAs,1.516928,1.5369077160350786,0.057890000042375434
28,III-V,M_B,Zr,AlP,2.044565,2.123474063051251,0.05533332468267546
29,IV-IV,M_B,Nb,SnC,1.9833479999999999,2.266096398288963,0.03686011254965607
30,II-VI,M_i_A,Ta,CdS,2.773797,2.8211536375361796,0.03230225768375725
31,II-VI,M_i_A,Y,ZnS,3.7705589999999995,3.8875306491048844,0.04272870285303664
32,IV-IV,M_i_B,Ir,SiC,3.186927,2.9727425153653626,0.042266331123755996
33,III-V,M_i_A,Au,BP,2.445282,2.209734142905881,0.04470948215182251
34,IV-IV,M_i_B,Ru,GeC,1.881159,2.575340126201326,0.045639363883829026
35,IV-IV,M_i_B,Ta,SnC,2.117803,2.256074029317125,0.052030402648232006
36,IV-IV,M_i_B,Si,SnC,2.158737,2.174534638510885,0.04721415602650342
37,II-VI,M_i_B,Ga,ZnO,3.698025,3.3494864610043025,0.03280037310253996
38,II-VI,M_B,Na,CdS,2.866694,2.598414588387347,0.049392791066750937
39,II-VI,M_i_A,Mo,CdS,2.579168,2.64751949091585,0.03259236763603128
40,II-VI,M_i_neut,Pb,ZnS,3.750576,3.6241306357317398,0.04139113215764356
41,IV-IV,M_B,I,SiC,3.4191870000000004,3.3099554156648296,0.051238651530589464
42,II-VI,M_i_neut,La,ZnSe,3.170098,3.225370797428502,0.053514978349080325
43,II-VI,M_i_A,Tc,CdO,1.781912,1.8621617310474847,0.03413430282883299
44,II-VI,M_B,Zr,CdTe,1.413022,1.8960363515818628,0.02364029397278572
45,II-VI,M_B,La,CdTe,1.933064,1.9383588161776715,0.03096515433859152
46,II-VI,M_B,W,CdTe,0.85,1.3636454547963766,0.035850662439476315
47,IV-IV,M_i_A,Ru,SiC,3.078293,2.8692880905338867,0.032449225676233616
48,III-V,M_i_neut,Cl,BSb,1.390196,1.6121093060442457,0.09444802245545718
49,II-VI,M_i_B,Al,ZnS,3.743001,3.531997327584159,0.0491149707417428
50,IV-IV,M_i_B,Al,GeC,2.921092,2.7305618170206807,0.051235665498182675
51,III-V,M_i_neut,Pt,BP,2.426616,2.1952518663171645,0.04959698734985642
52,III-V,M_i_neut,Ag,BP,2.572295,2.255757459472453,0.048252488015994036
53,III-V,M_i_A,Ba,GaP,2.300312,2.4245040852453528,0.0709120003529405
54,II-VI,M_B,Nb,CdTe,1.688604,1.787450343292175,0.02224385321216164
55,IV-IV,M_i_A,Tc,SiC,3.131756,2.8041742685933997,0.027943638441362
56,II-VI,M_B,Y,CdTe,1.791618,1.9629140506379283,0.022194602223605336
57,III-V,M_i_B,I,AlP,2.6862630000000003,2.6176553447868613,0.04136211985675464
58,II-VI,M_B,Ca,CdSe,2.23885,2.348414097423293,0.04270756198401375
59,III-V,M_i_A,Be,GaN,4.371647,3.954392716955719,0.0832511154977372
60,III-V,M_B,I,InN,2.720119,2.8698608187225974,0.06429376413835658
61,IV-IV,M_i_A,B,SiC,3.265102,2.86059445389886,0.039118697097682155
