,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,1.1269490951383552,0.07173309306438067
1,III-V,M_i_neut,Te,BAs,1.635775,1.4668636596419904,0.05201263362211608
2,IV-IV,M_i_B,Cd,GeC,2.676245,2.273426691097158,0.05624719612666446
3,III-V,M_i_B,Zr,BP,1.54461,1.7551916919834973,0.052541395497496805
4,III-V,M_B,Ag,GaN,3.1144950000000002,3.027435883417263,0.09470257534878476
5,III-V,M_i_neut,Bi,BSb,1.342698,1.3031763446134033,0.04933003736693857
6,II-VI,M_B,Ca,ZnS,2.954588,2.9113655321120353,0.07876641568524986
7,II-VI,M_B,V,CdO,1.722594,1.8536061938091184,0.043682376499202175
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,1.199269600096044,0.040655174867080805
9,II-VI,M_i_neut,Zr,ZnS,2.66033,3.1620807727483156,0.04248693477921721
10,IV-IV,M_i_neut,Br,SnC,0.814702,0.9934847098690429,0.06425234599719581
11,II-VI,M_i_A,Ta,ZnS,2.990046,3.1337728726050615,0.043889365061139815
12,IV-IV,M_i_neut,Cd,SnC,1.987075,1.9034920653274938,0.04515844627276509
13,IV-IV,M_i_B,Mg,SnC,1.9281810000000001,1.822393794026101,0.05763688000661505
14,III-V,M_i_B,Cs,InN,1.6920540000000002,1.7274094399972213,0.0637163929743773
15,IV-IV,M_i_neut,Re,GeC,1.7627689999999998,2.0592992946415096,0.0518585353001001
16,II-VI,M_B,Hf,CdSe,1.533533,1.555252278595577,0.047867378682035944
17,III-V,M_i_B,Ta,BP,1.335429,1.753639895582929,0.05021911365592515
18,II-VI,M_i_A,Ta,CdO,1.923344,1.872238110428026,0.05114309411022268
19,IV-IV,M_B,Nb,GeC,1.582389,1.956576743360906,0.05749822114819072
20,II-VI,M_i_A,In,ZnO,2.969446,2.688329017150486,0.03283406930182343
21,II-VI,M_A,Re,ZnO,2.620436,2.16363865437397,0.06524406005101704
22,II-VI,M_i_A,Si,CdO,1.8101880000000001,1.568841984196164,0.04336577554542745
23,IV-IV,M_i_A,Mo,GeC,2.216497,1.8994561687100096,0.05389942549779682
24,IV-IV,M_A,Rb,SiC,1.7736020000000001,2.318954230029201,0.08921905150831971
25,IV-IV,M_i_A,Sn,SnC,2.066277,1.7838775919575312,0.03714871573095796
26,IV-IV,M_B,Sc,SiC,2.3746099999999997,2.480711556696278,0.05814144335095013
27,III-V,M_i_A,S,BAs,1.055577,1.2033938633737686,0.05461632400947473
28,III-V,M_B,Zr,AlP,1.9170919999999998,1.7937120683221035,0.07801031146573266
29,IV-IV,M_B,Nb,SnC,1.1050870000000002,1.5957053581809795,0.0554487989252923
30,II-VI,M_i_A,Ta,CdS,2.580036,2.5410250936048517,0.0336969849422911
31,II-VI,M_i_A,Y,ZnS,3.243525,3.2845413672231047,0.04574364764581598
32,IV-IV,M_i_B,Ir,SiC,1.185547,2.2301588422065537,0.05576334817986018
33,III-V,M_i_A,Au,BP,1.964091,1.301632266892563,0.0571021871869356
34,IV-IV,M_i_B,Ru,GeC,1.255775,1.8816774659406938,0.0442812826116661
35,IV-IV,M_i_B,Ta,SnC,1.677245,1.8272240530591055,0.049353615640229505
36,IV-IV,M_i_B,Si,SnC,1.8177880000000002,1.640377982678124,0.0386051797040888
37,II-VI,M_i_B,Ga,ZnO,2.815665,2.608559827754751,0.038131576957502404
38,II-VI,M_B,Na,CdS,2.232453,2.2853911993148754,0.06567710871514514
39,II-VI,M_i_A,Mo,CdS,2.238149,2.148577931391931,0.03009760493388565
40,II-VI,M_i_neut,Pb,ZnS,3.098862,2.9458867338651666,0.04853461563208796
41,IV-IV,M_B,I,SiC,2.868532,2.6442666188568817,0.07312665629368251
42,II-VI,M_i_neut,La,ZnSe,2.689452,2.589283752876786,0.034524578690412616
43,II-VI,M_i_A,Tc,CdO,2.21627,1.6366457962015595,0.027902487129568162
44,II-VI,M_B,Zr,CdTe,1.079579,1.4495214066460183,0.038138370190906046
45,II-VI,M_B,La,CdTe,1.499935,1.3351172622246512,0.04270200365926715
46,II-VI,M_B,W,CdTe,0.85,0.6834040972500434,0.042154617516036615
47,IV-IV,M_i_A,Ru,SiC,2.4715599999999998,2.263500043107599,0.05307853713650245
48,III-V,M_i_neut,Cl,BSb,0.266452,0.15357791938192777,0.056444474133110545
49,II-VI,M_i_B,Al,ZnS,3.303928,2.9493110012645642,0.05108643509184347
50,IV-IV,M_i_B,Al,GeC,2.462675,2.2103975994058205,0.06580471411711242
51,III-V,M_i_neut,Pt,BP,1.7580200000000001,1.2969918188390337,0.05609471314656503
52,III-V,M_i_neut,Ag,BP,2.075352,1.5473037286209457,0.060864538638974744
53,III-V,M_i_A,Ba,GaP,1.9809700000000001,1.7934792481781223,0.05937282744816889
54,II-VI,M_B,Nb,CdTe,1.24947,1.335238894090008,0.038667586293293844
55,IV-IV,M_i_A,Tc,SiC,2.536449,2.351546350769186,0.03849794562306921
56,II-VI,M_B,Y,CdTe,1.332087,1.4828124200367585,0.035744739274482754
57,III-V,M_i_B,I,AlP,1.2009729999999998,1.4883461350798417,0.05557117499762477
58,II-VI,M_B,Ca,CdSe,1.940261,1.9604956517006786,0.043343940307794496
59,III-V,M_i_A,Be,GaN,3.5914089999999996,3.4382639663925345,0.056789051973557464
60,III-V,M_B,I,InN,2.370551,1.7341332144295514,0.07259854419727364
61,IV-IV,M_i_A,B,SiC,2.5361130000000003,2.1471993992949185,0.04289018083064208
62,II-VI,M_B,Co,ZnS,2.548916,2.37066526593138,0.07963742623925357
63,III-V,M_i_A,W,BP,1.548965,1.461353695699735,0.05261398904851637
64,III-V,M_B,Ba,InP,1.7002849999999998,1.5763536470878214,0.09458074671821895
65,III-V,M_B,La,GaAs,1.0067110000000001,0.8196531777418332,0.0678027706212334
