,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.577776,8.5614062121766,0.3093574580666441
1,IV-IV,M_A,Mo,C,12.708806,11.425778673884546,0.2635944627189197
2,II-VI,M_i_B,Cs,ZnS,8.308364,5.5444386518668285,0.17124145133627625
3,IV-IV,M_i_neut,Br,SnC,10.518963000000001,7.405983691007341,0.46220531517346775
4,II-VI,M_i_A,Ta,ZnS,6.488747,6.961944157082456,0.12464103433622271
5,IV-IV,M_i_neut,Cd,SnC,6.920514999999999,5.3771068953111065,0.4141638992492286
6,IV-IV,M_i_B,Mg,SnC,5.3963339999999995,5.057179503953415,0.39620261998256656
7,III-V,M_i_B,Cs,InN,9.811475999999999,6.208511877873926,0.30744371076401555
8,IV-IV,M_i_neut,Re,GeC,9.813891,9.183180134394073,0.2998720938665128
9,II-VI,M_B,Hf,CdSe,7.043147,7.440299119264989,0.12653844712678122
10,III-V,M_i_B,Ta,BP,10.966892999999999,9.020249022052965,0.2477581855728855
11,II-VI,M_i_A,Ta,CdO,5.72641,5.74555850221048,0.14723825609925362
12,IV-IV,M_B,Nb,GeC,10.679317,7.627442373463106,0.42516154072382756
13,II-VI,M_i_A,In,ZnO,5.895155,4.737997217248315,0.19130946278517155
14,II-VI,M_A,Re,ZnO,5.364132,4.57803567967993,0.22278283249261344
15,II-VI,M_i_A,Si,CdO,6.566549,4.198881261474245,0.1536393603755516
16,IV-IV,M_i_A,Mo,GeC,9.410975,8.883522518675623,0.2425877337532642
17,IV-IV,M_A,Rb,SiC,10.951310000000001,7.093700380598497,0.3162472317535591
18,IV-IV,M_i_A,Sn,SnC,10.420217,7.222693984208931,0.33661745587059416
19,IV-IV,M_B,Sc,SiC,10.402317,7.049005266844221,0.30532607686525737
20,III-V,M_i_A,S,BAs,10.397483,8.32961122307057,0.3725607444427943
21,IV-IV,M_B,Nb,SnC,10.668663,6.5135873927563726,0.3492030463713825
22,II-VI,M_i_A,Ta,CdS,6.769986,6.078411279355329,0.0639398001982904
23,II-VI,M_i_A,Y,ZnS,6.979432000000001,5.457291793392683,0.10757486310757439
24,II-VI,M_i_A,Rb,ZnO,7.095055,5.832105998019338,0.1920508181957134
25,IV-IV,M_i_B,Ir,SiC,10.322714,7.735171886723434,0.17367669258980553
26,III-V,M_i_A,Au,BP,9.493186999999999,6.965279043359624,0.26254234673639104
27,IV-IV,M_i_B,Ru,GeC,8.537181,8.39425762110842,0.1957409273440892
28,IV-IV,M_i_B,Ta,SnC,9.179994,7.870781893108074,0.40170487246641406
29,IV-IV,M_i_B,Si,SnC,8.236301,7.089897961651795,0.29793186069487737
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,6.905080922849469,0.3346983218342529
31,II-VI,M_B,Na,CdS,5.935974,3.1259310237709395,0.16905156199022905
32,II-VI,M_i_A,Mo,CdS,6.664465,5.305696345544439,0.06223758470413823
33,II-VI,M_i_neut,Pb,ZnS,7.017339999999999,5.206503271754782,0.13899448138511197
34,IV-IV,M_B,I,SiC,8.783475,8.613526934225774,0.43470811990577074
35,II-VI,M_i_neut,La,ZnSe,6.284486,5.070732713840894,0.1039100704155462
36,II-VI,M_B,Zr,CdTe,5.952999999999999,4.459315671769696,0.10208824016717845
37,II-VI,M_B,La,CdTe,6.257999999999999,4.8005646596711085,0.16316164396533708
38,II-VI,M_B,W,CdTe,7.942,7.531062819051934,0.16455613674405112
39,IV-IV,M_i_A,Ru,SiC,9.266514,8.08195894931141,0.21520109297729373
40,III-V,M_i_neut,Cl,BSb,8.113017999999999,5.939139891323788,0.2925337914238603
41,II-VI,M_i_B,Al,ZnS,5.675147,3.6955819651067885,0.11732146416402842
42,IV-IV,M_i_B,Al,GeC,8.183278999999999,7.67977471857763,0.24456636149066951
43,III-V,M_i_neut,Pt,BP,6.99052,7.483268935796947,0.2545536298838674
44,III-V,M_i_neut,Ag,BP,8.295910000000001,7.099428678640469,0.24825005511847337
45,III-V,M_i_A,Ba,GaP,7.847111999999999,5.958276839054949,0.1994288229586876
46,II-VI,M_B,Nb,CdTe,5.778,4.962487069063007,0.08146376285273622
47,IV-IV,M_i_A,Tc,SiC,8.610426,8.316347487345414,0.22940772068913948
48,II-VI,M_B,Y,CdTe,5.3020000000000005,4.483900883660388,0.159952035203014
49,III-V,M_i_B,I,AlP,8.598264,6.989350367430575,0.1703299410313378
50,II-VI,M_B,Ca,CdSe,5.623653,4.432108001725294,0.10358862415909546
51,III-V,M_i_A,Be,GaN,6.104421,5.152376671126609,0.3459103443024913
52,IV-IV,M_i_A,B,SiC,8.007597,7.460096940958809,0.22893274436155425
53,III-V,M_i_A,W,BP,7.786508,8.843551455592813,0.2633167952907138
54,III-V,M_B,Ba,InP,6.515726,3.0966280758671636,0.23121725716097155
55,III-V,M_B,La,GaAs,6.649732000000001,2.8375669324777717,0.20577206958784064
56,III-V,M_i_B,Tc,BAs,7.877839,7.275099824139241,0.1934378602982487
57,II-VI,M_B,Os,CdSe,5.8960099999999995,5.685323648640846,0.09680293414536653
58,II-VI,M_B,Mo,CdTe,6.016,5.583781806708743,0.09853111444924492
59,II-VI,M_B,Re,CdTe,6.749,7.041556204788533,0.12713268009087483
60,II-VI,M_i_A,Ba,ZnSe,5.7963,5.061060450384391,0.11129821201497822
61,II-VI,M_B,Ti,CdTe,5.03,3.0884227189468727,0.09294720180781012
62,II-VI,M_B,Sc,CdTe,5.247999999999999,3.237600239603482,0.1186963778887877
63,II-VI,M_i_A,Cl,ZnO,7.895961,5.922584889944455,0.17090406941524927
64,II-VI,M_B,Ta,CdTe,6.6370000000000005,7.396110919474422,0.1475461869891889
65,II-VI,M_B,Ba,CdTe,5.676,4.904405547175972,0.1942453957441591
66,IV-IV,M_i_neut,O,GeC,7.144854,7.750219323100343,0.425673910638063
67,II-VI,M_i_A,Sc,ZnS,4.502325,4.292081126644365,0.12534435647102107
68,IV-IV,M_B,Sb,SiC,6.971528999999999,8.124966563086057,0.287995119755859
69,III-V,M_A,Hf,BAs,7.6093839999999995,4.483103757280188,0.28194904180158364
70,II-VI,M_i_neut,Cs,CdS,4.438366,4.223782061586029,0.1501232125944668
71,IV-IV,M_i_B,C,SnC,7.362067,8.34527241952075,0.27654457232062446
72,IV-IV,M_B,Te,SnC,5.172788,6.281176359470902,0.34526588721940793
73,IV-IV,M_i_B,F,GeC,6.803752,7.034729024973745,0.33486398109116217
74,II-VI,M_i_neut,Cs,ZnSe,5.745138,5.050385379478587,0.15050838737726346
75,II-VI,M_i_B,Ir,CdS,4.763054,4.676936864057039,0.07984817613472575
76,II-VI,M_i_B,Bi,ZnSe,6.282951000000001,4.9073393346198255,0.12250996302687658
77,II-VI,M_i_B,Mg,ZnS,4.931966,4.094666692202569,0.14056276025889453
78,II-VI,M_B,Sr,CdTe,5.331,4.300790313502693,0.19659373738484842
79,II-VI,M_i_neut,Na,ZnO,5.0122480000000005,3.377646485439429,0.2610738835985265
80,IV-IV,M_i_neut,Zn,SiC,7.156721000000001,6.44387579452072,0.32727322779904344
81,IV-IV,M_i_B,Al,SiC,6.9505289999999995,7.740325092552235,0.20988934117031588
82,IV-IV,M_A,Rh,GeC,3.480516,3.708053250734759,0.32094589676224805
83,II-VI,M_B,Ca,CdTe,5.151,3.3331475917290745,0.1393287195432563
84,II-VI,M_i_neut,Ir,ZnS,5.411389,5.289159606837892,0.14242649558869303
85,IV-IV,M_i_B,C,SiGe,6.933628999999999,5.6974448807205,0.20184416941760483
86,III-V,M_i_B,C,AlAs,7.190668,6.277598315538846,0.1775763441835607
87,III-V,M_A,Te,BP,7.769961,6.743501514118739,0.2724250918085326
88,II-VI,M_i_B,C,CdTe,6.943,6.345442621248332,0.10550527907081168
89,III-V,M_i_neut,Pb,AlP,6.935306,5.570698139204343,0.15671601811115013
90,II-VI,M_i_B,Y,CdO,3.839067,4.420613698085598,0.16165679218175583
91,II-VI,M_i_A,C,CdTe,6.861000000000001,6.337551162288651,0.10283679419818388
