,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.764068,9.782274151087185,0.2531999451625412
1,IV-IV,M_A,Mo,C,12.712819999999999,11.944584130132071,0.38210489234075934
2,II-VI,M_i_B,Cs,ZnS,11.702283999999999,7.79079529023034,0.2244789894945669
3,IV-IV,M_i_neut,Br,SnC,11.272828,10.046623343273833,0.35723489946135345
4,II-VI,M_i_A,Ta,ZnS,11.241427,8.545642380845347,0.17084560754478312
5,IV-IV,M_i_neut,Cd,SnC,11.191706,8.834147144677733,0.36278029997444916
6,IV-IV,M_i_B,Mg,SnC,11.09989,7.443599382840776,0.39683503135321785
7,III-V,M_i_B,Cs,InN,11.059476,6.699093757725319,0.47919804199402116
8,IV-IV,M_i_neut,Re,GeC,10.882144,8.76959881566413,0.2825466360319486
9,II-VI,M_B,Hf,CdSe,10.881694,9.003642834804676,0.16562943275945424
10,III-V,M_i_B,Ta,BP,10.878893,9.9489225304258,0.35532685255912827
11,II-VI,M_i_A,Ta,CdO,10.819442,9.66435209496145,0.24173675821660628
12,IV-IV,M_B,Nb,GeC,10.790317,6.751741412891397,0.31460714192330735
13,II-VI,M_i_A,In,ZnO,10.782092,7.208756922458231,0.25310951212999094
14,II-VI,M_A,Re,ZnO,10.746174,7.280643747571853,0.2390877019243705
15,II-VI,M_i_A,Si,CdO,10.640975,6.270253921532998,0.1725764251857022
16,IV-IV,M_i_A,Mo,GeC,10.489142999999999,9.184033402680368,0.23102277020357578
17,IV-IV,M_A,Rb,SiC,10.487853,8.080131304370713,0.4251442160289618
18,IV-IV,M_i_A,Sn,SnC,10.420217,9.839428302994671,0.2520476016489882
19,IV-IV,M_B,Sc,SiC,10.402317,5.418353306546537,0.40573881273944734
20,III-V,M_i_A,S,BAs,10.348061999999999,7.050480339035471,0.3883296529451661
21,IV-IV,M_B,Nb,SnC,10.149663,7.348323830436582,0.4650144527268842
22,II-VI,M_i_A,Ta,CdS,10.113273,7.746867278100453,0.10291917933053736
23,II-VI,M_i_A,Y,ZnS,9.988192,8.943081673192003,0.2424986543982701
24,II-VI,M_i_A,Rb,ZnO,9.912034,8.412071830214717,0.2524012388326295
25,IV-IV,M_i_B,Ir,SiC,9.905256,7.6138888733739805,0.19536454835377565
26,III-V,M_i_A,Au,BP,9.770686999999999,7.380563474737917,0.3379879968299933
27,IV-IV,M_i_B,Ru,GeC,9.654933,8.649225492716477,0.2123913475052622
28,IV-IV,M_i_B,Ta,SnC,9.585724,9.16621827455867,0.3130101570156275
29,IV-IV,M_i_B,Si,SnC,9.557761,8.639018506604621,0.24366279046525155
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,6.773822689471674,0.34883257108312465
31,II-VI,M_B,Na,CdS,9.34619,5.528311890340649,0.14811928175563363
32,II-VI,M_i_A,Mo,CdS,9.266751,6.973874877922978,0.08035447240288698
33,II-VI,M_i_neut,Pb,ZnS,9.22534,6.032511330412511,0.1776682679565686
34,IV-IV,M_B,I,SiC,9.200933000000001,7.430703573803596,0.32724450863583365
35,II-VI,M_i_neut,La,ZnSe,9.193508999999999,7.835077799343571,0.1885386760582861
36,II-VI,M_B,Zr,CdTe,8.923,7.336238022256012,0.10193118219125398
37,II-VI,M_B,La,CdTe,8.913,8.176561951374953,0.2556593547603293
