,Type,Site,Impurity,AB,(+2/+1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,-0.5,0.4377668290791915,0.07511351585651946
1,III-V,M_i_neut,Te,BAs,0.477692,0.17023512826652948,0.05582257268662563
2,IV-IV,M_i_B,Cd,GeC,1.441789,0.9415428236155791,0.06612182213687942
3,III-V,M_i_B,Zr,BP,0.548323,0.4854956786231055,0.05729263523727718
4,III-V,M_B,Ag,GaN,1.614444,1.092639606302253,0.13042412487820151
5,III-V,M_i_neut,Bi,BSb,0.779367,0.08446958933737263,0.04689076429275723
6,II-VI,M_B,Ca,ZnS,1.806255,1.7018544490073246,0.0968884585005803
7,II-VI,M_B,V,CdO,0.5828180000000001,0.3636409386614278,0.1164567081707356
8,IV-IV,M_i_neut,S,SnC,-0.39426100000000003,0.3928205033998043,0.05414324014515575
9,II-VI,M_i_neut,Zr,ZnS,1.7278490000000002,1.4216865118180677,0.03867893875390333
10,IV-IV,M_i_neut,Br,SnC,-0.2,0.34610678336805706,0.07861464484429115
11,II-VI,M_i_A,Ta,ZnS,1.378882,1.2922418440668693,0.038235033458256504
12,IV-IV,M_i_neut,Cd,SnC,0.989869,0.7855746480140049,0.041368809624741855
13,IV-IV,M_i_B,Mg,SnC,0.9232239999999999,0.688623854173118,0.06336335838922724
14,III-V,M_i_B,Cs,InN,-0.646817,0.30507743503172735,0.11670814514679748
15,IV-IV,M_i_neut,Re,GeC,1.110141,0.8118873459863518,0.06978188473255435
16,II-VI,M_B,Hf,CdSe,0.147587,0.5010703141901384,0.0501866690571418
17,III-V,M_i_B,Ta,BP,0.32305300000000003,0.34241726597058075,0.05834547369080121
18,II-VI,M_i_A,Ta,CdO,1.215257,0.8496401253336179,0.04969140734696027
19,IV-IV,M_B,Nb,GeC,-0.21256999999999998,0.3248074029784772,0.09289844838141882
20,II-VI,M_i_A,In,ZnO,1.086175,0.6995095589334166,0.05767625234172806
21,II-VI,M_A,Re,ZnO,1.046271,0.349634546493942,0.0735000944180207
22,II-VI,M_i_A,Si,CdO,1.202083,0.5035218467962425,0.04513263761403153
23,IV-IV,M_i_A,Mo,GeC,0.385629,0.644078069981906,0.05680867516389593
24,IV-IV,M_A,Rb,SiC,-0.17192000000000002,0.14117687119094618,0.11313604354370921
25,IV-IV,M_i_A,Sn,SnC,1.265555,0.9112515969002206,0.04617169061727297
26,IV-IV,M_B,Sc,SiC,1.2181819999999999,0.3718908946947531,0.07712852937197547
