,Type,Site,Impurity,AB,(-1/-2)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,2.707577,2.6004286579027522,0.09194267230169358
1,III-V,M_i_neut,Te,BAs,2.062998,2.1310193495426653,0.045604056595429876
2,IV-IV,M_i_B,Cd,GeC,3.164628,2.85673059171099,0.06253718571536031
3,III-V,M_i_B,Zr,BP,2.073813,2.2616194664065827,0.05708757082084219
4,III-V,M_B,Ag,GaN,3.690092,4.491282419958267,0.09725871240091805
5,III-V,M_i_neut,Bi,BSb,1.6480650000000001,1.7849898390888008,0.04509384487201805
6,II-VI,M_B,Ca,ZnS,3.61211,3.553164303119324,0.07695854660567467
7,II-VI,M_B,V,CdO,2.1923880000000002,2.6233152735877634,0.08318022279860679
8,IV-IV,M_i_neut,S,SnC,2.86475,1.8111740767226248,0.04291483111982207
9,II-VI,M_i_neut,Zr,ZnS,3.5415050000000003,3.906022707373814,0.05152058908513799
10,IV-IV,M_i_neut,Br,SnC,2.036699,2.2417950982740047,0.06802410234166835
11,II-VI,M_i_A,Ta,ZnS,3.568712,3.7455761082781907,0.046273280014918594
12,IV-IV,M_i_neut,Cd,SnC,2.320754,2.3192068224054405,0.05078041046093024
13,IV-IV,M_i_B,Mg,SnC,2.2532919999999996,2.383065112989081,0.07735232574856617
14,III-V,M_i_B,Cs,InN,2.605614,2.293632817759567,0.06317839110185791
15,IV-IV,M_i_neut,Re,GeC,1.962578,2.420804015227033,0.08434309993373208
16,II-VI,M_B,Hf,CdSe,1.837506,1.8789595228827658,0.05813429172030533
17,III-V,M_i_B,Ta,BP,1.9695759999999998,2.1329009485092305,0.06270422595672658
18,II-VI,M_i_A,Ta,CdO,2.586034,2.0833599863471113,0.058458588533394806
19,IV-IV,M_B,Nb,GeC,2.704415,2.7010221725952572,0.0695844957697277
20,II-VI,M_i_A,In,ZnO,3.6924099999999997,3.4987794939345718,0.04876511228325946
21,II-VI,M_A,Re,ZnO,3.4579419999999996,3.1638408245918335,0.057364049509860085
22,II-VI,M_i_A,Si,CdO,1.893907,2.0283266526786483,0.05057391956135589
23,IV-IV,M_i_A,Mo,GeC,3.003737,2.4819684162542717,0.07423465989138468
24,IV-IV,M_A,Rb,SiC,2.545048,2.994480869895185,0.06769994879115708
25,IV-IV,M_i_A,Sn,SnC,2.378676,2.2793341945707346,0.05162954979502848
26,IV-IV,M_B,Sc,SiC,2.9855810000000003,3.245767218533105,0.05179511052507835
27,III-V,M_i_A,S,BAs,1.516928,1.6186863772120952,0.057626742818055
28,III-V,M_B,Zr,AlP,2.044565,2.094129866299484,0.07114652726272123
29,IV-IV,M_B,Nb,SnC,1.9833479999999999,2.1979329093104125,0.05802520507495727
30,II-VI,M_i_A,Ta,CdS,2.773797,2.8063056523547587,0.035458459467964845
31,II-VI,M_i_A,Y,ZnS,3.7705589999999995,3.9377541166232186,0.050419298138600806
32,IV-IV,M_i_B,Ir,SiC,3.186927,2.9441706334585716,0.04290009652264066
33,III-V,M_i_A,Au,BP,2.445282,2.220440216698962,0.05421151089296514
34,IV-IV,M_i_B,Ru,GeC,1.881159,2.529169650092586,0.05648344024525068
35,IV-IV,M_i_B,Ta,SnC,2.117803,2.3973916983979193,0.06572450538397819
36,IV-IV,M_i_B,Si,SnC,2.158737,2.2333561137658955,0.05897149957373346
37,II-VI,M_i_B,Ga,ZnO,3.698025,3.3737582320065242,0.04343981156731156
38,II-VI,M_B,Na,CdS,2.866694,2.582708712614215,0.06396215582700451
39,II-VI,M_i_A,Mo,CdS,2.579168,2.653595583065978,0.03739969917972414
40,II-VI,M_i_neut,Pb,ZnS,3.750576,3.6364462851794586,0.05078070265424565
41,IV-IV,M_B,I,SiC,3.4191870000000004,3.442223679069732,0.05911323407150188
42,II-VI,M_i_neut,La,ZnSe,3.170098,3.3216906312727814,0.07871366262262418
43,II-VI,M_i_A,Tc,CdO,1.781912,1.8676272523529278,0.046347257200985516
44,II-VI,M_B,Zr,CdTe,1.413022,1.9175845818007609,0.027715901171770474
45,II-VI,M_B,La,CdTe,1.933064,1.8871192949666742,0.03940837829688763
46,II-VI,M_B,W,CdTe,0.85,1.3638394648387213,0.03684420803028226
47,IV-IV,M_i_A,Ru,SiC,3.078293,2.8821447783101535,0.04084849959802907
48,III-V,M_i_neut,Cl,BSb,1.390196,1.6230453190617737,0.09450179421349326
49,II-VI,M_i_B,Al,ZnS,3.743001,3.583026881607161,0.053883316603624824
50,IV-IV,M_i_B,Al,GeC,2.921092,2.660999287856401,0.07455562158882209
51,III-V,M_i_neut,Pt,BP,2.426616,2.1379183145523117,0.054236308965253735
52,III-V,M_i_neut,Ag,BP,2.572295,2.307636467632901,0.051630041752807845
53,III-V,M_i_A,Ba,GaP,2.300312,2.281752395988943,0.08834064675436111
54,II-VI,M_B,Nb,CdTe,1.688604,1.7830885233484821,0.02561917541063987
55,IV-IV,M_i_A,Tc,SiC,3.131756,2.8253482353348067,0.04002108922374797
56,II-VI,M_B,Y,CdTe,1.791618,1.9404117322008454,0.026552869048600724
57,III-V,M_i_B,I,AlP,2.6862630000000003,2.669386021018802,0.05401396183059478
58,II-VI,M_B,Ca,CdSe,2.23885,2.247243987897315,0.07069988300000712
59,III-V,M_i_A,Be,GaN,4.371647,4.127865456689389,0.15158049005791677
60,III-V,M_B,I,InN,2.720119,2.925672649390415,0.11292479272822598
61,IV-IV,M_i_A,B,SiC,3.265102,2.892018060247331,0.05650977250946004
62,II-VI,M_B,Co,ZnS,3.185677,3.0418653942559937,0.10013153646696157
63,III-V,M_i_A,W,BP,2.226279,2.020372100908807,0.051385820982656774
64,III-V,M_B,Ba,InP,1.968646,1.5209586884101487,0.07377299098096282
65,III-V,M_B,La,GaAs,1.296742,1.3799203224657526,0.06670700234251563
