,Type,Site,Impurity,AB,(0/-1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,0.9229360143930597,0.08773313943774283
1,III-V,M_i_neut,Te,BAs,1.635775,1.543827887333658,0.0699410592759004
2,IV-IV,M_i_B,Cd,GeC,2.676245,2.270000120118212,0.06307560406719588
3,III-V,M_i_B,Zr,BP,1.54461,1.6863513607582739,0.07618453596301249
4,III-V,M_B,Ag,GaN,3.1144950000000002,3.30060208309076,0.11283807921150432
5,III-V,M_i_neut,Bi,BSb,1.342698,1.2885512363571483,0.06763284284563266
6,II-VI,M_B,Ca,ZnS,2.954588,2.9339894976234278,0.0778510250506609
7,II-VI,M_B,V,CdO,1.722594,1.9379998818642499,0.06427320058004575
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,1.0417266082447305,0.05135532571963118
9,II-VI,M_i_neut,Zr,ZnS,2.66033,3.125087272742686,0.04845982004245551
10,IV-IV,M_i_neut,Br,SnC,0.814702,0.8471963245573979,0.06284087085287059
11,II-VI,M_i_A,Ta,ZnS,2.990046,3.1442413355549785,0.049140524999197036
12,IV-IV,M_i_neut,Cd,SnC,1.987075,1.885175840940801,0.056006367641528436
13,IV-IV,M_i_B,Mg,SnC,1.9281810000000001,1.7344412092478219,0.0721417045726536
14,III-V,M_i_B,Cs,InN,1.6920540000000002,1.8020891635012213,0.07373042050086527
15,IV-IV,M_i_neut,Re,GeC,1.7627689999999998,1.9572846398708257,0.06231311760257936
16,II-VI,M_B,Hf,CdSe,1.533533,1.5211426155693517,0.05837562133829361
17,III-V,M_i_B,Ta,BP,1.335429,1.743936159570401,0.07807302503351518
18,II-VI,M_i_A,Ta,CdO,1.923344,1.8516909907793895,0.057464616874995114
19,IV-IV,M_B,Nb,GeC,1.582389,1.817597965498429,0.050337652676934824
20,II-VI,M_i_A,In,ZnO,2.969446,2.6753568240223187,0.047425826865228546
21,II-VI,M_A,Re,ZnO,2.620436,2.142449163232149,0.07299304353162557
22,II-VI,M_i_A,Si,CdO,1.8101880000000001,1.5646169879925833,0.054278631709885145
23,IV-IV,M_i_A,Mo,GeC,2.216497,1.7640510680674264,0.06365950108766354
24,IV-IV,M_A,Rb,SiC,1.7736020000000001,2.260808750548847,0.09306108222628225
25,IV-IV,M_i_A,Sn,SnC,2.066277,1.7183798661282925,0.045208573291560444
26,IV-IV,M_B,Sc,SiC,2.3746099999999997,2.3612152970979685,0.05854922415258579
27,III-V,M_i_A,S,BAs,1.055577,1.308460031415093,0.07038599366412537
28,III-V,M_B,Zr,AlP,1.9170919999999998,1.756078695133818,0.0854857339320119
29,IV-IV,M_B,Nb,SnC,1.1050870000000002,1.4726744101787872,0.05286369490129715
30,II-VI,M_i_A,Ta,CdS,2.580036,2.5570239332643623,0.0341797866827963
31,II-VI,M_i_A,Y,ZnS,3.243525,3.2648475062855686,0.052674874720723
32,IV-IV,M_i_B,Ir,SiC,1.185547,2.104643408570139,0.07037029508258878
33,III-V,M_i_A,Au,BP,1.964091,1.3407755432159294,0.08163539699917419
34,IV-IV,M_i_B,Ru,GeC,1.255775,1.7718029314817507,0.054683149789199866
35,IV-IV,M_i_B,Ta,SnC,1.677245,1.736255529333556,0.05558104666059118
36,IV-IV,M_i_B,Si,SnC,1.8177880000000002,1.5358391933614506,0.05068371812641506
37,II-VI,M_i_B,Ga,ZnO,2.815665,2.611556260311712,0.04649974598290268
38,II-VI,M_B,Na,CdS,2.232453,2.4236574416973786,0.07974085738256805
39,II-VI,M_i_A,Mo,CdS,2.238149,2.1727312804318566,0.03507691592590271
40,II-VI,M_i_neut,Pb,ZnS,3.098862,2.933290771447251,0.054689266628933086
41,IV-IV,M_B,I,SiC,2.868532,2.4964470227884163,0.07376679192130621
42,II-VI,M_i_neut,La,ZnSe,2.689452,2.5529710217171235,0.051063004378736995
43,II-VI,M_i_A,Tc,CdO,2.21627,1.6588916933562685,0.03398617696133042
44,II-VI,M_B,Zr,CdTe,1.079579,1.3727499498830558,0.0440404068759527
45,II-VI,M_B,La,CdTe,1.499935,1.3157537564930037,0.04809909772346152
46,II-VI,M_B,W,CdTe,0.85,0.8017741236839943,0.06141838642059847
47,IV-IV,M_i_A,Ru,SiC,2.4715599999999998,2.115400522079399,0.0647925472678608
48,III-V,M_i_neut,Cl,BSb,0.266452,0.17685620906899255,0.06997741056684956
49,II-VI,M_i_B,Al,ZnS,3.303928,2.968819877932682,0.0579949418440458
50,IV-IV,M_i_B,Al,GeC,2.462675,2.185678290898443,0.07529562671882448
51,III-V,M_i_neut,Pt,BP,1.7580200000000001,1.2610249082293756,0.07283940876835468
52,III-V,M_i_neut,Ag,BP,2.075352,1.539466125524533,0.09392929565873422
53,III-V,M_i_A,Ba,GaP,1.9809700000000001,1.866629321012113,0.07715805491481646
54,II-VI,M_B,Nb,CdTe,1.24947,1.2680375932446997,0.04585191792736338
55,IV-IV,M_i_A,Tc,SiC,2.536449,2.2038585763894716,0.04731243064771258
56,II-VI,M_B,Y,CdTe,1.332087,1.4496220954227332,0.04317893582427105
57,III-V,M_i_B,I,AlP,1.2009729999999998,1.5636928303765347,0.07024007583865577
58,II-VI,M_B,Ca,CdSe,1.940261,1.9853734748678775,0.058660406969517284
59,III-V,M_i_A,Be,GaN,3.5914089999999996,3.7177310031647637,0.05386308061133628
60,III-V,M_B,I,InN,2.370551,1.9271236457651166,0.08549552969416081
61,IV-IV,M_i_A,B,SiC,2.5361130000000003,2.015608455502844,0.05248950194996969
62,II-VI,M_B,Co,ZnS,2.548916,2.3584479478270866,0.09947548415363
63,III-V,M_i_A,W,BP,1.548965,1.602952304381052,0.08218365643834834
64,III-V,M_B,Ba,InP,1.7002849999999998,1.674203131479031,0.11029775521225929
65,III-V,M_B,La,GaAs,1.0067110000000001,0.7616236320789869,0.06282160885497529
66,II-VI,M_B,Si,ZnS,1.152018,2.479802438942987,0.06812752063157941
67,II-VI,M_i_B,Sn,CdO,1.9365560000000002,1.8317718155659406,0.032421924594572306
68,III-V,M_i_B,Tc,BAs,1.12348,1.3714852784627962,0.06659891410991774
69,II-VI,M_B,Os,CdSe,1.401893,0.9843458097654821,0.06915015944585863
70,II-VI,M_B,Mo,CdTe,1.090997,1.0566522533600051,0.0330574395537138
71,II-VI,M_B,Re,CdTe,0.635196,0.38293170507097535,0.05326803763416503
72,II-VI,M_i_A,Ba,ZnSe,2.7487369999999998,2.5185688941504023,0.045681432664058406
73,II-VI,M_B,Ti,CdTe,1.1933280000000002,1.3046556938757188,0.03621118413583826
74,II-VI,M_B,Sc,CdTe,1.2214,1.4934191737139524,0.038789816485945594
75,II-VI,M_i_A,Cl,ZnO,0.975318,1.29646336307055,0.07137138617352086
76,II-VI,M_B,Ta,CdTe,1.184412,0.905039506538067,0.05319240468748095
77,II-VI,M_B,Ba,CdTe,1.746675,1.5410188403119691,0.06626335816541223
78,IV-IV,M_i_neut,O,GeC,0.21099600000000002,0.9419333106439798,0.06864624958740079
79,II-VI,M_i_A,Sc,ZnS,3.2268939999999997,3.2415993259176856,0.05517511876272336
80,II-VI,M_i_neut,Ti,ZnS,3.083972,3.0948627848386905,0.06463525872747823
81,IV-IV,M_B,Sb,SiC,2.58313,2.667470871878499,0.05387637778404451
82,III-V,M_A,Hf,BAs,1.599742,1.4487537166920699,0.07778897029826501
83,II-VI,M_i_neut,Cs,CdS,2.31922,2.389508681069382,0.07058389495737312
84,IV-IV,M_i_B,C,SnC,1.246668,1.060775503337511,0.07369600063691129
85,IV-IV,M_B,Te,SnC,1.920151,2.02861563467819,0.07071233888727613
86,IV-IV,M_i_B,F,GeC,0.25097600000000003,0.763883083761512,0.10290148678631367
87,II-VI,M_i_neut,Cs,ZnSe,2.667926,2.1896373905134774,0.07607723284357343
88,IV-IV,M_A,Pb,SnC,1.525382,1.6178468689663041,0.09992742094098045
