,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.577776,8.89990843087866,0.3724594549483573
1,IV-IV,M_A,Mo,C,12.708806,12.074379994751629,0.2798901943886804
2,II-VI,M_i_B,Cs,ZnS,8.308364,5.9829135501851995,0.19901542156507548
3,IV-IV,M_i_neut,Br,SnC,10.518963000000001,7.926637403428589,0.4914854161113919
4,II-VI,M_i_A,Ta,ZnS,6.488747,7.07570618039008,0.15545166742718583
5,IV-IV,M_i_neut,Cd,SnC,6.920514999999999,5.721284942375334,0.44429949234046356
6,IV-IV,M_i_B,Mg,SnC,5.3963339999999995,5.6277909968847375,0.43466905342579226
7,III-V,M_i_B,Cs,InN,9.811475999999999,7.010355127155227,0.3636183406653251
8,IV-IV,M_i_neut,Re,GeC,9.813891,9.701617244423328,0.3105765452821314
9,II-VI,M_B,Hf,CdSe,7.043147,7.430458187757641,0.13042593067880692
10,III-V,M_i_B,Ta,BP,10.966892999999999,9.287978827759565,0.30922668715052465
11,II-VI,M_i_A,Ta,CdO,5.72641,4.966914366095973,0.1595596233284285
12,IV-IV,M_B,Nb,GeC,10.679317,8.273804597374006,0.5923738420398349
13,II-VI,M_i_A,In,ZnO,5.895155,5.125434405156813,0.18678602728563376
14,II-VI,M_A,Re,ZnO,5.364132,4.169700274894103,0.33442030443399956
15,II-VI,M_i_A,Si,CdO,6.566549,3.8021338653049925,0.1824510104235293
16,IV-IV,M_i_A,Mo,GeC,9.410975,9.409275461376215,0.28417846838296507
17,IV-IV,M_A,Rb,SiC,10.951310000000001,7.596711237696306,0.331930425247587
18,IV-IV,M_i_A,Sn,SnC,10.420217,7.592966908723236,0.38747759197601345
19,IV-IV,M_B,Sc,SiC,10.402317,7.231030863914758,0.3353471977512897
20,III-V,M_i_A,S,BAs,10.397483,8.257837011483975,0.42976867109704836
21,IV-IV,M_B,Nb,SnC,10.668663,6.8741943934093515,0.3745866413121
22,II-VI,M_i_A,Ta,CdS,6.769986,5.985712267616447,0.06582404898401409
23,II-VI,M_i_A,Y,ZnS,6.979432000000001,5.73091571116015,0.12350565527279482
24,II-VI,M_i_A,Rb,ZnO,7.095055,6.459727836526983,0.21026387515053047
25,IV-IV,M_i_B,Ir,SiC,10.322714,7.730777057298928,0.20595816561145885
26,III-V,M_i_A,Au,BP,9.493186999999999,7.143060050936571,0.34609845228475217
27,IV-IV,M_i_B,Ru,GeC,8.537181,8.814464176585975,0.19903018728154576
28,IV-IV,M_i_B,Ta,SnC,9.179994,7.97879856104795,0.5096526391182672
29,IV-IV,M_i_B,Si,SnC,8.236301,7.315887153195149,0.34827743217406076
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,7.199863130274497,0.38348474275853756
31,II-VI,M_B,Na,CdS,5.935974,3.432854741464672,0.18265647040336158
32,II-VI,M_i_A,Mo,CdS,6.664465,5.280209789928501,0.0687023751825995
33,II-VI,M_i_neut,Pb,ZnS,7.017339999999999,5.774486147698024,0.15828434319411452
34,IV-IV,M_B,I,SiC,8.783475,8.014557137683028,0.4558944940216612
35,II-VI,M_i_neut,La,ZnSe,6.284486,5.12392417778126,0.1466716387652872
36,II-VI,M_B,Zr,CdTe,5.952999999999999,4.498660315253405,0.14611446894054164
37,II-VI,M_B,La,CdTe,6.257999999999999,4.690551282055731,0.18576510723073997
38,II-VI,M_B,W,CdTe,7.942,7.785891486885961,0.16214276199078356
39,IV-IV,M_i_A,Ru,SiC,9.266514,8.198048316033088,0.2358747078700407
40,III-V,M_i_neut,Cl,BSb,8.113017999999999,5.59201993469747,0.3226349686091035
41,II-VI,M_i_B,Al,ZnS,5.675147,4.022014796885496,0.13372982003768866
42,IV-IV,M_i_B,Al,GeC,8.183278999999999,7.912278330187982,0.2847048492710455
43,III-V,M_i_neut,Pt,BP,6.99052,7.600606673680696,0.34307738938633225
44,III-V,M_i_neut,Ag,BP,8.295910000000001,7.2274959626134985,0.32863362597851664
45,III-V,M_i_A,Ba,GaP,7.847111999999999,6.226387965744226,0.24176379946029725
46,II-VI,M_B,Nb,CdTe,5.778,4.927097632792509,0.11538282633957014
47,IV-IV,M_i_A,Tc,SiC,8.610426,8.53315517802912,0.265665536283411
48,II-VI,M_B,Y,CdTe,5.3020000000000005,4.723772576231047,0.1864392316699175
49,III-V,M_i_B,I,AlP,8.598264,7.819210321606316,0.21137458159496986
50,II-VI,M_B,Ca,CdSe,5.623653,4.569279469419492,0.17148990390430374
51,III-V,M_i_A,Be,GaN,6.104421,4.944535409124532,0.37337168940136883
52,IV-IV,M_i_A,B,SiC,8.007597,7.298315222731967,0.28614604203888644
53,III-V,M_i_A,W,BP,7.786508,9.561787534106529,0.3381774946957313
54,III-V,M_B,Ba,InP,6.515726,3.1119151652485426,0.22361784038939606
55,III-V,M_B,La,GaAs,6.649732000000001,2.6452699205501866,0.21118021210130936
56,III-V,M_i_B,Tc,BAs,7.877839,7.413205806932984,0.21937928154961428
57,II-VI,M_B,Os,CdSe,5.8960099999999995,5.606784533036064,0.12179429666666189
58,II-VI,M_B,Mo,CdTe,6.016,5.828860509250633,0.10719392762262094
59,II-VI,M_B,Re,CdTe,6.749,7.026648514001525,0.14787914619803139
60,II-VI,M_i_A,Ba,ZnSe,5.7963,5.223262550047022,0.12656610303612312
61,II-VI,M_B,Ti,CdTe,5.03,3.186616777730832,0.13738047309261878
62,II-VI,M_B,Sc,CdTe,5.247999999999999,3.5732142036005046,0.1449036120072685
63,II-VI,M_i_A,Cl,ZnO,7.895961,6.005562179879066,0.24434601148782717
64,II-VI,M_B,Ta,CdTe,6.6370000000000005,7.216379565183199,0.17509405783167736
65,II-VI,M_B,Ba,CdTe,5.676,4.772540807821746,0.2250770435949001
