,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.764068,10.014244450305378,0.3310561788644492
1,IV-IV,M_A,Mo,C,12.712819999999999,12.646559388230191,0.2896256500498694
2,II-VI,M_i_B,Cs,ZnS,11.702283999999999,8.515804650865288,0.2402256905130167
3,IV-IV,M_i_neut,Br,SnC,11.272828,9.87118471342131,0.4556112342600474
4,II-VI,M_i_A,Ta,ZnS,11.241427,8.821635357003197,0.23010938166261893
5,IV-IV,M_i_neut,Cd,SnC,11.191706,8.939256403675657,0.41570660339868143
6,IV-IV,M_i_B,Mg,SnC,11.09989,9.312660299373702,0.44974339378341166
7,III-V,M_i_B,Cs,InN,11.059476,6.812226325743754,0.48776679628823927
8,IV-IV,M_i_neut,Re,GeC,10.882144,8.854300664674469,0.3155429083741735
9,II-VI,M_B,Hf,CdSe,10.881694,8.7582358506435,0.19016693329882214
10,III-V,M_i_B,Ta,BP,10.878893,9.706313394650866,0.4614920424349544
11,II-VI,M_i_A,Ta,CdO,10.819442,9.776621526367776,0.21419858120493784
12,IV-IV,M_B,Nb,GeC,10.790317,7.584522810100781,0.3427480148609827
13,II-VI,M_i_A,In,ZnO,10.782092,8.388292189470594,0.2654777316614339
14,II-VI,M_A,Re,ZnO,10.746174,7.776129709327199,0.2816897930979467
15,II-VI,M_i_A,Si,CdO,10.640975,6.131356769537154,0.16965568246286877
16,IV-IV,M_i_A,Mo,GeC,10.489142999999999,9.600730348930469,0.2903301582097505
17,IV-IV,M_A,Rb,SiC,10.487853,8.315722804466313,0.39229560208600744
18,IV-IV,M_i_A,Sn,SnC,10.420217,9.901766347781287,0.29027306820572935
19,IV-IV,M_B,Sc,SiC,10.402317,5.80765746198436,0.3891912244946893
20,III-V,M_i_A,S,BAs,10.348061999999999,7.192596025931278,0.4147973913389729
21,IV-IV,M_B,Nb,SnC,10.149663,8.248213452486766,0.5001642235458378
22,II-VI,M_i_A,Ta,CdS,10.113273,7.7932771141601505,0.09929492489285396
23,II-VI,M_i_A,Y,ZnS,9.988192,9.84390929562629,0.2541727592548364
24,II-VI,M_i_A,Rb,ZnO,9.912034,8.862477128755964,0.24278900679162746
25,IV-IV,M_i_B,Ir,SiC,9.905256,8.015523461069531,0.26666077446382985
26,III-V,M_i_A,Au,BP,9.770686999999999,7.201129180292261,0.3819976434494469
27,IV-IV,M_i_B,Ru,GeC,9.654933,9.143241853731354,0.2373243863936279
28,IV-IV,M_i_B,Ta,SnC,9.585724,9.141833149155008,0.32287564590388496
29,IV-IV,M_i_B,Si,SnC,9.557761,9.018979177376561,0.2886927229470716
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,8.147044115833861,0.4987153582355569
31,II-VI,M_B,Na,CdS,9.34619,5.475110972298018,0.2022554319905043
32,II-VI,M_i_A,Mo,CdS,9.266751,7.207285971773831,0.06891382906980975
33,II-VI,M_i_neut,Pb,ZnS,9.22534,7.367085641120077,0.1712702053021866
34,IV-IV,M_B,I,SiC,9.200933000000001,7.024693890054441,0.3671214751483874
35,II-VI,M_i_neut,La,ZnSe,9.193508999999999,8.34529596291319,0.20035051430877682
36,II-VI,M_B,Zr,CdTe,8.923,7.615267698315565,0.11783355552666777
37,II-VI,M_B,La,CdTe,8.913,8.02794370849629,0.30559030636554047
38,II-VI,M_B,W,CdTe,8.891,8.197415037027175,0.1545364727659481
39,IV-IV,M_i_A,Ru,SiC,8.849056,7.824424001013163,0.19682193467919598
40,III-V,M_i_neut,Cl,BSb,8.706022,4.37949113817326,0.6979824826660015
41,II-VI,M_i_B,Al,ZnS,8.683907000000001,6.7277386080388535,0.16687815893039343
42,IV-IV,M_i_B,Al,GeC,8.644658,7.847766834377171,0.24207322544120352
43,III-V,M_i_neut,Pt,BP,8.616133999999999,7.549564163125538,0.45479966589116283
44,III-V,M_i_neut,Ag,BP,8.32291,7.713683246401845,0.333760875804351
