,Type,Site,Impurity,AB,(+2/+1)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,-0.5,0.4063863869446851,0.060942542983641296
1,III-V,M_i_neut,Te,BAs,0.477692,0.1467897320940839,0.038059488421290075
2,IV-IV,M_i_B,Cd,GeC,1.441789,0.7723361428911978,0.04609061876761201
3,III-V,M_i_B,Zr,BP,0.548323,0.3896150658483715,0.041943239739010096
4,III-V,M_B,Ag,GaN,1.614444,0.9527203476887867,0.06186725194101528
5,III-V,M_i_neut,Bi,BSb,0.779367,0.0790127550983704,0.03539209755076853
6,II-VI,M_B,Ca,ZnS,1.806255,1.5754059580790305,0.06362253705599029
7,II-VI,M_B,V,CdO,0.5828180000000001,0.4614996610320753,0.07781030339729039
8,IV-IV,M_i_neut,S,SnC,-0.39426100000000003,0.38418801354173115,0.03694256301206333
9,II-VI,M_i_neut,Zr,ZnS,1.7278490000000002,1.320084360131411,0.02888827767134887
10,IV-IV,M_i_neut,Br,SnC,-0.2,0.36785996073728106,0.05717870545738732
11,II-VI,M_i_A,Ta,ZnS,1.378882,1.1840921004454177,0.029069338190144945
12,IV-IV,M_i_neut,Cd,SnC,0.989869,0.6228767070644297,0.02998121448530572
13,IV-IV,M_i_B,Mg,SnC,0.9232239999999999,0.6234159103564918,0.03891149033552999
14,III-V,M_i_B,Cs,InN,-0.646817,0.3446486518872118,0.064375640988917
15,IV-IV,M_i_neut,Re,GeC,1.110141,0.7147652690989037,0.04337055594985017
16,II-VI,M_B,Hf,CdSe,0.147587,0.5329311220531248,0.034936450679718234
17,III-V,M_i_B,Ta,BP,0.32305300000000003,0.2807894060331148,0.04408478073654347
18,II-VI,M_i_A,Ta,CdO,1.215257,0.7682565309323224,0.037438316885481576
19,IV-IV,M_B,Nb,GeC,-0.21256999999999998,0.3359460457037024,0.06363478626197579
20,II-VI,M_i_A,In,ZnO,1.086175,0.7368772177641085,0.03541593760541391
21,II-VI,M_A,Re,ZnO,1.046271,0.40870261116765283,0.04903679014813104
22,II-VI,M_i_A,Si,CdO,1.202083,0.44832107931588583,0.033963913773441295
23,IV-IV,M_i_A,Mo,GeC,0.385629,0.5867392891127713,0.039759111624241485
24,IV-IV,M_A,Rb,SiC,-0.17192000000000002,0.061229270241084155,0.06601318101552747
25,IV-IV,M_i_A,Sn,SnC,1.265555,0.7907443167219763,0.03212755826722408
26,IV-IV,M_B,Sc,SiC,1.2181819999999999,0.32802131270884016,0.05117132568328898
27,III-V,M_i_A,S,BAs,-0.023791,-0.04648316840174305,0.042244025918772105
28,III-V,M_B,Zr,AlP,0.699954,0.6271819771234222,0.03944172481495629
29,IV-IV,M_B,Nb,SnC,-0.027769,0.1981447843172662,0.06097146987577543
30,II-VI,M_i_A,Ta,CdS,1.362955,1.0386684068908139,0.030010441608869877
31,II-VI,M_i_A,Y,ZnS,1.934607,1.7040613260795143,0.0339560026461035
32,IV-IV,M_i_B,Ir,SiC,-0.798557,0.4810141880774479,0.0408902748390572
33,III-V,M_i_A,Au,BP,-0.383868,-0.2735800558056153,0.04860244463148047
34,IV-IV,M_i_B,Ru,GeC,0.07901799999999999,0.5562287045866665,0.041500598980064994
35,IV-IV,M_i_B,Ta,SnC,1.029305,0.8454180804033076,0.036717224487691096
36,IV-IV,M_i_B,Si,SnC,0.941161,0.6390923058905775,0.03216038603516524
37,II-VI,M_i_B,Ga,ZnO,1.081754,0.6124404572449704,0.033933307737778626
38,II-VI,M_B,Na,CdS,1.156852,0.2650083960005696,0.061148052719726516
39,II-VI,M_i_A,Mo,CdS,1.3714309999999998,0.6855066358195632,0.02897452524341719
40,II-VI,M_i_neut,Pb,ZnS,1.5442040000000001,0.8816528969660355,0.032308771877956576
41,IV-IV,M_B,I,SiC,1.425399,0.36946212734707384,0.060889998264287426
42,II-VI,M_i_neut,La,ZnSe,1.547015,1.3307274458003682,0.034949690613914446
43,II-VI,M_i_A,Tc,CdO,1.025888,0.5442295809590025,0.038414258580987064
44,II-VI,M_B,Zr,CdTe,-0.141797,0.1957780029135942,0.02338570053865675
45,II-VI,M_B,La,CdTe,0.46399799999999997,0.5223526721107007,0.02999902063622967
46,II-VI,M_B,W,CdTe,0.43958800000000003,-0.1186765757684856,0.036270602152690866
47,IV-IV,M_i_A,Ru,SiC,1.147693,0.4683741634368578,0.03875374553497299
48,III-V,M_i_neut,Cl,BSb,-0.440594,-0.1888666899690038,0.054881716854995224
49,II-VI,M_i_B,Al,ZnS,1.53579,0.9361096804370955,0.03286010517953908
50,IV-IV,M_i_B,Al,GeC,1.54559,0.6447950308750218,0.038389677538913404
51,III-V,M_i_neut,Pt,BP,-0.335081,0.028158053744407163,0.04282115489772008
52,III-V,M_i_neut,Ag,BP,-0.318707,-0.4460871154817016,0.04480762968523546
53,III-V,M_i_A,Ba,GaP,1.082864,0.9780476673582544,0.044229031834023935
54,II-VI,M_B,Nb,CdTe,-0.222165,0.03369799563236422,0.020423424847550525
55,IV-IV,M_i_A,Tc,SiC,-0.135876,0.5369460473446324,0.03461117113327889
56,II-VI,M_B,Y,CdTe,0.307621,0.5716067655589038,0.033710715286323314
57,III-V,M_i_B,I,AlP,0.23291900000000001,0.5842481143800228,0.052006423643319845
58,II-VI,M_B,Ca,CdSe,1.109877,0.7540029781076523,0.07407664734586036
59,III-V,M_i_A,Be,GaN,1.59832,1.0888543812526277,0.047453847294612474
60,III-V,M_B,I,InN,0.8675879999999999,1.2602278810324705,0.07979542347429319
61,IV-IV,M_i_A,B,SiC,0.345966,0.20007239144553882,0.03542221504030945
62,II-VI,M_B,Co,ZnS,-0.758458,0.2568664209550877,0.03911144166307335
63,III-V,M_i_A,W,BP,-0.139606,-0.12242235301232632,0.04233691474253058
64,III-V,M_B,Ba,InP,1.172959,0.28928104179815556,0.04046892927090137
65,III-V,M_B,La,GaAs,0.208497,-0.06352268080570489,0.03787679429714029
66,II-VI,M_B,Si,ZnS,-0.41597,0.23265347087842336,0.04557614565563763
67,II-VI,M_i_B,Sn,CdO,0.966959,0.6060634783591761,0.026516346330656082
68,III-V,M_i_B,Tc,BAs,-0.37057199999999996,-0.2305398359609367,0.044119413945093514
69,II-VI,M_B,Os,CdSe,-0.58324,-0.11142649189224026,0.03128837144087786
70,II-VI,M_B,Mo,CdTe,0.016602000000000002,-0.17278971981658361,0.027751769896204873
71,II-VI,M_B,Re,CdTe,-0.46622299999999994,0.1323901771397345,0.030794137670878966
72,II-VI,M_i_A,Ba,ZnSe,1.54524,1.37332365243883,0.04492518689456982
73,II-VI,M_B,Ti,CdTe,-0.16609200000000002,0.12126307119985066,0.02501326003175197
74,II-VI,M_B,Sc,CdTe,0.0014810000000000001,0.4231458164413436,0.03329148336773031
75,II-VI,M_i_A,Cl,ZnO,-0.45910500000000004,-0.4065777419367772,0.05963462543676808
76,II-VI,M_B,Ta,CdTe,-0.300721,0.20724494864218235,0.029310897284428858
77,II-VI,M_B,Ba,CdTe,1.08301,0.6251238769707329,0.04494803643761745
78,IV-IV,M_i_neut,O,GeC,-0.829643,0.10614853602020338,0.058416145552548135
79,II-VI,M_i_A,Sc,ZnS,1.8399,1.5537776530884282,0.03859436570812508
80,II-VI,M_i_neut,Ti,ZnS,1.452345,1.321502283134027,0.03473918008831812
81,IV-IV,M_B,Sb,SiC,0.025472,0.2915865061284001,0.05408392855128588
82,III-V,M_A,Hf,BAs,-0.445454,-0.015506214085951495,0.07653709373272184
83,II-VI,M_i_neut,Cs,CdS,-0.24619899999999997,0.3781565297159045,0.05678323642392583
84,IV-IV,M_i_B,C,SnC,-0.270398,0.11093207862307568,0.04780904378442026
85,IV-IV,M_B,Te,SnC,1.1541139999999999,0.20880088932668778,0.06064051002135669
86,IV-IV,M_i_B,F,GeC,-0.801856,0.1948695151210496,0.06893563166349312
87,II-VI,M_i_neut,Cs,ZnSe,-0.260784,0.211222916302305,0.06134829905489548
88,IV-IV,M_A,Pb,SnC,-0.64685,-0.3464190143706798,0.03905789229343749
89,II-VI,M_i_B,Ir,CdS,0.7508060000000001,0.5379756300334083,0.031107968240367143
90,II-VI,M_i_B,Bi,ZnSe,1.258895,0.8186004257879361,0.022593364476414756
91,II-VI,M_i_B,Mg,ZnS,2.03071,1.7815615663806248,0.04342895555552643
