,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,0.9301159999999999,1.090735424395951,0.07247233503578727
1,III-V,M_i_neut,Te,BAs,1.075617,0.9084641230939738,0.04859892777179786
2,IV-IV,M_i_B,Cd,GeC,2.240143,1.4318745286366776,0.037273150848706596
3,III-V,M_i_B,Zr,BP,1.1638549999999999,0.8673353956337351,0.040252100274650836
4,III-V,M_B,Ag,GaN,2.349557,2.247466187012706,0.08269359950406378
5,III-V,M_i_neut,Bi,BSb,0.9450350000000001,0.8336393262676625,0.032456736499052084
6,II-VI,M_B,Ca,ZnS,2.438316,2.4950572178957318,0.04695166363768592
7,II-VI,M_B,V,CdO,1.151263,1.267918730553557,0.06926537071985185
8,IV-IV,M_i_neut,S,SnC,0.7117760000000001,0.9862958019048964,0.04583366052227736
9,II-VI,M_i_neut,Zr,ZnS,2.2778,2.256701133502122,0.03546077995943482
10,IV-IV,M_i_neut,Br,SnC,0.814702,1.0244583678998205,0.07102836144600706
11,II-VI,M_i_A,Ta,ZnS,2.5628330000000004,2.0412563636070287,0.03500905859274097
12,IV-IV,M_i_neut,Cd,SnC,1.6193739999999999,1.216077950381426,0.04594085024402624
13,IV-IV,M_i_B,Mg,SnC,1.607065,1.0332054053358166,0.06177513993645916
14,III-V,M_i_B,Cs,InN,1.042062,1.4999155315965875,0.051567255150680155
15,IV-IV,M_i_neut,Re,GeC,1.1505,1.2543671126017073,0.0339683369624381
16,II-VI,M_B,Hf,CdSe,1.1213790000000001,1.326820421567236,0.040309354098044876
17,III-V,M_i_B,Ta,BP,0.8750399999999999,0.7864225423833846,0.03811686366367805
18,II-VI,M_i_A,Ta,CdO,1.616858,1.3667593853310058,0.030474456431880795
19,IV-IV,M_B,Nb,GeC,0.82511,1.1624914110241298,0.06188392922452009
20,II-VI,M_i_A,In,ZnO,2.3213779999999997,1.8779263166769304,0.028942086759423908
21,II-VI,M_A,Re,ZnO,1.744193,1.3941287065055668,0.06585479227293585
22,II-VI,M_i_A,Si,CdO,1.405908,1.0205691211417327,0.030596290631716885
23,IV-IV,M_i_A,Mo,GeC,0.991186,1.2324092765964647,0.032216973948756514
24,IV-IV,M_A,Rb,SiC,0.783644,0.9097352916600345,0.06050304800471657
25,IV-IV,M_i_A,Sn,SnC,1.738462,1.378311073499247,0.03376170512066252
26,IV-IV,M_B,Sc,SiC,1.797282,1.3219887579231355,0.07165891495007401
27,III-V,M_i_A,S,BAs,0.500512,0.5750395906469212,0.05603474533111459
28,III-V,M_B,Zr,AlP,1.313276,0.9918089354983337,0.04558538158478381
29,IV-IV,M_B,Nb,SnC,0.614056,0.9553020065413034,0.05849216165184652
30,II-VI,M_i_A,Ta,CdS,1.8872830000000003,1.6868614876298786,0.03031364889727372
31,II-VI,M_i_A,Y,ZnS,2.623325,2.4862609550840515,0.04437049936237311
32,IV-IV,M_i_B,Ir,SiC,1.185547,1.666572247204871,0.04412234824485709
33,III-V,M_i_A,Au,BP,1.286363,1.1455797704597377,0.04716043139710224
34,IV-IV,M_i_B,Ru,GeC,0.653053,1.3501463536922604,0.02472289957964404
35,IV-IV,M_i_B,Ta,SnC,1.396484,1.2602675404870147,0.04178936681056393
36,IV-IV,M_i_B,Si,SnC,1.519815,1.234132526030446,0.03921962519096197
37,II-VI,M_i_B,Ga,ZnO,2.24067,1.8308112027447734,0.031246720235261503
38,II-VI,M_B,Na,CdS,1.8988040000000002,1.8347556035985289,0.03384227370610085
39,II-VI,M_i_A,Mo,CdS,1.822316,1.5337386750477364,0.027987569118056922
