,Type,Site,Impurity,AB,(-2/-3)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,3.4609550000000002,3.379007455502088,0.02985779809321024
1,III-V,M_i_neut,Te,BAs,2.4713849999999997,2.5540217098310305,0.02187424633972897
2,IV-IV,M_i_B,Cd,GeC,3.605579,3.455308901831283,0.02326395982228955
3,III-V,M_i_B,Zr,BP,2.592478,2.6984387989777803,0.023972309011195753
4,III-V,M_B,Ag,GaN,4.436649,5.202142940963261,0.056101959549598165
5,III-V,M_i_neut,Bi,BSb,1.907068,1.9615487081217373,0.026943180105706736
6,II-VI,M_B,Ca,ZnS,4.3779900000000005,4.522569997932384,0.03624838915118147
7,II-VI,M_B,V,CdO,2.699806,2.7696281902099544,0.03874889233934451
8,IV-IV,M_i_neut,S,SnC,2.86475,2.4612763520915566,0.018578064013625824
9,II-VI,M_i_neut,Zr,ZnS,4.2242809999999995,4.346515115863434,0.02939081159463404
10,IV-IV,M_i_neut,Br,SnC,2.605436,2.681405492792276,0.022544455614818843
11,II-VI,M_i_A,Ta,ZnS,4.279407,4.278288289686145,0.031313817483641725
12,IV-IV,M_i_neut,Cd,SnC,2.634871,2.539123275381211,0.023140264568845693
13,IV-IV,M_i_B,Mg,SnC,2.5765569999999998,2.643077210308994,0.026206512351824845
14,III-V,M_i_B,Cs,InN,3.000505,2.8390037798046897,0.045333169531739284
15,IV-IV,M_i_neut,Re,GeC,3.011372,3.2115806003028338,0.026164793549241352
16,II-VI,M_B,Hf,CdSe,2.4153740000000004,2.6553146376187597,0.018238418592010433
17,III-V,M_i_B,Ta,BP,2.638146,2.6650311958090556,0.02202967395793077
18,II-VI,M_i_A,Ta,CdO,2.91908,2.4516843569827067,0.029584278593251467
19,IV-IV,M_B,Nb,GeC,3.274626,3.4616778604999054,0.03782143767241359
20,II-VI,M_i_A,In,ZnO,4.321616000000001,4.119474106217517,0.03953934192161622
21,II-VI,M_A,Re,ZnO,3.7704050000000002,4.034762144722,0.02571122137710847
22,II-VI,M_i_A,Si,CdO,1.893907,2.35155992516101,0.03189990788940925
23,IV-IV,M_i_A,Mo,GeC,3.333224,3.2294442222287345,0.029574627894199516
24,IV-IV,M_A,Rb,SiC,3.1844669999999997,3.805115334922756,0.024356399073365675
25,IV-IV,M_i_A,Sn,SnC,2.559483,2.593323168987101,0.020811344919088
26,IV-IV,M_B,Sc,SiC,3.868843,3.868946378990067,0.034896001704908614
27,III-V,M_i_A,S,BAs,2.188607,2.36157930240199,0.026119368871480766
28,III-V,M_B,Zr,AlP,2.9533490000000002,2.8389535652839135,0.022006108619976972
29,IV-IV,M_B,Nb,SnC,2.5642270000000003,2.6455662847851706,0.026981332929036594
30,II-VI,M_i_A,Ta,CdS,3.0766430000000002,3.1779479981973964,0.023563566997410388
31,II-VI,M_i_A,Y,ZnS,4.509034,4.422828929760333,0.033056259471537536
32,IV-IV,M_i_B,Ir,SiC,3.973818,3.6030166783203894,0.028049681297387642
33,III-V,M_i_A,Au,BP,2.874314,2.783740878575482,0.019725066004331854
34,IV-IV,M_i_B,Ru,GeC,3.479941,3.32068252994289,0.027553964767557868
35,IV-IV,M_i_B,Ta,SnC,2.490783,2.5757828480397493,0.030762197452697405
36,IV-IV,M_i_B,Si,SnC,2.474191,2.5750194839080205,0.017991875843765014
37,II-VI,M_i_B,Ga,ZnO,4.470591000000001,4.113713719658062,0.04390405934160168
38,II-VI,M_B,Na,CdS,3.139749,3.247835442865764,0.03459637170436343
39,II-VI,M_i_A,Mo,CdS,3.275121,3.1030339978084003,0.022902246315963635
40,II-VI,M_i_neut,Pb,ZnS,3.4923319999999998,4.2447566705157715,0.024133412191191524
41,IV-IV,M_B,I,SiC,3.801682,3.9691297961661314,0.028095907820023268
42,II-VI,M_i_neut,La,ZnSe,3.5,3.5176007447042705,0.022727637063473298
43,II-VI,M_i_A,Tc,CdO,2.695878,2.413031344153735,0.0253968355781803
44,II-VI,M_B,Zr,CdTe,2.177481,2.327947552023887,0.013478970015906658
45,II-VI,M_B,La,CdTe,2.202244,2.400556727129355,0.01652653029165207
46,II-VI,M_B,W,CdTe,2.0971040000000003,2.124620970071763,0.012641329168973356
47,IV-IV,M_i_A,Ru,SiC,3.8202309999999997,3.5844651809588655,0.027888445056765465
48,III-V,M_i_neut,Cl,BSb,2.019062,1.899347112202975,0.03250821137046443
49,II-VI,M_i_B,Al,ZnS,4.340814,4.308417382233702,0.032582202135447255
50,IV-IV,M_i_B,Al,GeC,3.4131519999999997,3.3976648844190778,0.02167767375015415
51,III-V,M_i_neut,Pt,BP,2.918965,2.7689302877374584,0.021290376950775035
52,III-V,M_i_neut,Ag,BP,2.997694,2.8157608247741694,0.022209899919307503
53,III-V,M_i_A,Ba,GaP,2.621166,2.486503055679104,0.04295285667603775
54,II-VI,M_B,Nb,CdTe,1.998906,2.24460964950885,0.015376431106170312
55,IV-IV,M_i_A,Tc,SiC,3.682026,3.5767151882996444,0.023220153749525966
56,II-VI,M_B,Y,CdTe,2.09043,2.4070570531387903,0.012212516873567432
57,III-V,M_i_B,I,AlP,3.187456,3.113789871288567,0.02704652268590326
58,II-VI,M_B,Ca,CdSe,2.695773,2.8578942770010665,0.017451686758023242
59,III-V,M_i_A,Be,GaN,4.856371,4.680495126825795,0.07735444291967233
60,III-V,M_B,I,InN,2.988259,3.2565437445351493,0.05442288648480881
61,IV-IV,M_i_A,B,SiC,3.7045879999999998,3.5792527848408184,0.029734475600982017
62,II-VI,M_B,Co,ZnS,3.7535489999999996,4.216956165382561,0.029640747657563693
63,III-V,M_i_A,W,BP,2.641248,2.6010003674797,0.021146536000833736
64,III-V,M_B,Ba,InP,2.188255,2.0615633287836097,0.036471160654980184
65,III-V,M_B,La,GaAs,1.564614,1.6489537381514068,0.03120257771331527
66,II-VI,M_B,Si,ZnS,3.9699419999999996,4.139002864969742,0.030874862972434986
67,II-VI,M_i_B,Sn,CdO,2.9045330000000003,2.551929953680502,0.031800728589996684
68,III-V,M_i_B,Tc,BAs,2.1060060000000003,2.308077802272464,0.025768186870467877
69,II-VI,M_B,Os,CdSe,2.322718,2.455889179200289,0.01814118507038379
70,II-VI,M_B,Mo,CdTe,2.114725,2.1707927140401706,0.015865484674319173
71,II-VI,M_B,Re,CdTe,2.20474,2.1978966400566926,0.014896432909264791
72,II-VI,M_i_A,Ba,ZnSe,3.680011,3.661140583096946,0.020088347764045597
73,II-VI,M_B,Ti,CdTe,2.157498,2.2997559290957916,0.013214321063927274
74,II-VI,M_B,Sc,CdTe,1.952177,2.3485923972929577,0.012662173124976455
75,II-VI,M_i_A,Cl,ZnO,3.845697,3.864710073851429,0.057544044367444584
76,II-VI,M_B,Ta,CdTe,2.098002,2.2255763521153176,0.01774553845537649
77,II-VI,M_B,Ba,CdTe,2.471447,2.5402554165921165,0.012000116286696165
78,IV-IV,M_i_neut,O,GeC,3.045044,3.1029364560204007,0.02991018773895078
79,II-VI,M_i_A,Sc,ZnS,4.446814,4.346511707108865,0.031068184453685935
80,II-VI,M_i_neut,Ti,ZnS,4.320391000000001,4.290621862966648,0.028411253585752524
81,IV-IV,M_B,Sb,SiC,3.979089,3.829798968909779,0.028221537744889044
82,III-V,M_A,Hf,BAs,2.588606,2.5371562633981792,0.0323252473508447
83,II-VI,M_i_neut,Cs,CdS,3.452809,3.3643113229694253,0.036651212799389654
84,IV-IV,M_i_B,C,SnC,2.589931,2.3571870863503106,0.019797632590005186
85,IV-IV,M_B,Te,SnC,2.68933,2.767360032465806,0.026097669736060227
86,IV-IV,M_i_B,F,GeC,3.4688879999999997,3.2465699556036656,0.06252305950641504
87,II-VI,M_i_neut,Cs,ZnSe,3.283547,3.529133014298889,0.038774100260531935
88,IV-IV,M_A,Pb,SnC,2.524943,2.3962197106115157,0.030264897286375363
89,II-VI,M_i_B,Ir,CdS,2.814996,3.1601959811646125,0.019121134788464392
90,II-VI,M_i_B,Bi,ZnSe,3.141839,3.361801102211243,0.01847389951075231
91,II-VI,M_i_B,Mg,ZnS,4.560525,4.405352427931928,0.03159833386816605
92,II-VI,M_B,Sr,CdTe,2.396041,2.5847870143745917,0.01450259841395038
93,II-VI,M_i_neut,Na,ZnO,4.183408,4.059790747929498,0.04340797571757183
94,IV-IV,M_i_neut,Zn,SiC,3.73717,3.687805073571927,0.02835812755986511
95,IV-IV,M_i_B,Al,SiC,3.668305,3.709295654111826,0.027405625385846535
96,II-VI,M_B,I,ZnO,4.423181,4.323948281283823,0.054161114281487795
97,IV-IV,M_A,Rh,GeC,2.943355,3.166560818803897,0.02583965649805615
98,II-VI,M_B,Ca,CdTe,2.277767,2.538632752891165,0.015463916555654888
99,II-VI,M_i_neut,Ir,ZnS,4.1869,4.147475754728567,0.02885964461491134
100,IV-IV,M_i_B,C,SiGe,1.217235,1.1925079479899512,0.020483314638896268
101,IV-IV,M_B,Re,SnC,2.517011,2.5172280051925693,0.029777125889959934
102,III-V,M_i_B,C,AlAs,2.7,2.3857614027641794,0.02701293256608448
103,III-V,M_A,Te,BP,2.707594,3.0505884206200484,0.026797364831573328
104,II-VI,M_i_B,C,CdTe,2.317307,2.0672489547944926,0.018816456872381652
105,III-V,M_i_neut,Pb,AlP,3.01114,2.9981346786188245,0.027519930981837467
106,IV-IV,M_B,Li,GeC,2.55306,3.325550727398381,0.05037545545344531
107,II-VI,M_i_B,Y,CdO,2.769374,2.6874407300300915,0.0248227120270198
108,II-VI,M_i_A,C,CdTe,1.92534,2.063060608820106,0.01901010797934507
109,II-VI,M_i_A,W,CdTe,2.3400830000000004,2.2915089481598083,0.015012473872863499
110,IV-IV,M_A,As,SnC,2.403295,2.3296680856891423,0.02817053380959522
111,III-V,M_i_B,Pb,GaP,2.723523,2.6352705128004255,0.03942264487531557
112,IV-IV,M_i_neut,W,SnC,2.328823,2.30407696987717,0.02997102313260314
113,II-VI,M_i_A,C,ZnTe,1.780857,2.3437414403537113,0.028963951312668237
114,II-VI,M_i_neut,W,ZnTe,2.5761950000000002,2.5910380513233493,0.03202740582195015
115,II-VI,M_i_neut,In,CdO,2.706236,2.5808450887045304,0.024596568364995852
116,II-VI,M_i_B,Sb,CdTe,2.107519,2.3626544575041444,0.012492390497359339
117,II-VI,M_i_A,Re,CdTe,2.377885,2.3705726816707084,0.017903537792148337
118,II-VI,M_B,Os,CdTe,2.09305,2.120379216655437,0.013835986734431715
119,II-VI,M_i_neut,C,CdTe,2.4444169999999996,2.063271314733586,0.017687269890386423
120,IV-IV,M_B,Bi,GeC,3.7220089999999995,3.5312187733040843,0.03227171026861287
121,II-VI,M_i_B,Re,CdTe,2.254604,2.3935914122043016,0.01976240252204769
122,II-VI,M_B,Ru,CdTe,2.091637,2.1776110040994667,0.011783141356875566
123,II-VI,M_A,O,CdS,2.719215,2.8114930969718706,0.029694388945500024
124,II-VI,M_i_A,Al,CdS,3.3759330000000003,3.220916222716741,0.02540329904059122
125,II-VI,M_A,Ru,CdO,2.44188,2.387623776618362,0.026592233945239258
126,II-VI,M_i_A,Pb,CdO,2.776866,2.453244356751668,0.025406254575223105
127,II-VI,M_B,Tc,CdTe,2.210972,2.204732439130037,0.018170975349399363
128,II-VI,M_B,V,CdTe,2.033583,2.254087502725429,0.014615556323827305
129,II-VI,M_B,Rh,CdTe,2.127071,2.1585525647939976,0.011960830814334163
130,II-VI,M_i_B,Zr,CdTe,2.446561,2.472632381537493,0.013715230308755448
131,II-VI,M_i_B,W,CdTe,2.441653,2.316365580160349,0.015719516821988633
132,IV-IV,M_i_neut,Sr,Si,1.7061080000000002,1.8839444138633383,0.024692445345224075
133,II-VI,M_i_A,Be,CdS,3.34164,3.162007847853409,0.02811906225435953
