,Type,Site,Impurity,AB,∆H (A-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.577776,8.745987457421545,0.3469389565307197
1,IV-IV,M_A,Mo,C,12.708806,11.897985052273235,0.24176416104591816
2,II-VI,M_i_B,Cs,ZnS,8.308364,5.833742626639926,0.17139393793354094
3,IV-IV,M_i_neut,Br,SnC,10.518963000000001,7.772696020899272,0.46738469212848266
4,II-VI,M_i_A,Ta,ZnS,6.488747,7.119727975379701,0.13546225708657375
5,IV-IV,M_i_neut,Cd,SnC,6.920514999999999,5.555168308129531,0.43241483527998614
6,IV-IV,M_i_B,Mg,SnC,5.3963339999999995,5.547554451581581,0.40235781084850136
7,III-V,M_i_B,Cs,InN,9.811475999999999,6.759427160724362,0.3192652919486939
8,IV-IV,M_i_neut,Re,GeC,9.813891,9.478039312073705,0.2887850949679683
9,II-VI,M_B,Hf,CdSe,7.043147,7.5820264988621675,0.13174619144090405
10,III-V,M_i_B,Ta,BP,10.966892999999999,9.294458122008102,0.28432165535907983
11,II-VI,M_i_A,Ta,CdO,5.72641,5.17460785764233,0.14185967244745087
12,IV-IV,M_B,Nb,GeC,10.679317,8.069382524187711,0.5161634965656846
13,II-VI,M_i_A,In,ZnO,5.895155,5.091120101127236,0.1692163225520152
14,II-VI,M_A,Re,ZnO,5.364132,4.360198903419444,0.25576836493164257
15,II-VI,M_i_A,Si,CdO,6.566549,3.804689194234162,0.15707913168238366
16,IV-IV,M_i_A,Mo,GeC,9.410975,9.308716634148897,0.2579762218218139
17,IV-IV,M_A,Rb,SiC,10.951310000000001,7.415191681479913,0.3095052478226452
18,IV-IV,M_i_A,Sn,SnC,10.420217,7.522846572997085,0.36140199558412933
19,IV-IV,M_B,Sc,SiC,10.402317,7.093081211515228,0.3115645167214763
20,III-V,M_i_A,S,BAs,10.397483,8.360089783231121,0.39347006441835763
21,IV-IV,M_B,Nb,SnC,10.668663,6.777897810927223,0.3571661076688957
22,II-VI,M_i_A,Ta,CdS,6.769986,6.0300821033765954,0.06417459342894209
23,II-VI,M_i_A,Y,ZnS,6.979432000000001,5.684011840551116,0.11039320654368702
24,II-VI,M_i_A,Rb,ZnO,7.095055,6.398996073444389,0.18791151066941844
25,IV-IV,M_i_B,Ir,SiC,10.322714,7.557132496252953,0.1860667192075993
26,III-V,M_i_A,Au,BP,9.493186999999999,7.00690737781702,0.3146382062422096
27,IV-IV,M_i_B,Ru,GeC,8.537181,8.674377108052314,0.19466047722590726
28,IV-IV,M_i_B,Ta,SnC,9.179994,7.840632262287194,0.4671312093992961
