,Type,Site,Impurity,AB,∆H (B-rich)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,12.764068,9.878450900087314,0.2917515713752634
1,IV-IV,M_A,Mo,C,12.712819999999999,12.266906113453498,0.3324947598384822
2,II-VI,M_i_B,Cs,ZnS,11.702283999999999,8.310886955559322,0.21623726198802032
3,IV-IV,M_i_neut,Br,SnC,11.272828,9.949098216213297,0.38472004481516586
4,II-VI,M_i_A,Ta,ZnS,11.241427,8.74824888293236,0.1741924529372506
5,IV-IV,M_i_neut,Cd,SnC,11.191706,8.96160681100757,0.3633632170056715
6,IV-IV,M_i_B,Mg,SnC,11.09989,8.602107683270427,0.4109433901881121
7,III-V,M_i_B,Cs,InN,11.059476,6.7281263599700365,0.4970436345927137
8,IV-IV,M_i_neut,Re,GeC,10.882144,8.8040702310022,0.2730059655608623
9,II-VI,M_B,Hf,CdSe,10.881694,8.902227453460657,0.17719677260286215
10,III-V,M_i_B,Ta,BP,10.878893,9.743258429875606,0.4002197424884752
11,II-VI,M_i_A,Ta,CdO,10.819442,9.825516687509136,0.1998791727239313
12,IV-IV,M_B,Nb,GeC,10.790317,7.254407545657304,0.3010422159080525
13,II-VI,M_i_A,In,ZnO,10.782092,7.9821551491005325,0.22347483646522143
14,II-VI,M_A,Re,ZnO,10.746174,7.667960518827419,0.2291655223282748
15,II-VI,M_i_A,Si,CdO,10.640975,6.226794251775876,0.15621899065702421
16,IV-IV,M_i_A,Mo,GeC,10.489142999999999,9.43995974495741,0.23820988980127797
17,IV-IV,M_A,Rb,SiC,10.487853,8.054953366953573,0.3885919134313322
18,IV-IV,M_i_A,Sn,SnC,10.420217,9.975180505307321,0.25716758264638784
19,IV-IV,M_B,Sc,SiC,10.402317,5.603277738964421,0.34967212339911047
20,III-V,M_i_A,S,BAs,10.348061999999999,7.1366998255322445,0.3890290340020976
21,IV-IV,M_B,Nb,SnC,10.149663,7.734054778788232,0.44855436655877173
22,II-VI,M_i_A,Ta,CdS,10.113273,7.822019735676825,0.09467333502179139
23,II-VI,M_i_A,Y,ZnS,9.988192,9.55464567724621,0.22771817487753213
24,II-VI,M_i_A,Rb,ZnO,9.912034,8.86228161872051,0.219298961284918
25,IV-IV,M_i_B,Ir,SiC,9.905256,8.015924873472807,0.22240005968566617
26,III-V,M_i_A,Au,BP,9.770686999999999,7.243292643158959,0.340058576182801
27,IV-IV,M_i_B,Ru,GeC,9.654933,8.938390321738297,0.20905801395527135
28,IV-IV,M_i_B,Ta,SnC,9.585724,9.17493290378818,0.28491034605294896
29,IV-IV,M_i_B,Si,SnC,9.557761,8.92107446780433,0.2613934752743328
30,III-V,M_i_neut,Cd,GaN,9.391380999999999,7.54629121127377,0.36217427899824817
31,II-VI,M_B,Na,CdS,9.34619,5.376297535128612,0.16512594214327336
32,II-VI,M_i_A,Mo,CdS,9.266751,7.1649307944253895,0.06575831040391064
33,II-VI,M_i_neut,Pb,ZnS,9.22534,6.940046813299006,0.1515810009484503
34,IV-IV,M_B,I,SiC,9.200933000000001,7.276025898588901,0.31171792741668325
35,II-VI,M_i_neut,La,ZnSe,9.193508999999999,8.167331189656451,0.1843880274155291
36,II-VI,M_B,Zr,CdTe,8.923,7.538637254433323,0.10068048607305324
37,II-VI,M_B,La,CdTe,8.913,8.084476677865828,0.2942043388942924
38,II-VI,M_B,W,CdTe,8.891,8.089373139483252,0.13392126342064534
39,IV-IV,M_i_A,Ru,SiC,8.849056,7.8024912061300515,0.17595087783971883
40,III-V,M_i_neut,Cl,BSb,8.706022,4.574228237054823,0.6285164624310016
41,II-VI,M_i_B,Al,ZnS,8.683907000000001,6.48967092383147,0.14360771289458327
42,IV-IV,M_i_B,Al,GeC,8.644658,7.988536506324766,0.21820138983585213
