SC_type,AB_compound,Def_site,Impuirty_atom,dH-B NN,dH-B Error,dH-B DFT,dH-A NN,dH-A Error,dH-A DFT
II-VI,CdO,M_A,B,3.3649083077907562,0.8263631939839358,2.902591999999999,2.4077189207077025,0.574067712874172,1.8839850000000002
II-VI,CdO,M_A,Ir,3.9592131614685058,1.1782681148382717,5.560460000000004,3.779281860589981,0.6813717198363728,3.593672999999998
II-VI,CdO,M_A,Rb,2.624990752339363,0.5120020746694229,2.3473,1.7776663064956666,0.31732250577109616,2.1779060000000015
II-VI,CdO,M_A,Rh,4.708737301826477,0.7752239588114793,4.607460000000002,2.932451903820038,0.4090947218370709,2.9156729999999986
II-VI,CdO,M_A,Ru,5.456746071577072,0.6152732180012335,6.552051000000004,3.3776886641979216,0.32993273230784526,2.9038379999999973
II-VI,CdO,M_i_A,Cd,4.396703040599823,0.4219215371423189,3.7502979999999986,2.4448737472295763,0.3173781798062704,1.7130849999999995
II-VI,CdO,M_i_A,Ni,4.86106316447258,0.568799816612161,2.520131000000002,2.5521622002124786,0.4280019090311495,0.6777979999999995
II-VI,CdO,M_i_A,O,3.603857237100601,0.41517416889711906,2.4699150000000003,4.70597453713417,0.4797275593601212,4.507127999999997
II-VI,CdO,M_i_A,Pb,5.857577753067017,0.698515345866782,6.543630000000005,3.809331750869751,0.6416940766662586,3.5344170000000013
II-VI,CdO,M_i_A,Si,8.559256947040558,0.5911245350084533,10.640975000000008,6.350271832942963,0.6045911802279434,6.566549000000004
II-VI,CdO,M_i_A,Ta,9.17647362947464,0.6553215051821691,10.819441999999993,6.590381324291229,0.6512495132267087,5.726409999999995
II-VI,CdO,M_i_B,Br,5.612829732894897,0.8219648355204897,4.8434800000000005,5.669754272699356,0.678398669224375,5.645980000000007
II-VI,CdO,M_i_B,Cd,3.992523205280304,0.560185107268154,3.397850000000002,2.148513412475586,0.3901282582288329,1.360636999999999
II-VI,CdO,M_i_B,Mg,4.802155101299286,0.5355670810162615,3.4876200000000024,2.3916372627019884,0.37389769888007846,1.450406999999999
II-VI,CdO,M_i_B,O,3.6543351769447328,0.4114333091383467,2.7673049999999972,4.769742470979691,0.4587823264090631,4.804518000000001
II-VI,CdO,M_i_B,Sr,5.920933997631073,0.8990292500998937,5.810500999999996,3.4067573308944703,0.7273176529610249,3.334288
II-VI,CdO,M_i_B,Y,7.355867481231689,0.7583228428455111,6.8948859999999925,4.387351781129837,0.6340055202678875,3.839067
II-VI,CdO,M_i_neut,Cd,4.5056974470615385,0.47361166641468005,4.357015,2.5580225437879562,0.34326290852839664,2.3198019999999997
II-VI,CdO,M_i_neut,Co,5.285771238803863,0.5835461525311029,5.443811000000003,2.821455618739128,0.43107452488258624,2.6465979999999982
II-VI,CdO,M_i_neut,In,6.04582690000534,0.6476628263280109,6.683149000000007,3.7166278958320618,0.5567291470901661,3.6273290000000022
II-VI,CdO,M_i_neut,K,4.976426750421524,0.7238673807927359,4.908647000000001,2.9913006842136385,0.547763070458331,2.8355410000000023
II-VI,CdO,M_i_neut,O,3.6784657657146456,0.45801033607333447,3.1729809999999965,4.767611330747604,0.4882133674717509,5.210194
II-VI,CdS,M_A,Ag,1.527937150001526,0.24596369751678443,1.0028508589999994,1.9977329939603805,0.3157844868963023,2.575827785000001
II-VI,CdS,M_A,Al,1.1542147040367126,0.2139272054343158,0.9522673809999993,1.251753208041191,0.23565496753886256,0.3102673809999998
II-VI,CdS,M_A,As,2.4353838205337524,0.3010710835102563,1.8859019039999994,3.3740452885627747,0.31710291787544825,3.4071642140000016
II-VI,CdS,M_A,Au,1.9727972805500031,0.32214075612130016,1.366432134,2.7272103995084764,0.4223731122629151,3.6741432299999994
II-VI,CdS,M_A,B,2.707895588874817,0.4020436287899089,2.39316092,2.935094928741455,0.39602455278746146,2.536752777999998
II-VI,CdS,M_A,Ba,1.2722337931394576,0.3627253484392138,1.1481500570000003,1.0137864530086518,0.2463646848195788,1.0604549179999985
II-VI,CdS,M_A,Be,1.121287649869919,0.26153738711764685,0.6611612679999997,0.8408421456813813,0.18210861738923245,0.6414458180000009
II-VI,CdS,M_A,Bi,1.2248870581388474,0.39474539658707103,1.6054823489999994,2.042298811674118,0.4898469259504752,2.0329430000000017
II-VI,CdS,M_A,Br,3.965674859285355,0.24443394356590367,3.7742358069999975,5.567110753059387,0.23650766001841786,5.7282358070000035
II-VI,CdS,M_A,C,5.941824626922608,0.6013355919934191,5.252476220000004,6.897734761238098,0.49805165698977016,6.557476220000005
II-VI,CdS,M_A,Ca,1.3620428562164306,0.3347360809187474,0.7082848480000008,0.8961405634880066,0.19402623267321414,0.7152848479999997
II-VI,CdS,M_A,Cd,0.5140486950054765,0.1641864836399032,-0.0004769519999996419,0.6593501746654511,0.17182685143153992,-0.00030766499999979047
II-VI,CdS,M_A,Cl,4.140536803007126,0.23272222980288035,4.105379922999997,5.770494055747986,0.2405120182244035,6.059379922999996
II-VI,CdS,M_A,Co,2.329759472608566,0.4318619641389143,4.874438222000002,2.2249063551425934,0.3667448591001709,4.4153270710000045
II-VI,CdS,M_A,Cr,1.9527636557817458,0.3614528967458542,1.8422318479999986,1.6089568465948105,0.21160824170444476,1.238625026000001
II-VI,CdS,M_A,Cs,2.268534004688263,0.4257403304468281,2.531377698,2.092760279774666,0.37088561266260245,2.610320324
II-VI,CdS,M_A,Cu,1.7433572381734848,0.2808818168834055,1.225194342000001,2.187079831957817,0.33141641154833434,2.5408399789999985
II-VI,CdS,M_A,F,4.251269745826721,0.28799960430771665,4.9522202779999995,6.058305883407593,0.3642901707941776,6.906220278000002
II-VI,CdS,M_A,Fe,1.9907281219959259,0.4319085839314775,1.6877801320000008,1.67925705909729,0.24558230307156778,1.202317053000001
II-VI,CdS,M_A,Ga,1.1221793293952942,0.27180766763243147,0.9962132750000017,1.1191184610128402,0.2483114854462324,0.6487075180000008
II-VI,CdS,M_A,Ge,1.7362960219383239,0.3390103393131676,1.258351544999999,1.9359775811433793,0.31269380450379664,1.428607452000001
II-VI,CdS,M_A,Hf,1.4223289877176284,0.37745363179236224,0.6937189599999993,1.527026617527008,0.32951043110782086,-0.015133285000000107
II-VI,CdS,M_A,Hg,0.6537106778472662,0.24932942558977042,0.15432789800000002,1.183005291223526,0.34220808404374065,1.5547540299999985
II-VI,CdS,M_A,I,3.4633877694606783,0.20101184619269158,3.443715748000001,5.003572428226471,0.24903723509403455,5.397715747999998
II-VI,CdS,M_A,In,0.9278870046138763,0.21354601876330956,1.7214189999999991,1.0625958263874054,0.19438139393105547,1.0708479999999987
II-VI,CdS,M_A,Ir,2.678305596113205,0.40040735905269287,2.741411960999998,3.5810001611709597,0.45811932033681474,3.4117749880000012
II-VI,CdS,M_A,K,2.249985766410828,0.294734225719615,1.9507282900000003,2.0234435558319093,0.2646273871262697,2.137086994
II-VI,CdS,M_A,La,1.5921065360307693,0.321285118587315,2.252366529,1.3668151110410691,0.2380367084057473,1.499023235000001
II-VI,CdS,M_A,Li,1.4250805228948593,0.4072743703447436,1.001579749000001,1.4646937251091003,0.4152796478683031,1.657579749
II-VI,CdS,M_A,Mg,0.5209450041875243,0.2090415865456148,0.13983979799999968,0.2590292260050774,0.14195351933369932,0.14683979799999994
II-VI,CdS,M_A,Mn,1.019508385658264,0.20600334416087793,0.7327627069999993,0.8022656917572022,0.14607046052152145,0.33081578300000025
II-VI,CdS,M_A,Mo,4.031965643167496,0.5386877993758431,4.3019174369999975,3.4733916878700257,0.27635059178648136,3.0749728950000015
II-VI,CdS,M_A,N,4.197561174631119,0.26720804449766844,5.165079077999997,5.788722264766693,0.28304356491137656,6.686412410999997
II-VI,CdS,M_A,Na,1.9756642967462539,0.3525955119733841,3.1403768870000013,1.962084811925888,0.32844315170292704,3.647124449000001
II-VI,CdS,M_A,Nb,3.661900156736374,0.5458891178306948,3.1224447520000034,2.7884742259979247,0.2734679845082784,2.2228729309999986
II-VI,CdS,M_A,Ni,2.2380827724933625,0.36344793295264866,1.7075470709999998,2.3200064301490784,0.3404570845531516,2.379789349000002
II-VI,CdS,M_A,Os,3.162933111190796,0.4101935429765072,3.059257310000003,4.088893240690231,0.45538205981035185,4.36425731
II-VI,CdS,M_A,P,2.905505418777466,0.26815913968626853,2.8972090289999985,4.190965032577514,0.28539190536882375,3.919144283999999
II-VI,CdS,M_A,Pb,1.194529390335083,0.3479136553168453,0.7587938879999997,1.8809770196676254,0.4378197196795374,0.8494828900000003
