SC_type,AB_compound,Def_site,Impuirty_atom,0/-1 NN,0/-1 Error,0/-1 DFT,-2/-3 NN,-2/-3 Error,-2/-3 DFT,-1/-2 NN,-1/-2 Error,-1/-2 DFT,+3/+2 NN,+3/+2 Error,+3/+2 DFT,+2/+1 NN,+2/+1 Error,+2/+1 DFT,+1/0 NN,+1/0 Error,+1/0 DFT
II-VI,CdO,M_A,B,1.0976827904582023,0.10454790754370051,0.9809279999999994,2.2798178434371947,0.06742650044595401,2.206705,1.7805290967226028,0.07261915061885678,1.8339670000000008,-0.9537956103682518,0.07168995555661728,-1.2250140000000012,-0.6410146251320838,0.07982863139535726,-0.8424060000000001,0.17031106213107705,0.12911934660413657,0.2935759999999999
II-VI,CdO,M_A,Ir,1.4372651040554048,0.08386229891134347,1.3813329999999995,2.2915361523628235,0.05765184998196811,2.5117340000000006,1.854165494441986,0.07432266956978169,1.9678260000000012,-0.20583364667836576,0.09323049814221528,-0.21199700000000013,0.37377797029912474,0.06913349002053806,0.39258899999999963,0.9793321371078492,0.08364261095208496,0.942922
II-VI,CdO,M_A,Rb,0.6340801976621151,0.165466797658604,0.2914919999999999,2.1950945794582366,0.10912044252104927,2.171751999999999,1.5943758815526963,0.11851801335836813,1.4829700000000012,-0.7919857949018478,0.07187489109317964,-0.8726879999999998,-0.4772373251616955,0.07533666573398032,-0.485649,-0.19561068154871464,0.1493606901104463,-0.09638299999999991
II-VI,CdO,M_A,Rh,1.215658301115036,0.0782031462540504,1.0717870000000003,2.276054894924164,0.05287240415045814,2.4414050000000023,1.7511590451002121,0.08482905515084774,1.692304,-0.5113087356090545,0.09884419008004675,-0.37815100000000035,-0.03170382874086499,0.11986179778869961,0.19163300000000016,0.6340790897607803,0.09103598069495729,0.6896330000000004
II-VI,CdO,M_A,Ru,1.3963142544031144,0.09742869004191786,0.9102339999999997,2.27392618060112,0.05757983603590597,2.4418799999999985,1.832685622572899,0.08964099934011564,2.0777700000000006,-0.20733232479542493,0.10878181935177365,-0.09692100000000002,0.3513630986213684,0.08747910189304321,0.2745429999999997,0.9725871294736862,0.09835486198893843,1.467675
II-VI,CdO,M_B,Cd,1.8623858451843263,0.0820179352670713,1.9399999999999988,2.707331067323685,0.09005846505876025,2.8100000000000014,2.3254807770252226,0.08106973635285827,2.3299999999999987,-0.4667630471289158,0.08690015667195633,-0.5799999999999994,0.4362665419001132,0.16640577830647618,0.6099999999999997,1.223037986457348,0.11024862431764262,1.2199999999999993
II-VI,CdO,M_B,Sc,1.9045914471149445,0.07389327592364334,1.9500000000000015,2.6612915217876436,0.10820094625293374,2.7199999999999993,2.308870482444763,0.09187694529937107,2.27,0.45254612937569616,0.1088694132542208,0.41999999999999993,0.946682120859623,0.08937028112387914,1.0399999999999994,1.4240433305501938,0.07698599203545504,1.3100000000000007
II-VI,CdO,M_B,V,1.8326446384191513,0.07706581476094561,1.7225940000000004,2.668126475811005,0.0871143741385549,2.6998059999999984,2.275657081604004,0.09639997033440363,2.192387999999999,-0.08660516503732651,0.09164797512474329,-0.16153800000000013,0.6109532438218593,0.08733404018832569,0.5828179999999997,1.3248960316181182,0.07370506619410282,1.151263
II-VI,CdO,M_i_A,Cd,1.8147194057703018,0.05204140011123896,1.85,2.688201355934143,0.05531062296314137,2.6299999999999986,2.2670576333999635,0.04935951299381447,2.2600000000000007,-0.7228406712412834,0.045195891104107835,-0.6799999999999998,0.4413810081779957,0.07925033137088325,0.3599999999999998,1.1184713572263718,0.06801983616887645,1.0
II-VI,CdO,M_i_A,Ni,1.6454591244459151,0.059548071219082635,1.5128890000000008,2.576691895723343,0.059469315257170245,2.491557,2.157947027683258,0.06259129052198138,2.1183209999999995,-0.7132688373327255,0.049977545900528844,-0.8431159999999995,-0.051065654697595164,0.0701405511242541,0.2509040000000002,0.8821051776409149,0.06353910059037003,0.920568
