Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,0.350429798,0.091641388
II-VI,CdO,M_A,Na,0,0.4274941,0.107269181
II-VI,CdO,M_A,K,0,0.748539076,0.183915314
II-VI,CdO,M_A,Rb,0,0.762811441,0.19605277
II-VI,CdO,M_A,Cs,0,0.803156265,0.176568259
II-VI,CdO,M_A,Be,0,0.479636864,0.083439381
II-VI,CdO,M_A,Mg,0,0.567392418,0.070467392
II-VI,CdO,M_A,Ca,0,0.58607856,0.095805498
II-VI,CdO,M_A,Sr,0,0.593557626,0.097045567
II-VI,CdO,M_A,Ba,0,0.608150282,0.108585674
II-VI,CdO,M_A,B,0,0.791634169,0.153814355
II-VI,CdO,M_A,Al,0,0.878827884,0.137135943
II-VI,CdO,M_A,Ga,0,0.897157208,0.11956508
II-VI,CdO,M_A,In,0,0.961406054,0.11756978
II-VI,CdO,M_A,Tl,0,0.944281186,0.081249313
II-VI,CdO,M_A,C,0,0.721807042,0.114470499
II-VI,CdO,M_A,Si,0,0.850427299,0.107963477
II-VI,CdO,M_A,Ge,0,0.874933221,0.113632116
II-VI,CdO,M_A,Sn,0,0.940249405,0.102783382
II-VI,CdO,M_A,Pb,0,0.488594508,0.101165853
II-VI,CdO,M_A,N,0,0.681077091,0.137156731
II-VI,CdO,M_A,P,0,0.804504022,0.114676812
II-VI,CdO,M_A,As,0,0.85362218,0.109392131
II-VI,CdO,M_A,Sb,0,0.922109696,0.098657528
II-VI,CdO,M_A,Bi,0,0.987169825,0.071036609
II-VI,CdO,M_A,O,0,0.695602089,0.076140688
II-VI,CdO,M_A,S,0,0.709518604,0.108121856
II-VI,CdO,M_A,Se,0,0.753148072,0.117702888
II-VI,CdO,M_A,Te,0,0.905670356,0.09451774
II-VI,CdO,M_A,F,0,0.285626086,0.058280594
II-VI,CdO,M_A,Cl,0,0.693654571,0.118134126
II-VI,CdO,M_A,Br,0,0.684383103,0.146282206
II-VI,CdO,M_A,I,0,0.773797266,0.124815246
II-VI,CdO,M_A,Sc,0,0.945617155,0.09174535
II-VI,CdO,M_A,Ti,0,0.951512929,0.092381108
II-VI,CdO,M_A,V,0,0.934527037,0.10911799
II-VI,CdO,M_A,Cr,0,0.871237294,0.125437549
II-VI,CdO,M_A,Mn,0,0.932371185,0.095106628
II-VI,CdO,M_A,Fe,0,0.903733045,0.106387376
II-VI,CdO,M_A,Co,0,0.442995989,0.07145812
II-VI,CdO,M_A,Ni,0,0.432346338,0.072062831
II-VI,CdO,M_A,Cu,0,0.437407318,0.075357817
II-VI,CdO,M_A,Zn,0,0.46027934,0.065311686
II-VI,CdO,M_A,Y,0,0.973544082,0.091015037
II-VI,CdO,M_A,Zr,0,0.993285503,0.106567821
II-VI,CdO,M_A,Nb,0,0.966999352,0.084693412
II-VI,CdO,M_A,Mo,0,0.959126012,0.095953754
II-VI,CdO,M_A,Tc,0,0.982692407,0.098843002
II-VI,CdO,M_A,Ru,0,0.927288053,0.122792621
II-VI,CdO,M_A,Rh,0,0.851020023,0.098971353
II-VI,CdO,M_A,Pd,0,0.459319885,0.072417171
II-VI,CdO,M_A,Ag,0,0.879321783,0.105651264
II-VI,CdO,M_A,Cd,0,0.484851434,0.064943898
II-VI,CdO,M_A,La,0,0.966573457,0.111409179
II-VI,CdO,M_A,Hf,0,1.039261115,0.072211528
II-VI,CdO,M_A,Ta,0,1.022093608,0.090842362
II-VI,CdO,M_A,W,0,0.9183698,0.089150618
II-VI,CdO,M_A,Re,0,1.049587962,0.084000639
II-VI,CdO,M_A,Os,0,0.985017196,0.085178911
II-VI,CdO,M_A,Ir,0,0.939835133,0.077089769
II-VI,CdO,M_A,Pt,0,0.913645203,0.070801904
II-VI,CdO,M_A,Au,0,0.890793906,0.088683868
II-VI,CdO,M_A,Hg,0,0.480129893,0.065797418
II-VI,CdO,M_A,Ce,0,0.960289477,0.107960894
II-VI,CdO,M_A,Pr,0,0.974301418,0.104855147
II-VI,CdO,M_A,Nd,0,0.987398742,0.090922833
II-VI,CdO,M_A,Pm,0,0.969063439,0.102246678
II-VI,CdO,M_A,Sm,0,0.959728735,0.096761159
II-VI,CdO,M_A,Eu,0,0.985062688,0.087624416
II-VI,CdO,M_A,Gd,0,0.987542779,0.096905148
II-VI,CdO,M_A,Tb,0,1.005539594,0.098095414
II-VI,CdO,M_A,Dy,0,1.012474365,0.089677516
II-VI,CdO,M_A,Ho,0,1.017036566,0.076154638
II-VI,CdO,M_A,Er,0,1.020549679,0.080635961
II-VI,CdO,M_A,Tm,0,1.026979886,0.083906436
II-VI,CdO,M_A,Yb,0,1.021258494,0.069360874
II-VI,CdO,M_A,Lu,0,1.040625595,0.089612083
II-VI,CdO,M_B,Li,0,0.713569896,0.114996001
II-VI,CdO,M_B,Na,0,0.743879761,0.085335018
II-VI,CdO,M_B,K,0,0.771994538,0.094352389
II-VI,CdO,M_B,Rb,0,0.829928503,0.12276692
II-VI,CdO,M_B,Cs,0,0.854271353,0.123413593
II-VI,CdO,M_B,Be,0,0.756908148,0.084160351
II-VI,CdO,M_B,Mg,0,0.779445396,0.084089455
II-VI,CdO,M_B,Ca,0,0.799058479,0.081325264
II-VI,CdO,M_B,Sr,0,0.856832284,0.120354658
II-VI,CdO,M_B,Ba,0,0.876188501,0.118129032
II-VI,CdO,M_B,B,0,0.726553876,0.087768348
II-VI,CdO,M_B,Al,0,0.73082705,0.077258559
II-VI,CdO,M_B,Ga,0,0.791744229,0.087210968
II-VI,CdO,M_B,In,0,0.871516021,0.11030487
II-VI,CdO,M_B,Tl,0,0.883102084,0.110988366
II-VI,CdO,M_B,C,0,0.704226681,0.073578158
II-VI,CdO,M_B,Si,0,0.722642482,0.06895788
II-VI,CdO,M_B,Ge,0,0.773298445,0.08914001
II-VI,CdO,M_B,Sn,0,0.882762709,0.090216603
II-VI,CdO,M_B,Pb,0,0.855543681,0.105580751
II-VI,CdO,M_B,N,0,0.675297141,0.071587412
II-VI,CdO,M_B,P,0,1.000634749,0.099701237
II-VI,CdO,M_B,As,0,0.77001864,0.086132728
II-VI,CdO,M_B,Sb,0,0.858377155,0.106108992
II-VI,CdO,M_B,Bi,0,0.863582861,0.113539176
II-VI,CdO,M_B,O,0,0.857931066,0.094295239
II-VI,CdO,M_B,S,0,0.997716319,0.099260654
II-VI,CdO,M_B,Se,0,0.813594582,0.089437492
II-VI,CdO,M_B,Te,0,0.860805438,0.084112567
II-VI,CdO,M_B,F,0,0.774550501,0.103166335
II-VI,CdO,M_B,Cl,0,0.61532974,0.095785439
