Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,-0.793320705,0.043804192
II-VI,CdO,M_A,Na,0,-0.76008921,0.038463246
II-VI,CdO,M_A,K,0,-0.734941432,0.033093543
II-VI,CdO,M_A,Rb,0,-0.75968367,0.040000774
II-VI,CdO,M_A,Cs,0,-0.735479571,0.071134919
II-VI,CdO,M_A,Be,0,-0.844518705,0.08418047
II-VI,CdO,M_A,Mg,0,-0.721538581,0.031231773
II-VI,CdO,M_A,Ca,0,-0.726557965,0.047103516
II-VI,CdO,M_A,Sr,0,-0.737092547,0.041994828
II-VI,CdO,M_A,Ba,0,-0.755697084,0.041774357
II-VI,CdO,M_A,B,0,-0.926559555,0.087168468
II-VI,CdO,M_A,Al,0,-0.749494348,0.059133831
II-VI,CdO,M_A,Ga,0,-0.764647291,0.064494927
II-VI,CdO,M_A,In,0,-0.776088062,0.060660215
II-VI,CdO,M_A,Tl,0,-0.786811148,0.072715629
II-VI,CdO,M_A,C,0,-0.851965496,0.041211567
II-VI,CdO,M_A,Si,0,-0.65566148,0.03861262
II-VI,CdO,M_A,Ge,0,-0.663958961,0.047490483
II-VI,CdO,M_A,Sn,0,-0.749433188,0.061551083
II-VI,CdO,M_A,Pb,0,-0.774815477,0.061100538
II-VI,CdO,M_A,N,0,-0.88422971,0.043110039
II-VI,CdO,M_A,P,0,-0.713397579,0.049199092
II-VI,CdO,M_A,As,0,-0.681813404,0.035605507
II-VI,CdO,M_A,Sb,0,-0.706745956,0.03952862
II-VI,CdO,M_A,Bi,0,-0.777944291,0.069259433
II-VI,CdO,M_A,O,0,-0.927896613,0.050506178
II-VI,CdO,M_A,S,0,-0.73783687,0.034975025
II-VI,CdO,M_A,Se,0,-0.721536529,0.060928951
II-VI,CdO,M_A,Te,0,-0.663958518,0.053205989
II-VI,CdO,M_A,F,0,-1.08692037,0.035156656
II-VI,CdO,M_A,Cl,0,-1.063751605,0.032977963
II-VI,CdO,M_A,Br,0,-0.91957024,0.126029594
II-VI,CdO,M_A,I,0,-0.72167579,0.055583864
II-VI,CdO,M_A,Sc,0,-0.684910292,0.050866341
II-VI,CdO,M_A,Ti,0,-0.630082239,0.048961258
II-VI,CdO,M_A,V,0,-0.547674484,0.075310207
II-VI,CdO,M_A,Cr,0,-0.698856444,0.054265705
II-VI,CdO,M_A,Mn,0,-0.722963028,0.054070658
II-VI,CdO,M_A,Fe,0,-0.748115891,0.048397872
II-VI,CdO,M_A,Co,0,-0.812828382,0.035734898
II-VI,CdO,M_A,Ni,0,-0.801711748,0.038119285
II-VI,CdO,M_A,Cu,0,-0.827802423,0.043309531
