Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,2.405713734,0.043687623
II-VI,CdO,M_A,Na,0,2.497910477,0.035421737
II-VI,CdO,M_A,K,0,2.607718448,0.048464978
II-VI,CdO,M_A,Rb,0,2.600081352,0.060451841
II-VI,CdO,M_A,Cs,0,2.638704486,0.036736544
II-VI,CdO,M_A,Be,0,2.316781979,0.046549086
II-VI,CdO,M_A,Mg,0,2.503127087,0.046115074
II-VI,CdO,M_A,Ca,0,2.651832031,0.026102829
II-VI,CdO,M_A,Sr,0,2.678267262,0.025649076
II-VI,CdO,M_A,Ba,0,2.680258823,0.020105719
II-VI,CdO,M_A,B,0,2.257755251,0.039170218
II-VI,CdO,M_A,Al,0,2.414362375,0.054011979
II-VI,CdO,M_A,Ga,0,2.441812215,0.050668597
II-VI,CdO,M_A,In,0,2.53242911,0.037343027
II-VI,CdO,M_A,Tl,0,2.548033337,0.026769775
II-VI,CdO,M_A,C,0,2.19365941,0.044197475
II-VI,CdO,M_A,Si,0,2.330143171,0.067320483
II-VI,CdO,M_A,Ge,0,2.40651287,0.051146904
II-VI,CdO,M_A,Sn,0,2.49883776,0.042167937
II-VI,CdO,M_A,Pb,0,2.542753753,0.033460793
II-VI,CdO,M_A,N,0,2.171891603,0.060432519
II-VI,CdO,M_A,P,0,2.302615994,0.061152596
II-VI,CdO,M_A,As,0,2.378356229,0.051096465
II-VI,CdO,M_A,Sb,0,2.462908847,0.053636009
II-VI,CdO,M_A,Bi,0,2.535887076,0.036392579
II-VI,CdO,M_A,O,0,2.1296855,0.058776136
II-VI,CdO,M_A,S,0,2.277683487,0.047907896
II-VI,CdO,M_A,Se,0,2.359495806,0.050117415
II-VI,CdO,M_A,Te,0,2.44007796,0.060576576
II-VI,CdO,M_A,F,0,2.114873253,0.061703861
II-VI,CdO,M_A,Cl,0,2.261566062,0.040860809
II-VI,CdO,M_A,Br,0,2.370099708,0.050257942
II-VI,CdO,M_A,I,0,2.428927666,0.041026638
II-VI,CdO,M_A,Sc,0,2.560897414,0.037886765
II-VI,CdO,M_A,Ti,0,2.508714978,0.048794965
II-VI,CdO,M_A,V,0,2.464241499,0.042763983
II-VI,CdO,M_A,Cr,0,2.451656485,0.036407566
II-VI,CdO,M_A,Mn,0,2.467101105,0.039700246
II-VI,CdO,M_A,Fe,0,2.43378669,0.040903715
II-VI,CdO,M_A,Co,0,2.425991881,0.037996847
II-VI,CdO,M_A,Ni,0,2.413805379,0.034107657
II-VI,CdO,M_A,Cu,0,2.407434428,0.037279783
II-VI,CdO,M_A,Zn,0,2.445683504,0.047126776
II-VI,CdO,M_A,Y,0,2.647015723,0.02933247
II-VI,CdO,M_A,Zr,0,2.585656198,0.037868311
II-VI,CdO,M_A,Nb,0,2.537989152,0.046006675
II-VI,CdO,M_A,Mo,0,2.459020254,0.035687376
II-VI,CdO,M_A,Tc,0,2.475813128,0.036027813
II-VI,CdO,M_A,Ru,0,2.43995318,0.02622058
II-VI,CdO,M_A,Rh,0,2.419482456,0.026394461
