Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,1.068889432,0.162734099
II-VI,CdO,M_A,Na,0,1.052376335,0.09543889
II-VI,CdO,M_A,K,0,0.972133574,0.147402916
II-VI,CdO,M_A,Rb,0,0.938199915,0.191885363
II-VI,CdO,M_A,Cs,0,1.033815846,0.215125674
II-VI,CdO,M_A,Be,0,1.275765298,0.052972147
II-VI,CdO,M_A,Mg,0,1.578476672,0.050537976
II-VI,CdO,M_A,Ca,0,1.62604963,0.094311098
II-VI,CdO,M_A,Sr,0,1.648972987,0.093589276
II-VI,CdO,M_A,Ba,0,1.627868884,0.06737214
II-VI,CdO,M_A,B,0,1.104229227,0.081979198
II-VI,CdO,M_A,Al,0,1.370377184,0.039508248
II-VI,CdO,M_A,Ga,0,1.323075304,0.02205394
II-VI,CdO,M_A,In,0,1.533396204,0.041413441
II-VI,CdO,M_A,Tl,0,1.449760408,0.030392928
II-VI,CdO,M_A,C,0,1.09249306,0.060843224
II-VI,CdO,M_A,Si,0,1.330009518,0.053650504
II-VI,CdO,M_A,Ge,0,1.366694346,0.04443669
II-VI,CdO,M_A,Sn,0,1.553218929,0.031425094
II-VI,CdO,M_A,Pb,0,1.523436137,0.044757744
II-VI,CdO,M_A,N,0,0.781564963,0.039784044
II-VI,CdO,M_A,P,0,1.183664936,0.057679462
II-VI,CdO,M_A,As,0,1.260234845,0.026760136
II-VI,CdO,M_A,Sb,0,1.485734371,0.016500976
II-VI,CdO,M_A,Bi,0,1.515077419,0.019471394
II-VI,CdO,M_A,O,0,0.620848195,0.061104257
II-VI,CdO,M_A,S,0,1.130526483,0.026000068
II-VI,CdO,M_A,Se,0,1.189984589,0.02601891
II-VI,CdO,M_A,Te,0,1.37058179,0.043211007
II-VI,CdO,M_A,F,0,0.637012311,0.029982602
II-VI,CdO,M_A,Cl,0,1.106643741,0.03302288
II-VI,CdO,M_A,Br,0,1.082386502,0.040447093
II-VI,CdO,M_A,I,0,1.173739987,0.032320794
II-VI,CdO,M_A,Sc,0,1.62378427,0.068923388
II-VI,CdO,M_A,Ti,0,1.553644608,0.037466927
II-VI,CdO,M_A,V,0,1.45553964,0.084536724
II-VI,CdO,M_A,Cr,0,1.337324644,0.050168749
II-VI,CdO,M_A,Mn,0,1.417333301,0.058220193
II-VI,CdO,M_A,Fe,0,1.334358152,0.073730363
II-VI,CdO,M_A,Co,0,1.250475014,0.074426488
II-VI,CdO,M_A,Ni,0,1.19163692,0.081633572
II-VI,CdO,M_A,Cu,0,1.129137828,0.082350176
II-VI,CdO,M_A,Zn,0,1.400982437,0.053204232
II-VI,CdO,M_A,Y,0,1.658034087,0.056843215
II-VI,CdO,M_A,Zr,0,1.638393367,0.045275907
II-VI,CdO,M_A,Nb,0,1.500090509,0.027645618
II-VI,CdO,M_A,Mo,0,1.260898114,0.048709695
II-VI,CdO,M_A,Tc,0,1.339956933,0.069835551
II-VI,CdO,M_A,Ru,0,1.164754075,0.072258722
II-VI,CdO,M_A,Rh,0,1.137964317,0.056407407
II-VI,CdO,M_A,Pd,0,1.141862045,0.047025093
II-VI,CdO,M_A,Ag,0,1.2141967,0.099890951
