Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,2.262937656,0.187473157
II-VI,CdO,M_A,Na,0,2.583006782,0.204048503
II-VI,CdO,M_A,K,0,2.406159936,0.077594684
II-VI,CdO,M_A,Rb,0,2.380394681,0.069212773
II-VI,CdO,M_A,Cs,0,2.466096771,0.148556455
II-VI,CdO,M_A,Be,0,1.439040442,0.193847795
II-VI,CdO,M_A,Mg,0,0.835318717,0.155106347
II-VI,CdO,M_A,Ca,0,1.229262261,0.149538875
II-VI,CdO,M_A,Sr,0,1.314186655,0.121662639
II-VI,CdO,M_A,Ba,0,1.422553086,0.097277334
II-VI,CdO,M_A,B,0,2.874067281,0.266912238
II-VI,CdO,M_A,Al,0,1.448997592,0.179370258
II-VI,CdO,M_A,Ga,0,1.472100795,0.159435726
II-VI,CdO,M_A,In,0,1.602552235,0.146511245
II-VI,CdO,M_A,Tl,0,1.769685491,0.082084784
II-VI,CdO,M_A,C,0,6.136499576,0.254921014
II-VI,CdO,M_A,Si,0,2.61216971,0.176668844
II-VI,CdO,M_A,Ge,0,2.266071165,0.204270245
II-VI,CdO,M_A,Sn,0,1.889395044,0.066622576
II-VI,CdO,M_A,Pb,0,1.695753923,0.061652883
II-VI,CdO,M_A,N,0,5.393802899,0.389165644
II-VI,CdO,M_A,P,0,4.048980034,0.126313008
II-VI,CdO,M_A,As,0,3.477691708,0.088808161
II-VI,CdO,M_A,Sb,0,3.028205805,0.14666394
II-VI,CdO,M_A,Bi,0,2.190148129,0.072754355
II-VI,CdO,M_A,O,0,5.55072707,0.132231218
II-VI,CdO,M_A,S,0,5.028752904,0.196167636
II-VI,CdO,M_A,Se,0,4.513929984,0.166815138
II-VI,CdO,M_A,Te,0,3.97084395,0.08732952
II-VI,CdO,M_A,F,0,5.675170223,0.103670162
II-VI,CdO,M_A,Cl,0,5.624650954,0.112652455
II-VI,CdO,M_A,Br,0,5.124798213,0.143224457
II-VI,CdO,M_A,I,0,4.640583607,0.132279728
II-VI,CdO,M_A,Sc,0,1.546298578,0.095203477
II-VI,CdO,M_A,Ti,0,1.902616495,0.074473308
II-VI,CdO,M_A,V,0,2.290401454,0.150915309
II-VI,CdO,M_A,Cr,0,1.935497991,0.119369617
II-VI,CdO,M_A,Mn,0,1.176374358,0.130759317
II-VI,CdO,M_A,Fe,0,1.743557417,0.099999029
II-VI,CdO,M_A,Co,0,2.979068239,0.184779946
II-VI,CdO,M_A,Ni,0,2.656304617,0.08155759
II-VI,CdO,M_A,Cu,0,2.264557164,0.186554286
II-VI,CdO,M_A,Zn,0,1.016432228,0.131833137
II-VI,CdO,M_A,Y,0,1.845239476,0.065882613
II-VI,CdO,M_A,Zr,0,2.390996187,0.209603335
II-VI,CdO,M_A,Nb,0,2.736945703,0.141078545
II-VI,CdO,M_A,Mo,0,3.480751021,0.123292181
II-VI,CdO,M_A,Tc,0,3.234943095,0.052388142
II-VI,CdO,M_A,Ru,0,3.212693257,0.103911016
II-VI,CdO,M_A,Rh,0,2.949132379,0.056029931
II-VI,CdO,M_A,Pd,0,2.955789284,0.082236692
II-VI,CdO,M_A,Ag,0,2.357585422,0.018832737
II-VI,CdO,M_A,Cd,0,0.975760361,0.210831615
II-VI,CdO,M_A,La,0,2.000509281,0.051968358
II-VI,CdO,M_A,Hf,0,2.084081034,0.306275618
II-VI,CdO,M_A,Ta,0,2.937522891,0.226885836
II-VI,CdO,M_A,W,0,4.374089152,0.217845926
II-VI,CdO,M_A,Re,0,4.190072856,0.064633972
II-VI,CdO,M_A,Os,0,4.23097267,0.156028634
II-VI,CdO,M_A,Ir,0,3.543360282,0.07904229
II-VI,CdO,M_A,Pt,0,3.268436014,0.04040401
II-VI,CdO,M_A,Au,0,3.059336658,0.072804095
II-VI,CdO,M_A,Hg,0,1.840529226,0.089399069
II-VI,CdO,M_A,Ce,0,1.850819083,0.039381549
II-VI,CdO,M_A,Pr,0,1.91916675,0.048948536
II-VI,CdO,M_A,Nd,0,1.860121358,0.056943835
II-VI,CdO,M_A,Pm,0,1.860070817,0.044341866
II-VI,CdO,M_A,Sm,0,1.742589524,0.087282036
II-VI,CdO,M_A,Eu,0,1.766292844,0.085667355
II-VI,CdO,M_A,Gd,0,1.90775114,0.053515104
II-VI,CdO,M_A,Tb,0,1.908198929,0.051852804
II-VI,CdO,M_A,Dy,0,1.720088049,0.081219308
II-VI,CdO,M_A,Ho,0,1.738381088,0.081372917
II-VI,CdO,M_A,Er,0,1.904790859,0.047183459
II-VI,CdO,M_A,Tm,0,1.701850004,0.093854606
II-VI,CdO,M_A,Yb,0,1.661351456,0.120951771
II-VI,CdO,M_A,Lu,0,2.088026961,0.042340349
II-VI,CdO,M_B,Li,0,3.243290765,0.21317323
II-VI,CdO,M_B,Na,0,3.175509118,0.248249668
II-VI,CdO,M_B,K,0,3.117221631,0.236315713
II-VI,CdO,M_B,Rb,0,3.222681033,0.209481423
II-VI,CdO,M_B,Cs,0,3.160795908,0.199464917
II-VI,CdO,M_B,Be,0,2.839546743,0.186854438
II-VI,CdO,M_B,Mg,0,2.861333602,0.246274243
II-VI,CdO,M_B,Ca,0,3.608774151,0.386733811
II-VI,CdO,M_B,Sr,0,3.857942367,0.379993929
II-VI,CdO,M_B,Ba,0,3.857632369,0.358769985
II-VI,CdO,M_B,B,0,3.427621409,0.239260658
II-VI,CdO,M_B,Al,0,2.422388919,0.261633586
II-VI,CdO,M_B,Ga,0,2.450566832,0.129909852
II-VI,CdO,M_B,In,0,2.591150977,0.095070819
II-VI,CdO,M_B,Tl,0,2.610874931,0.124260345
II-VI,CdO,M_B,C,0,4.166598463,0.39566953
II-VI,CdO,M_B,Si,0,2.941734607,0.195259541
II-VI,CdO,M_B,Ge,0,2.659290397,0.061183658
II-VI,CdO,M_B,Sn,0,2.517827358,0.071383773
II-VI,CdO,M_B,Pb,0,2.48578341,0.128583335
