Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,1.359118637,0.148771376
II-VI,CdO,M_A,Na,0,2.100758901,0.213252819
II-VI,CdO,M_A,K,0,2.278119445,0.085072419
II-VI,CdO,M_A,Rb,0,2.357795564,0.075730453
II-VI,CdO,M_A,Cs,0,2.578125251,0.060975815
II-VI,CdO,M_A,Be,0,2.774170017,0.368728422
II-VI,CdO,M_A,Mg,0,0.91206788,0.205963915
II-VI,CdO,M_A,Ca,0,1.441458228,0.163343052
II-VI,CdO,M_A,Sr,0,1.535851177,0.150386004
II-VI,CdO,M_A,Ba,0,1.748022144,0.171786081
II-VI,CdO,M_A,B,0,3.63183665,0.297059979
II-VI,CdO,M_A,Al,0,2.973416778,0.391148077
II-VI,CdO,M_A,Ga,0,1.566931336,0.079938214
II-VI,CdO,M_A,In,0,1.59729852,0.05617065
II-VI,CdO,M_A,Tl,0,1.546412836,0.089160113
II-VI,CdO,M_A,C,0,5.350037051,0.400923029
II-VI,CdO,M_A,Si,0,4.022515288,0.522988869
II-VI,CdO,M_A,Ge,0,3.522066839,0.306942039
II-VI,CdO,M_A,Sn,0,2.413663125,0.101547152
II-VI,CdO,M_A,Pb,0,1.710356364,0.146030581
II-VI,CdO,M_A,N,0,3.070176859,0.231510193
II-VI,CdO,M_A,P,0,2.650536525,0.282107851
II-VI,CdO,M_A,As,0,2.49722069,0.201063317
II-VI,CdO,M_A,Sb,0,2.577115032,0.264169018
II-VI,CdO,M_A,Bi,0,2.484033613,0.295018018
II-VI,CdO,M_A,O,0,3.213661811,0.100236367
II-VI,CdO,M_A,S,0,3.040580752,0.165447132
II-VI,CdO,M_A,Se,0,2.816397698,0.226251832
II-VI,CdO,M_A,Te,0,2.876701198,0.173892559
II-VI,CdO,M_A,F,0,3.264076783,0.160234351
II-VI,CdO,M_A,Cl,0,3.853418371,0.335314218
II-VI,CdO,M_A,Br,0,3.737970738,0.245596555
II-VI,CdO,M_A,I,0,3.31701763,0.227076256
II-VI,CdO,M_A,Sc,0,2.516971333,0.07492381
II-VI,CdO,M_A,Ti,0,3.190711309,0.210113834
II-VI,CdO,M_A,V,0,3.654711687,0.360422113
II-VI,CdO,M_A,Cr,0,3.505381822,0.340699799
II-VI,CdO,M_A,Mn,0,1.688413255,0.347937926
II-VI,CdO,M_A,Fe,0,3.405250838,0.307419864
II-VI,CdO,M_A,Co,0,3.997975541,0.098945179
II-VI,CdO,M_A,Ni,0,3.480228439,0.271265919
II-VI,CdO,M_A,Cu,0,2.904007478,0.314815189
II-VI,CdO,M_A,Zn,0,0.868934455,0.13735215
II-VI,CdO,M_A,Y,0,2.728577462,0.164812762
II-VI,CdO,M_A,Zr,0,4.037573537,0.509038586
II-VI,CdO,M_A,Nb,0,4.460957852,0.394919476
II-VI,CdO,M_A,Mo,0,4.808423511,0.334282801
II-VI,CdO,M_A,Tc,0,4.591297134,0.296976349
II-VI,CdO,M_A,Ru,0,4.92071858,0.322978876
II-VI,CdO,M_A,Rh,0,4.644534238,0.238751049
II-VI,CdO,M_A,Pd,0,3.661807844,0.35033182
II-VI,CdO,M_A,Ag,0,1.585894318,0.105551976
II-VI,CdO,M_A,Cd,0,0.907418164,0.121562339
II-VI,CdO,M_A,La,0,3.252644158,0.173526308
II-VI,CdO,M_A,Hf,0,3.479570136,0.495959871
II-VI,CdO,M_A,Ta,0,4.269571151,0.665198032
II-VI,CdO,M_A,W,0,4.773027659,0.456097404
II-VI,CdO,M_A,Re,0,4.901585269,0.535801682
II-VI,CdO,M_A,Os,0,4.955993271,0.309329977
II-VI,CdO,M_A,Ir,0,4.744370691,0.304823699
II-VI,CdO,M_A,Pt,0,4.147745175,0.357335953
II-VI,CdO,M_A,Au,0,2.470942034,0.0831398
II-VI,CdO,M_A,Hg,0,1.04529142,0.159649915
II-VI,CdO,M_A,Ce,0,3.179536194,0.200680347
II-VI,CdO,M_A,Pr,0,3.179633358,0.209098158
II-VI,CdO,M_A,Nd,0,3.029588571,0.178768553
II-VI,CdO,M_A,Pm,0,2.996235715,0.213123331
II-VI,CdO,M_A,Sm,0,2.336940067,0.246975546
II-VI,CdO,M_A,Eu,0,2.00134717,0.147681205
II-VI,CdO,M_A,Gd,0,3.244329392,0.303642814
II-VI,CdO,M_A,Tb,0,2.992971728,0.251198127
II-VI,CdO,M_A,Dy,0,2.180237314,0.099539497
II-VI,CdO,M_A,Ho,0,2.298008341,0.107523689
II-VI,CdO,M_A,Er,0,2.59798771,0.128228355
II-VI,CdO,M_A,Tm,0,2.14398986,0.116436265
II-VI,CdO,M_A,Yb,0,1.905217674,0.142240983
II-VI,CdO,M_A,Lu,0,3.226380359,0.33270289
II-VI,CdO,M_B,Li,0,5.340051047,0.713654797
II-VI,CdO,M_B,Na,0,5.58664876,0.730886569
II-VI,CdO,M_B,K,0,6.279041084,0.504255742
II-VI,CdO,M_B,Rb,0,6.588942052,0.560644085
II-VI,CdO,M_B,Cs,0,6.681768797,0.59225577
II-VI,CdO,M_B,Be,0,5.439978802,0.482261094
II-VI,CdO,M_B,Mg,0,5.845577289,0.562893381
II-VI,CdO,M_B,Ca,0,6.457232061,0.542130852
